tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58488.128611099906,734128613215015003,1,734128613215,20.125208,1,734,0.8130079,19.835896,17.29234,19.6413,0.18508638,100.0,0.01778084,0.2428,350.7499459,-0.8999688,0.7633333,t8_f5_c3,0.0,19.7414,0.3357,445120132.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aaaujez
ztf,58646.441747699864,892441743215015000,1,892441743215,20.326878,1,892,0.3925093,19.869001,17.295477,19.9798,0.20628513,100.0,0.019277832,0.29,350.7499475,-0.8998515,0.9614286,t17_f5_c3,0.0,19.9523,0.3525,445120132.0,False,True,False,bulk_1.0.0,0.0,9.21445013215015e+17,ZTF19aaaujez
ztf,58649.46429400006,895464293215015002,1,895464293215,19.8447,1,895,0.393355,19.6331,17.271128,19.6579,0.254135,0.008813814,0.028858626,0.3216,350.7499102,-0.8998467,0.944286,t17_f5_c3,,19.4956,0.3518,,False,True,False,bulk_1.0.0,0.0,9.24439003215015e+17,ZTF19aaaujez
ztf,58675.44501159992,921445013215015001,1,921445013215,20.638391,1,921,0.6133733,19.366835,17.237392,19.233,0.14125697,100.0,0.019871594,0.1139,350.749999,-0.899905,0.95714283,t17_f5_c3,0.99981105,19.2328,0.1395,445120132.0,False,True,False,bulk_1.0.0,0.0,9.40427373215015e+17,ZTF19aaaujez
ztf,58678.43900460005,924439003215015002,1,924439003215,20.280962,1,924,0.25264806,19.187092,17.210236,19.1462,0.13768303,100.0,0.022291418,0.1524,350.7499553,-0.8998096,0.9714286,t17_f5_c3,0.99926543,19.1476,0.1919,445120132.0,False,True,False,bulk_1.0.0,0.0,9.40427373215015e+17,ZTF19aaaujez
ztf,58681.438472200185,927438473215015008,2,927438473215,19.66202,1,927,0.16481243,19.256525,16.882645,19.3175,0.1650738,100.0,0.0185407,0.3114,350.7499504,-0.8997866,0.9671429,t17_f5_c3,0.99845344,19.6165,0.5217,445120232.0,False,True,False,bulk_1.0.0,0.0,9.40427373215015e+17,ZTF19aaaujez
ztf,58681.48043979984,927480433215015000,1,927480433215,19.325443,1,927,0.55867136,19.203009,17.212797,19.8514,0.19345851,0.016703391,0.030938758,0.5919,350.7500141,-0.8998787,0.8657143,t17_f5_c3,0.9996538,19.7216,0.6724,445120132.0,False,True,False,bulk_1.0.0,0.0,9.40427373215015e+17,ZTF19aaaujez
ztf,58688.4407060002,934440703215015001,1,934440703215,20.029016,1,934,0.62911135,19.148138,17.203833,19.0658,0.14282964,100.0,0.023828471,0.167,350.7499849,-0.8999122,0.98285717,t17_f5_c3,0.999841,19.0747,0.2128,445120132.0,False,True,False,bulk_1.0.0,0.0,9.63330203215015e+17,ZTF19aaaujez
ztf,58691.418576399796,937418573215015001,2,937418573215,20.46753,1,937,0.27608123,19.010727,16.852097,19.1292,0.11704181,100.0,0.016028352,0.1332,350.7499979,-0.8997903,0.9357143,t17_f5_c3,0.9999629,19.0531,0.1528,445120232.0,False,True,False,bulk_1.0.0,0.0,9.63330203215015e+17,ZTF19aaaujez
ztf,58691.47894679988,937478943215015000,1,937478943215,20.402132,1,937,0.5500705,19.00151,17.177952,19.1363,0.14335382,0.0088549135,0.02672921,0.1268,350.7499849,-0.8998868,0.96428573,t17_f5_c3,0.99996966,19.1125,0.1542,445120132.0,False,True,False,bulk_1.0.0,0.0,9.63330203215015e+17,ZTF19aaaujez
