tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,oid
ztf,58558.483148099855,804483142615015003,1,804483142615,20.3353,1,804,2.26782,19.3323,18.7085,0.247088,0.0766,269.3920019,10.7090371,0.081429,t15_f5_c3,18.5781,0.0821,False,False,False,bulk_1.0.0,0.0,8.07436032615015e+17,,,,,,ZTF19aadyxsh
ztf,58561.4360301001,807436032615015000,2,807436032615,19.346657,1,807,1.1662079,16.13846,15.828,0.09001353,0.0173,269.3916982,10.7091273,0.28714284,t15_f5_c3,15.7401,0.019,False,True,False,bulk_1.0.0,0.0,8.14437122615015e+17,13.667348,100.0,0.009244067,0.0,537120226.0,ZTF19aadyxsh
ztf,58568.43712959997,814437122615015002,1,814437122615,19.632427,1,814,1.2237704,17.913109,17.9739,0.08296276,0.0863,269.3917114,10.7091501,0.22,t15_f5_c3,17.9402,0.106,True,True,True,bulk_1.0.0,0.0,0.0,16.243397,100.0,0.01782371,0.0,537120126.0,ZTF19aadyxsh
ztf,58605.42153939977,851421532615015000,2,851421532615,20.6506,1,851,0.438264,15.2833,15.0661,0.125868,0.0064,269.3914591,10.7090769,0.207143,t15_f5_c3,15.0325,0.0065,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.541351,0.02081583,0.025300886,,,ZTF19aadyxsh
ztf,58608.462233799975,854462232615015019,2,854462232615,20.3474,1,854,0.178927,14.9768,14.8909,0.095327,0.0067,269.3914059,10.7091292,0.15,t15_f5_c3,14.8828,0.0071,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.472403,0.019661484,0.023848265,,,ZTF19aadyxsh
ztf,58612.4166898001,858416682615015003,1,858416682615,20.9863,1,858,0.455257,17.7425,17.9508,0.10037,0.031,269.3914753,10.7091024,0.302857,t15_f5_c3,17.8969,0.0346,False,True,True,bulk_1.0.0,0.0,8.78421452615015e+17,16.204414,0.017001454,0.024342738,,,ZTF19aadyxsh
ztf,58612.4166898001,858416682615015004,1,858416682615,20.9863,1,858,0.26809,17.5659,17.6274,0.030638,0.0256,269.3914358,10.7091868,0.497143,t15_f5_c3,17.6052,0.0288,False,True,True,bulk_1.0.0,0.0,8.78421452615015e+17,16.158873,100.0,0.008383954,,,ZTF19aadyxsh
ztf,58612.45937500009,858459372615015003,2,858459372615,20.826,1,858,0.632671,15.326,15.2756,0.134104,0.0067,269.3915186,10.7090653,0.181429,t15_f5_c3,15.2364,0.0068,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.549801,0.021728752,0.026119325,,,ZTF19aadyxsh
ztf,58612.45937500009,858459372615015004,2,858459372615,20.826,1,858,0.208301,15.14,15.2602,0.009663,0.0072,269.3914267,10.7091776,0.14,t15_f5_c3,15.2528,0.0074,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.510987,100.0,0.002155296,,,ZTF19aadyxsh
ztf,58617.358148099855,863358142615015000,2,863358142615,20.3569,1,863,0.597587,15.4056,15.253,0.116338,0.0074,269.3915155,10.709078,0.218571,t15_f5_c3,15.2295,0.0079,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.564854,0.015488332,0.021351242,,,ZTF19aadyxsh
ztf,58617.358148099855,863358142615015001,2,863358142615,20.3569,1,863,0.807894,15.1613,15.2841,0.010204,0.0081,269.3915995,10.7091559,0.168571,t15_f5_c3,15.2769,0.0087,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.515702,100.0,0.002241463,,,ZTF19aadyxsh
ztf,58617.418333299924,863418332615015001,1,863418332615,20.5914,1,863,0.285973,17.9241,17.7531,0.15618,0.0355,269.391421,10.7091072,0.391429,t15_f5_c3,17.7211,0.0416,False,True,True,bulk_1.0.0,0.0,8.78421452615015e+17,16.245749,0.027938178,0.033287745,,,ZTF19aadyxsh
ztf,58617.418333299924,863418332615015002,1,863418332615,20.5914,1,863,0.09564,17.6893,17.7496,0.039022,0.0361,269.3913813,10.7091441,0.545714,t15_f5_c3,17.7094,0.0418,False,True,True,bulk_1.0.0,0.0,8.78421452615015e+17,16.19127,100.0,0.00981968,,,ZTF19aadyxsh
ztf,58627.37973379996,873379732615015001,2,873379732615,20.2918,1,873,0.699283,15.8688,15.5372,0.158084,0.0099,269.3915251,10.7090424,0.372857,t17_f5_c3,15.5052,0.0105,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.636359,0.012755341,0.020226076,,,ZTF19aadyxsh
ztf,58632.31481479993,878314812615015001,2,878314812615,20.2431,1,878,1.0902,15.92,15.8786,0.117043,0.0118,269.3915915,10.7089516,0.432857,t17_f5_c3,15.8556,0.0127,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.642777,100.0,0.014369983,,,ZTF19aadyxsh
ztf,58632.31481479993,878314812615015002,2,878314812615,20.2431,1,878,0.450841,15.7602,15.7727,0.017122,0.0118,269.3914881,10.7091229,0.774286,t17_f5_c3,15.7576,0.0125,False,True,False,bulk_1.0.0,0.0,8.78421452615015e+17,13.621843,100.0,0.0023889772,,,ZTF19aadyxsh
ztf,58632.4214583002,878421452615015001,1,878421452615,20.69473,1,878,1.3188254,18.54525,18.5463,0.07728858,0.0651,269.3917433,10.7091854,0.6514286,t17_f5_c3,18.5351,0.0773,True,True,True,bulk_1.0.0,0.0,0.0,16.351557,100.0,0.010247977,0.0,537120126.0,ZTF19aadyxsh
ztf,58888.518344900105,1134518342615015000,2,1134518342615,18.429478,1,1134,0.88787687,14.949601,15.0318,0.024114078,0.0108,269.3916084,10.709076,0.6742857,t17_f5_c3,14.9789,0.0126,False,True,False,bulk_1.0.0,0.0,1.158486202615015e+18,13.465533,100.0,0.006146723,0.8476237,537120226.0,ZTF19aadyxsh
