tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,oid
ztf,59256.528194400016,1502528192115015009,1,1502528192115,20.1676,1,1502,0.101794,17.9444,15.859859,17.8945,0.059665,100.0,0.008747889,0.0475,263.3227157,-2.9255801,0.83,t17_f5_c3,17.9243,0.0588,False,True,False,correction_0.0.1,0.0,,,,ZTF19aaeemzj
ztf,59263.49811339984,1509498112115015009,2,1509498112115,19.256939,1,1509,1.4998536,16.41284,,16.3175,0.054025862,,,0.0182,263.3223297,-2.9254342,0.58285713,t17_f5_c3,16.2521,0.0198,True,False,False,correction_0.0.1,0.0,0.8792198,433120221.0,,ZTF19aaeemzj
ztf,60684.57780090021,2930577802115010050,2,2930577802115,17.9804,-1,2930,0.23415,15.4531,14.5119295,15.657,0.035454,100.0,0.014900364,0.027,263.3226684,-2.92555,0.61,t17_f5_c3,15.6647,0.0346,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60684.578275499865,2930578272115010063,2,2930578272115,17.9043,-1,2930,0.39269,15.6309,14.445102,15.6929,0.031138,100.0,0.010446511,0.0284,263.3226265,-2.9255816,0.542857,t17_f5_c3,15.7176,0.037,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60684.57874999987,2930578752115010058,2,2930578752115,17.9604,-1,2930,0.500279,15.76,14.405015,15.7188,0.042206,100.0,0.012116583,0.03,263.3226141,-2.9254815,0.56,t17_f5_c3,15.6918,0.0372,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60689.569294000044,2935569292115010028,2,2935569292115,18.1268,-1,2935,0.808403,16.0968,14.324914,16.1301,0.0549,100.0,0.010735394,0.0285,263.3225077,-2.925582,0.664286,t17_f5_c3,16.102,0.0349,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60689.56976850005,2935569762115010020,2,2935569762115,18.1667,-1,2935,1.12806,15.9588,14.354077,16.1636,0.040187,100.0,0.009166348,0.0298,263.3225096,-2.9253307,0.571429,t17_f5_c3,16.1407,0.0366,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60689.57024310017,2935570242115010026,2,2935570242115,18.1717,-1,2935,0.409163,15.9854,14.3481,16.0261,0.0456,100.0,0.010093571,0.0277,263.3227473,-2.9256701,0.647143,t17_f5_c3,16.0167,0.0345,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60690.56423609983,2936564232115010036,2,2936564232115,18.2082,-1,2936,1.17508,15.9215,14.362767,16.1566,0.046259,100.0,0.011007867,0.0267,263.3225324,-2.9252932,0.517143,t17_f5_c3,16.1329,0.0327,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60691.568784699775,2937568782115010010,2,2937568782115,19.0626,-1,2937,0.809363,16.0035,14.344134,16.1387,0.066186,100.0,0.01435555,0.0248,263.3225315,-2.9254511,0.84,t17_f5_c3,16.1327,0.0306,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60695.56254629977,2941562542115010005,2,2941562542115,18.637,-1,2941,0.696658,15.9252,14.361889,16.4497,0.055545,100.0,0.013161953,0.0263,263.3225683,-2.9254508,0.59,t17_f5_c3,16.504,0.0338,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60695.5665972,2941566592115010007,2,2941566592115,18.6832,-1,2941,1.12965,16.5357,14.256517,16.6506,0.055075,100.0,0.0067496556,0.0298,263.3224158,-2.9255546,0.585714,t17_f5_c3,16.6272,0.0356,False,True,False,26.0.1,0.0,,,2.94157063211501e+18,ZTF19aaeemzj
ztf,60695.57063659979,2941570632115010117,2,2941570632115,18.145182,-1,2941,1.2116913,16.561548,14.253391,16.9605,0.07587434,100.0,0.009053829,0.0547,263.3223937,-2.9255319,0.43285716,t17_f5_c3,16.945,0.0673,True,True,False,26.0.1,0.0,0.7848346,433120221.0,,ZTF19aaeemzj
ztf,61054.57040510001,3300570402115010018,2,3300570402115,19.1061,-1,3300,0.757965,16.2695,14.294132,16.824,0.095068,100.0,0.015412998,0.0415,263.3225488,-2.9254496,0.57,t17_f5_c3,16.8542,0.0523,False,True,False,27.5.7a32.dev1,0.0,,,3.30157674211501e+18,ZTF19aaeemzj
ztf,61055.576747700106,3301576742115010030,2,3301576742115,18.152159,-1,3301,1.7710966,16.811005,,17.0544,0.089812554,,,0.0842,263.3222636,-2.9253901,0.39857143,t17_f5_c3,17.0879,0.1099,True,False,True,27.5.7a32.dev1,0.0,0.10141611,433120221.0,,ZTF19aaeemzj
