tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58510.246388900094,756246380815015001,2,756246380815,18.346104,1,756,1.7090727,17.927736,17.9138,0.14539646,0.1884,74.1787419,-26.7104541,0.32285714,t15_f5_c3,0.0,17.7949,0.2106,255120208.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF19aaexuhd
ztf,59489.48097220017,1735480970815015007,1,1735480970815,19.999481,1,1735,1.5178714,18.666843,18.8496,0.19201529,0.1506,74.1788146,-26.7104396,0.4757143,t17_f5_c3,0.4130757,18.9178,0.1878,255120108.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF19aaexuhd
ztf,59489.48097220017,1735480970815035007,1,1735480970815,19.9995,1,1735,1.51787,18.6668,18.8496,0.192015,0.1506,74.1788146,-26.7104396,0.475714,t17_f5_c3,,18.9178,0.1878,,False,False,False,correction_1.0.6,0.0,1.764442900815015e+18,,,,ZTF19aaexuhd
ztf,59518.44290510006,1764442900815015010,1,1764442900815,20.354174,1,1764,0.93989503,17.776106,18.0247,0.09426123,0.0593,74.1789769,-26.7103146,0.5342857,t17_f5_c3,0.26441404,18.069,0.0698,255120108.0,True,True,True,correction_1.0.6,0.0,,14.810857,100.0,0.006140922,ZTF19aaexuhd
ztf,59624.17236110009,1870172360815015001,2,1870172360815,19.51422,1,1870,0.9568651,17.290741,17.4025,0.11176996,0.0663,74.178877,-26.7102749,0.42285714,t17_f5_c3,0.2742449,17.3985,0.0802,255120208.0,True,True,True,correction_1.0.6,0.0,,14.188772,100.0,0.0064200372,ZTF19aaexuhd
ztf,59627.14877310023,1873148770815015008,2,1873148770815,19.215494,1,1873,1.0600485,17.105465,17.3638,0.07855754,0.071,74.1788831,-26.7103148,0.5885714,t17_f5_c3,0.5844927,17.3747,0.088,255120208.0,True,True,True,correction_1.0.6,0.0,,14.17723,100.0,0.0052953386,ZTF19aaexuhd
ztf,59629.19305559993,1875193050815015002,1,1875193050815,18.655062,1,1875,1.6417952,18.024673,18.6752,0.198089,0.2205,74.1785188,-26.7101334,0.37857142,t17_f5_c3,0.8479606,18.6261,0.2634,255120108.0,True,False,False,correction_1.0.6,0.0,,,,,ZTF19aaexuhd
ztf,59855.4592708,2101459270815015004,1,2101459270815,20.329647,1,2101,1.2199814,17.924181,18.2316,0.12552452,0.0732,74.1789408,-26.7103884,0.4485714,t17_f5_c3,0.24801669,18.1873,0.0794,255120108.0,True,True,False,dev,0.0,,14.819913,100.0,0.0071948413,ZTF19aaexuhd
ztf,59865.48127309978,2111481270815015003,2,2111481270815,19.6553,1,2111,0.976561,17.0761,17.4884,0.107369,0.0651,74.1789744,-26.7103161,0.292857,t17_f5_c3,,17.4838,0.0778,,False,True,False,1.1.6,0.0,2.122397360815015e+18,14.175226,100.0,0.0074221455,ZTF19aaexuhd
ztf,59867.4385532001,2113438550815015001,1,2113438550815,19.1626,1,2113,1.30575,18.233,19.0059,0.180564,0.2911,74.1788051,-26.7103663,0.405714,t17_f5_c3,,19.0049,0.3619,,False,True,False,1.1.6,0.0,2.122397360815015e+18,14.835429,0.0019698907,0.00789956,ZTF19aaexuhd
ztf,59876.397361100186,2122397360815015002,2,2122397360815,19.546074,1,2122,1.1734568,16.921463,17.2244,0.06588393,0.0427,74.1788589,-26.7103364,0.7214286,t17_f5_c3,0.7287633,17.2537,0.0506,255120208.0,True,True,False,1.1.6,0.0,,14.163797,100.0,0.0051965252,ZTF19aaexuhd
ztf,59880.3967708,2126396770815015005,1,2126396770815,19.98434,1,2126,0.8029129,17.519464,17.6834,0.066896744,0.0496,74.178868,-26.7102303,0.83,t17_f5_c3,0.75574005,17.6917,0.0579,255120108.0,True,True,False,1.1.6,0.0,,14.792158,100.0,0.0054260325,ZTF19aaexuhd
ztf,59880.440821799915,2126440820815015010,2,2126440820815,19.8348,1,2126,0.602109,17.1575,17.1144,0.061841,0.0374,74.1788701,-26.710142,0.848571,t17_f5_c3,,17.108,0.0427,,False,True,False,1.1.6,0.0,2.149334720815015e+18,14.18066,100.0,0.003986034,ZTF19aaexuhd
ztf,59894.39765049983,2140397650815015002,1,2140397650815,18.8536,1,2140,1.35497,17.5654,17.9278,0.129241,0.1088,74.1791061,-26.7104331,0.538571,t17_f5_c3,,18.061,0.1534,,False,True,False,1.1.6,0.0,2.143444960815015e+18,14.795813,0.0068739844,0.010082438,ZTF19aaexuhd
ztf,59897.44496530015,2143444960815015003,1,2143444960815,19.139425,1,2143,2.13254,18.20088,18.6076,0.14611818,0.1681,74.1788983,-26.7106471,0.36571428,t17_f5_c3,0.15400425,18.6422,0.2135,255120108.0,True,False,True,1.1.6,0.0,,,,,ZTF19aaexuhd
ztf,59899.34672449995,2145346720815015013,2,2145346720815,18.8761,1,2145,0.153523,16.7809,17.1714,0.061347,0.0414,74.1789854,-26.7100213,0.664286,t17_f5_c3,,17.0536,0.0443,,False,True,False,1.1.6,0.0,2.149334720815015e+18,14.152025,100.0,0.005448085,ZTF19aaexuhd
ztf,59902.3990162001,2148399010815015001,1,2148399010815,19.233955,1,2148,2.1324658,17.441076,17.7559,0.112569354,0.0555,74.1787592,-26.7106078,0.47428572,t17_f5_c3,0.8167416,17.7503,0.0656,255120108.0,True,False,True,1.1.6,0.0,,,,,ZTF19aaexuhd
ztf,59903.33472219994,2149334720815015002,2,2149334720815,19.777891,1,2149,0.79785496,17.115751,17.5156,0.118578285,0.0545,74.1789303,-26.7102529,0.5485714,t17_f5_c3,0.75197196,17.531,0.0637,255120208.0,True,True,False,1.1.6,0.0,,14.177919,100.0,0.0079226885,ZTF19aaexuhd
ztf,59904.34430560004,2150344300815015014,2,2150344300815,19.865665,1,2150,1.0034313,16.89318,17.408,0.11427176,0.0486,74.178903,-26.7102997,0.42285714,t17_f5_c3,0.26780725,17.4199,0.0566,255120208.0,True,True,False,1.1.6,0.0,,14.161539,100.0,0.009231713,ZTF19aaexuhd
ztf,59910.354027799796,2156354020815015005,1,2156354020815,19.828482,1,2156,1.0508412,17.834793,17.9984,0.10850644,0.0679,74.178845,-26.7103038,0.69285715,t17_f5_c3,0.96045965,18.0052,0.0802,255120108.0,True,True,False,1.1.6,0.0,,14.814586,100.0,0.006720049,ZTF19aaexuhd
ztf,59914.38600690011,2160386000815015003,2,2160386000815,19.730394,1,2160,0.9717911,17.56509,17.7031,0.117473066,0.0592,74.1789021,-26.71029,0.5314286,t17_f5_c3,0.67693806,17.6411,0.0635,255120208.0,True,True,False,1.1.6,0.0,,14.202787,100.0,0.0053090546,ZTF19aaexuhd
ztf,59924.294409700204,2170294400815015003,1,2170294400815,19.19045,1,2170,1.016754,17.817127,18.1408,0.109529026,0.1248,74.1789003,-26.7103139,0.6757143,t17_f5_c3,0.8802,18.1624,0.1583,255120108.0,True,True,False,1.1.6,0.0,,14.813483,100.0,0.0068876566,ZTF19aaexuhd
ztf,59937.23055560002,2183230550815015009,2,2183230550815,19.920101,1,2183,0.9155809,17.051615,17.4242,0.10458021,0.0485,74.1789508,-26.710294,0.5742857,t17_f5_c3,0.13232839,17.4531,0.0569,255120208.0,True,True,False,1.1.6,0.0,,14.173514,100.0,0.007382601,ZTF19aaexuhd
ztf,59958.21143520018,2204211430815015006,2,2204211430815,19.9836,1,2204,1.08066,17.084,17.8429,0.120742,0.0724,74.1790402,-26.7103491,0.302857,t17_f5_c3,,17.9045,0.0884,,False,True,False,1.1.6,0.0,2.218209800815015e+18,14.17577,100.0,0.008290229,ZTF19aaexuhd
ztf,59968.18784719985,2214187840815015007,1,2214187840815,19.5386,1,2214,0.65155,17.9977,18.11,0.12175,0.077,74.1789098,-26.7102072,0.595714,t17_f5_c3,,18.1528,0.0945,,False,True,False,1.1.6,0.0,2.218209800815015e+18,14.823995,100.0,0.0065461653,ZTF19aaexuhd
ztf,59968.22288190015,2214222880815015012,2,2214222880815,19.4184,1,2214,1.01019,17.5781,17.5946,0.096778,0.0604,74.1791514,-26.7103063,0.64,t17_f5_c3,,17.5784,0.0694,,False,True,False,1.1.6,0.0,2.218209800815015e+18,14.203373,100.0,0.0043240003,ZTF19aaexuhd
ztf,59970.209838000126,2216209830815015005,2,2216209830815,19.2051,1,2216,1.56416,16.8381,17.6743,0.095351,0.0664,74.1786299,-26.7103072,0.378571,t17_f5_c3,,17.7619,0.0846,,False,False,True,1.1.6,0.0,2.218209800815015e+18,,,,ZTF19aaexuhd
ztf,59972.20980319986,2218209800815015013,2,2218209800815,19.546114,1,2218,0.9039535,17.061438,17.3953,0.091463715,0.0539,74.1789633,-26.7102968,0.6614286,t17_f5_c3,0.74597335,17.3829,0.063,255120208.0,True,True,False,1.1.6,0.0,,14.174205,100.0,0.0064025917,ZTF19aaexuhd
ztf,59978.14819440013,2224148190815015003,1,2224148190815,18.925566,1,2224,1.0079483,18.048246,18.2309,0.13444687,0.165,74.1789063,-26.7103196,0.6842857,t17_f5_c3,0.900952,18.2614,0.2133,255120108.0,True,True,False,1.1.6,0.0,,14.8266535,100.0,0.0069169323,ZTF19aaexuhd
ztf,59984.21097220015,2230210970815015004,2,2230210970815,18.9624,1,2230,1.57148,17.048,18.0101,0.11696,0.1138,74.1786594,-26.7103429,0.354286,t17_f5_c3,,18.0099,0.1383,,False,False,True,1.1.6,0.0,2.231131800815015e+18,,,,ZTF19aaexuhd
ztf,59985.13180560013,2231131800815015004,1,2231131800815,19.545595,1,2231,1.5961002,17.565111,18.2072,0.11888826,0.0869,74.1789791,-26.7105051,0.39714286,t17_f5_c3,0.47028947,18.1871,0.1015,255120108.0,True,False,True,1.1.6,0.0,,,,,ZTF19aaexuhd
ztf,59985.16788189998,2231167880815015006,2,2231167880815,19.319061,1,2231,1.3431785,16.953878,17.5529,0.0884701,0.0594,74.1787214,-26.7103079,0.48714286,t17_f5_c3,0.48841983,17.5178,0.0679,255120208.0,True,True,False,1.1.6,0.0,,14.166319,100.0,0.0067884824,ZTF19aaexuhd
ztf,60224.45945600001,2470459450815015001,1,2470459450815,19.843815,1,2470,1.4732709,17.95205,18.1214,0.13003902,0.0815,74.1788779,-26.7104494,0.62285715,t17_f5_c3,0.8078549,18.0964,0.0946,255120108.0,True,False,False,1.2.1,0.0,,,,,ZTF19aaexuhd
ztf,60238.41787040001,2484417870815015010,1,2484417870815,20.0893,1,2484,1.28568,18.2725,19.2575,0.158001,0.2036,74.1788696,-26.7103907,0.331429,t17_f5_c3,,19.0427,0.1947,,False,True,True,1.2.1,0.0,2.492482150815015e+18,14.837128,100.0,0.0066759214,ZTF19aaexuhd
ztf,60246.482152800076,2492482150815015001,2,2492482150815,18.719187,1,2492,1.0062176,17.70589,18.0568,0.11803872,0.162,74.1788456,-26.7102783,0.57285714,t17_f5_c3,0.5300294,18.1755,0.2255,255120208.0,True,True,False,1.2.1,0.0,,14.208772,100.0,0.0047116927,ZTF19aaexuhd
