tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58522.49247690011,768492471915015027,1,768492471915,20.822931,1,768,0.54346216,20.032175,18.23485,20.1529,0.21157028,0.03854847,0.040413324,0.2088,204.8937485,17.250826,0.68857145,t15_f5_c3,0.0,20.1353,0.2573,578120119.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aailric
ztf,58580.3447106001,826344711915015013,2,826344711915,20.2211,1,826,0.335922,19.5878,17.771322,19.468,0.596371,0.1110695,0.11192469,0.1758,204.8937485,17.2508741,0.304286,t15_f5_c3,,19.4302,0.2135,,False,True,False,bulk_1.0.0,0.0,8.52380241915015e+17,ZTF19aailric
ztf,58583.359270799905,829359271915015009,1,829359271915,20.1566,1,829,1.19262,18.621,17.787626,19.3368,0.888613,0.41236368,0.412442,0.1283,204.8938231,17.2512983,0.175714,t15_f5_c3,,19.4278,0.1753,,False,True,False,bulk_1.0.0,0.0,8.52380241915015e+17,ZTF19aailric
ztf,58600.23541670013,846235411915015006,1,846235411915,20.638088,1,846,0.23713903,19.98001,18.22469,19.6731,0.1763114,0.03287789,0.03500682,0.1469,204.8938395,17.2509001,0.6642857,t15_f5_c3,0.0,19.6275,0.1773,578120119.0,False,True,False,bulk_1.0.0,0.0,8.58252761915015e+17,ZTF19aailric
ztf,58600.23541670013,846235411915015007,1,846235411915,20.638088,1,846,1.052175,20.024275,18.233335,20.0648,0.21377705,0.03924763,0.04107577,0.2013,204.8937941,17.2506677,0.16142857,t15_f5_c3,0.0,19.7093,0.1862,578120119.0,False,True,False,bulk_1.0.0,0.0,8.58252761915015e+17,ZTF19aailric
ztf,58606.380243100226,852380241915015009,1,852380241915,20.665527,1,852,0.23670755,20.324518,18.284945,20.6289,0.2144832,0.030212859,0.03277657,0.3511,204.8937798,17.2509087,0.75,t15_f5_c3,0.0,20.8546,0.5447,578120119.0,False,True,False,bulk_1.0.0,0.0,8.58252761915015e+17,ZTF19aailric
ztf,58612.247928199824,858247921915015013,2,858247921915,20.8905,1,858,0.285255,20.2321,17.866581,19.563,0.24322,0.023034107,0.027529094,0.1345,204.8938333,17.2510204,0.514286,t15_f5_c3,,19.7017,0.1862,,False,True,False,bulk_1.0.0,0.0,8.58252761915015e+17,ZTF19aailric
ztf,58612.252766199876,858252761915015015,1,858252761915,21.024145,1,858,0.363796,20.056461,18.239447,20.0748,0.20897357,0.037257653,0.039199967,0.1737,204.8937559,17.250881,0.64285713,t15_f5_c3,0.0,20.0087,0.2038,578120119.0,False,True,False,bulk_1.0.0,0.0,8.88232771915015e+17,ZTF19aailric
ztf,58628.211620400194,874211621915015018,1,874211621915,20.867,1,874,0.212123,20.0838,18.244524,19.7137,0.286534,0.05121506,0.052658163,0.1444,204.8937626,17.2509862,0.8,t17_f5_c3,,19.7037,0.1792,,False,True,False,bulk_1.0.0,0.0,8.88232771915015e+17,ZTF19aailric
ztf,58636.25403939979,882254031915015017,1,882254031915,20.975664,1,882,0.14890118,19.947863,18.218231,19.996,0.14829855,0.027680257,0.030149784,0.1666,204.8937768,17.2509426,0.9685714,t17_f5_c3,0.0,20.1913,0.2481,578120119.0,False,True,False,bulk_1.0.0,0.0,8.88232771915015e+17,ZTF19aailric
