tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58575.46232639998,821462322815015042,2,821462322815,20.56928,1,821,0.24928194,19.798775,18.344242,19.7523,0.19871005,0.050123602,0.052048333,0.1916,293.5599768,18.282994,0.55142856,t15_f5_c3,0.0,19.4964,0.1933,591120228.0,False,True,False,bulk_1.0.0,0.0,8.27447122815015e+17,ZTF19aaimjth
ztf,58581.447129600216,827447122815015022,2,827447122815,20.414515,1,827,0.30617878,19.526918,18.2662,19.4831,0.1902878,0.058136325,0.05958316,0.1746,293.5600592,18.2830445,0.49857143,t15_f5_c3,0.0,19.3769,0.2019,591120228.0,False,True,False,bulk_1.0.0,0.0,8.34448702815015e+17,ZTF19aaimjth
ztf,58582.47620370006,828476202815015037,2,828476202815,20.61236,1,828,0.14716995,19.53397,18.268402,19.6209,0.13418955,0.03973372,0.04183039,0.1627,293.5600008,18.2830957,0.49142858,t15_f5_c3,0.0,19.3729,0.1652,591120228.0,False,True,False,bulk_1.0.0,0.0,8.34448702815015e+17,ZTF19aaimjth
ztf,58584.509340300225,830509342815015029,2,830509342815,20.29744,1,830,0.15162098,19.473007,18.24903,19.5915,0.13351849,0.041294508,0.043246437,0.1993,293.5600074,18.2830389,0.6742857,t15_f5_c3,0.0,19.557,0.2468,591120228.0,False,True,False,bulk_1.0.0,0.0,8.34448702815015e+17,ZTF19aaimjth
ztf,58585.44363430003,831443632815015024,2,831443632815,20.034555,1,831,0.13896674,19.586575,18.284529,19.77,0.15782215,0.04568271,0.047571838,0.2738,293.5599315,18.2830739,0.6757143,t15_f5_c3,0.0,19.6906,0.3257,591120228.0,False,True,False,bulk_1.0.0,0.0,8.34448702815015e+17,ZTF19aaimjth
ztf,58586.49936340004,832499362815015025,2,832499362815,20.731281,1,832,0.043595612,19.509775,18.260803,19.496,0.12607002,0.037732493,0.039904594,0.1318,293.559967,18.2830511,0.5642857,t15_f5_c3,0.0,19.4145,0.1555,591120228.0,False,True,False,bulk_1.0.0,0.0,8.34448702815015e+17,ZTF19aaimjth
ztf,58588.44870370021,834448702815015021,2,834448702815,20.377514,1,834,0.11108191,19.441193,18.238623,19.6023,0.17408586,0.056083813,0.057508945,0.1955,293.5600036,18.2830635,0.6028572,t15_f5_c3,0.0,19.5778,0.2441,591120228.0,False,True,False,bulk_1.0.0,0.0,8.63483392815015e+17,ZTF19aaimjth
ztf,58591.4780323999,837478032815015028,2,837478032815,19.565086,1,837,0.15189421,19.43281,18.235846,20.056,0.21126893,0.068996176,0.070153624,0.5882,293.5600137,18.2830767,0.62,t15_f5_c3,0.0,19.6116,0.5021,591120228.0,False,True,False,bulk_1.0.0,0.0,8.63483392815015e+17,ZTF19aaimjth
ztf,58593.44230319979,839442302815015017,2,839442302815,19.49951,1,839,0.4139859,19.352139,18.208387,19.3458,0.17572893,0.06002121,0.061283447,0.3097,293.5600379,18.2829635,0.78571427,t15_f5_c3,0.0,19.4163,0.424,591120228.0,False,True,False,bulk_1.0.0,0.0,8.63483392815015e+17,ZTF19aaimjth
ztf,58597.456770800054,843456772815015021,2,843456772815,20.368803,1,843,0.05955207,19.401546,18.225365,19.2758,0.15291466,0.050208542,0.05175787,0.1479,293.5599605,18.2830501,0.46857142,t15_f5_c3,0.0,19.1857,0.1741,591120228.0,False,True,False,bulk_1.0.0,0.0,8.63483392815015e+17,ZTF19aaimjth
ztf,58598.38104170002,844381042815015037,2,844381042815,20.15796,1,844,0.18466747,19.448935,18.241175,19.6584,0.17862351,0.057325024,0.05872653,0.2508,293.5600125,18.2830314,0.5757143,t15_f5_c3,0.0,19.6253,0.3112,591120228.0,False,True,False,bulk_1.0.0,0.0,8.63483392815015e+17,ZTF19aaimjth
ztf,58605.44391199993,851443912815015020,2,851443912815,20.712095,1,851,0.09436851,19.49479,18.256037,19.5672,0.1321008,0.04018002,0.042208955,0.1421,293.5599975,18.2830646,0.51857144,t15_f5_c3,0.0,19.4313,0.1594,591120228.0,False,True,False,bulk_1.0.0,0.0,8.74401862815015e+17,ZTF19aaimjth
ztf,58606.374768500216,852374762815015042,2,852374762815,20.694813,1,852,0.24471937,19.453236,18.242586,19.5758,0.11400081,0.035131898,0.03738076,0.1454,293.5600124,18.2830062,0.54,t15_f5_c3,0.0,19.6199,0.1925,591120228.0,False,True,False,bulk_1.0.0,0.0,8.74401862815015e+17,ZTF19aaimjth
ztf,58607.38664350007,853386642815015037,2,853386642815,20.55132,1,853,0.1678967,19.39951,18.224674,19.6532,0.17078891,0.05650021,0.057879634,0.1731,293.560012,18.2830382,0.62285715,t15_f5_c3,0.0,19.6725,0.2246,591120228.0,False,True,False,bulk_1.0.0,0.0,8.74401862815015e+17,ZTF19aaimjth
ztf,58608.478148099966,854478142815015047,2,854478142815,20.899042,1,854,0.12153715,19.53516,18.268774,19.7359,0.1717698,0.0518809,0.053504746,0.1432,293.5600002,18.2830815,0.37428573,t15_f5_c3,0.0,19.6842,0.1731,591120228.0,False,True,False,bulk_1.0.0,0.0,8.74401862815015e+17,ZTF19aaimjth
ztf,58616.42068290012,862420682815015038,2,862420682815,20.904099,1,862,0.14687642,19.29262,18.18726,19.3118,0.102591164,0.03502221,0.037065152,0.0968,293.5599924,18.2830281,0.54571426,t15_f5_c3,0.0,19.1476,0.1052,591120228.0,False,True,False,bulk_1.0.0,0.0,8.74401862815015e+17,ZTF19aaimjth
ztf,58617.48339120019,863483392815015029,2,863483392815,20.89568,1,863,0.13556671,19.307812,18.192724,19.4264,0.115990564,0.03970117,0.04153243,0.1088,293.5599905,18.2830316,0.42,t15_f5_c3,0.0,19.3222,0.1251,591120228.0,False,True,False,bulk_1.0.0,0.0,8.74401862815015e+17,ZTF19aaimjth
ztf,58628.40186339989,874401862815015030,2,874401862815,20.62001,1,874,0.043456912,19.260027,18.175371,19.2003,0.13344629,0.047652468,0.049140997,0.1126,293.5599697,18.2830741,0.85714287,t17_f5_c3,0.0,19.2909,0.1554,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58632.461655099876,878461652815015032,2,878461652815,20.578342,1,878,0.13160862,19.218876,18.160034,19.1695,0.11820253,0.04297505,0.0445749,0.1087,293.5599826,18.2830271,0.8642857,t17_f5_c3,0.0,19.1138,0.1313,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58633.4235069002,879423502815015034,2,879423502815,20.49747,1,879,0.08110566,19.202269,18.153742,19.099,0.09349677,0.033593666,0.03559476,0.1052,293.5599652,18.2830426,0.9457143,t17_f5_c3,0.0,19.1144,0.1355,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58634.42138889991,880421382815015029,2,880421382815,21.090487,1,880,0.07367153,19.31686,18.195955,19.3684,0.1301405,0.044706598,0.04635006,0.0889,293.5599527,18.2830547,0.8471429,t17_f5_c3,0.0,19.2921,0.104,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58635.39467590023,881394672815015023,2,881394672815,21.060562,1,881,0.1972858,19.398323,18.224272,19.4561,0.1222928,0.039528076,0.041474454,0.0979,293.5599993,18.2830139,0.89,t17_f5_c3,0.0,19.3877,0.1158,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58636.40506940009,882405062815015050,2,882405062815,20.667141,1,882,0.11817852,19.212072,18.157465,19.2276,0.101896584,0.036724612,0.03857593,0.1051,293.5599634,18.2830941,0.92714286,t17_f5_c3,0.0,19.2523,0.1363,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58637.42133100005,883421332815015027,2,883421332815,21.079834,1,883,0.34748474,19.349907,18.20761,19.4542,0.08952931,0.028714979,0.031264126,0.0963,293.5600048,18.2829702,0.8914286,t17_f5_c3,0.0,19.2069,0.0969,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58638.46232639998,884462322815015027,2,884462322815,20.553928,1,884,0.10251538,19.288973,18.18594,19.3373,0.1138294,0.03939105,0.04121368,0.1256,293.5599519,18.2830415,0.93857145,t17_f5_c3,0.0,19.3128,0.1562,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58639.40327550005,885403272815015043,2,885403272815,20.644133,1,885,0.1220479,19.323154,18.198193,19.3715,0.1181733,0.040099088,0.041930933,0.121,293.5599798,18.2830322,0.9057143,t17_f5_c3,0.0,19.2682,0.1399,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58641.461608800106,887461602815015039,2,887461602815,20.960934,1,887,0.08375062,19.458815,18.244411,19.6228,0.14885068,0.046927486,0.048639584,0.1208,293.5599457,18.2830668,0.8,t17_f5_c3,0.0,19.407,0.1255,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58642.440624999814,888440622815015028,2,888440622815,20.737167,1,888,0.01818672,19.397161,18.223879,19.367,0.13130596,0.042758446,0.04456267,0.1134,293.5599643,18.2830646,0.8914286,t17_f5_c3,0.0,19.3415,0.1406,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58643.461412000004,889461412815015023,2,889461412815,20.156864,1,889,0.27841228,19.494385,18.255907,19.5807,0.14528954,0.04459897,0.046434794,0.1758,293.5599146,18.2830067,0.8214286,t17_f5_c3,0.0,19.4813,0.2051,591120228.0,False,True,False,bulk_1.0.0,0.0,8.90462852815015e+17,ZTF19aaimjth
ztf,58644.462858799845,890462852815015032,2,890462852815,20.75878,1,890,0.11760609,19.58074,18.282768,19.7133,0.14102164,0.04055753,0.042667456,0.1548,293.5599432,18.2830832,0.88,t17_f5_c3,0.0,19.678,0.1909,591120228.0,False,True,False,bulk_1.0.0,0.0,8.94475872815015e+17,ZTF19aaimjth
ztf,58645.47277780017,891472772815015045,2,891472772815,20.693329,1,891,0.08275177,19.539242,18.270044,20.0289,0.13769935,0.04072711,0.042781167,0.2203,293.5599565,18.2830441,0.80857146,t17_f5_c3,0.0,19.8573,0.2399,591120228.0,False,True,False,bulk_1.0.0,0.0,8.94475872815015e+17,ZTF19aaimjth
ztf,58647.31516199978,893315162815015023,2,893315162815,20.497444,1,893,0.08062499,19.600502,18.28871,19.8827,0.2170952,0.06346996,0.06485343,0.2316,293.5599509,18.2830504,0.82285714,t17_f5_c3,0.0,19.6956,0.2493,591120228.0,False,True,False,bulk_1.0.0,0.0,8.94475872815015e+17,ZTF19aaimjth
ztf,58648.475879599806,894475872815015034,2,894475872815,20.56336,1,894,0.29431075,19.751162,18.331568,19.9948,0.14937654,0.037954208,0.0404059,0.2345,293.5598942,18.2830235,0.88857144,t17_f5_c3,0.0,19.8473,0.2615,591120228.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aaimjth
ztf,58699.29464119999,945294642815015044,2,945294642815,20.8573,1,945,0.160309,20.148,18.425423,19.9303,0.217176,0.04179236,0.044440687,0.1734,293.5599584,18.283018,0.725714,t17_f5_c3,,19.7328,0.1846,,False,True,False,bulk_1.0.0,0.0,9.50290522815015e+17,ZTF19aaimjth
ztf,58704.29052079981,950290522815015042,2,950290522815,20.354681,1,950,0.15951027,19.642305,18.30103,19.9763,0.15219553,0.042145688,0.04424777,0.2758,293.559979,18.2830185,0.85142857,t17_f5_c3,0.9999989,19.8964,0.3281,591120228.0,False,True,False,bulk_1.0.0,0.0,9.71250412815015e+17,ZTF19aaimjth
ztf,58707.20748839993,953207482815015065,2,953207482815,19.7833,1,953,0.202193,19.5758,18.281271,19.8241,0.240005,0.071634434,0.072846465,0.384,293.5599825,18.2830069,0.737143,t17_f5_c3,,19.778,0.4724,,False,True,False,bulk_1.0.0,0.0,9.71250412815015e+17,ZTF19aaimjth
ztf,58708.20895829983,954208952815015048,2,954208952815,19.9417,1,954,0.088907,19.775,18.337965,20.5207,0.273742,0.07152006,0.07286639,0.6764,293.5599457,18.2830752,0.582857,t17_f5_c3,,20.6767,1.0023,,False,True,False,bulk_1.0.0,0.0,9.71250412815015e+17,ZTF19aaimjth
