tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58523.21856479999,769218562515015025,2,769218562515,20.699526,1,769,3.1826484,19.760433,19.7057,0.13999605,0.1745,124.2091302,61.1811195,0.5985714,t15_f5_c3,0.0,19.6915,0.2169,815120225.0,False,False,False,bulk_1.0.0,0.0,787245042515015015,ZTF19aaiqazu
ztf,58538.26351850014,784263512515015006,1,784263512515,19.855,1,784,3.36143,20.0328,19.9103,0.34247,0.4293,124.2093098,61.1809666,0.194286,t15_f5_c3,,19.7024,0.4538,,False,False,False,bulk_1.0.0,0.0,813218202515015008,ZTF19aaiqazu
ztf,58541.24504629988,787245042515015015,1,787245042515,20.538013,1,787,3.1209943,20.20288,20.4742,0.20540625,0.3023,124.2090885,61.1810372,0.2,t15_f5_c3,0.0,20.3729,0.3496,815120125.0,False,False,False,bulk_1.0.0,0.0,813218202515015008,ZTF19aaiqazu
ztf,58546.30038189981,792300382515025008,2,792300382515,20.3109,1,792,3.16696,19.9952,19.7235,0.187423,0.1733,124.2091171,61.1811176,0.235714,t15_f5_c3,,19.7793,0.2307,,False,False,False,bulk_1.0.0,0.0,819242322515015003,ZTF19aaiqazu
ztf,58556.193437499925,802193432515025003,2,802193432515,19.8432,1,802,3.62321,19.8822,19.6119,0.246433,0.2255,124.2093477,61.1811742,0.194286,t15_f5_c3,,19.6278,0.292,,False,False,False,bulk_1.0.0,0.0,819242322515015003,ZTF19aaiqazu
ztf,58559.22114579985,805221142515015004,2,805221142515,19.8565,1,805,3.14485,19.6659,19.5781,0.222576,0.3203,124.2090922,61.1811216,0.74,t15_f5_c3,,19.5826,0.4119,,False,False,False,bulk_1.0.0,0.0,819242322515015003,ZTF19aaiqazu
ztf,58567.21820600005,813218202515015008,2,813218202515,20.501087,1,813,3.1256583,19.76795,19.873,0.13631701,0.2307,124.2090998,61.1811089,0.88714284,t15_f5_c3,0.0,19.6219,0.2325,815120225.0,False,False,False,bulk_1.0.0,0.0,819242322515015003,ZTF19aaiqazu
ztf,58573.24232639978,819242322515015003,2,819242322515,20.276857,1,819,3.1980937,19.708439,19.757,0.16054527,0.2395,124.2091649,61.1810986,0.75142854,t15_f5_c3,0.0,19.7992,0.3165,815120225.0,False,False,False,bulk_1.0.0,0.0,840166182515015003,ZTF19aaiqazu
ztf,58581.237916700076,827237912515015007,2,827237912515,20.442852,1,827,3.3642187,19.79005,19.6565,0.17985365,0.2085,124.2091652,61.1811765,0.75857145,t15_f5_c3,0.0,19.6422,0.2615,815120225.0,False,False,False,bulk_1.0.0,0.0,840166182515015003,ZTF19aaiqazu
ztf,58594.16618059995,840166182515015003,2,840166182515,20.286804,1,840,3.2637901,19.951416,19.589,0.15565313,0.2071,124.2091918,61.1811156,0.6785714,t15_f5_c3,0.0,19.6429,0.2766,815120225.0,True,False,False,bulk_1.0.0,0.0,0,ZTF19aaiqazu
