tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58494.43862270005,740438622015015033,2,740438622015,20.4217,1,740,0.346187,18.5815,16.073492,18.6504,0.11883,0.0047231205,0.011795693,0.0842,179.4716148,-3.2603148,0.608571,t15_f5_c3,18.6493,0.1012,False,True,False,bulk_1.0.0,0.0,7.70420532015015e+17,,,ZTF19aajwevk
ztf,58505.50231479993,751502312015015008,2,751502312015,18.8693,1,751,0.540544,18.2292,16.032948,18.1374,0.134456,0.014419436,0.01778603,0.1125,179.4715933,-3.2601777,0.547143,t15_f5_c3,18.1299,0.1417,False,True,False,bulk_1.0.0,0.0,7.70420532015015e+17,,,ZTF19aajwevk
ztf,58524.42053239979,770420532015015014,1,770420532015,20.00204,1,770,1.2800137,18.075222,16.129179,18.2623,0.10987946,0.015840337,0.018302038,0.055,179.4717027,-3.259915,0.3857143,t15_f5_c3,18.3061,0.0684,True,True,False,bulk_1.0.0,0.0,0.0,0.0,421120120.0,ZTF19aajwevk
ztf,60247.53682869999,2493536822015015000,2,2493536822015,18.481,1,2493,0.169891,17.1657,15.817041,17.0785,0.080705,0.021685194,0.023304334,0.0661,179.4717411,-3.2603125,0.788571,t17_f5_c3,17.0358,0.0811,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60247.539189800154,2493539182015015024,2,2493539182015,18.3446,1,2493,0.508626,17.4678,15.895993,17.1082,0.119649,0.026591534,0.02813107,0.0708,179.4716864,-3.2604212,0.478571,t17_f5_c3,17.129,0.0921,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60247.541562499944,2493541562015015035,2,2493541562015,18.379,1,2493,0.186702,17.0736,15.789635,17.1616,0.064065,0.017784309,0.019635163,0.0782,179.4717588,-3.2602733,0.781429,t17_f5_c3,17.0814,0.0928,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60247.54392360011,2493543922015015106,2,2493543922015,17.9741,1,2493,1.10359,17.2123,15.830293,17.1884,0.120112,0.03250584,0.033634417,0.0897,179.4719741,-3.2604386,0.417143,t17_f5_c3,17.166,0.1124,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60247.54630789999,2493546302015015154,2,2493546302015,17.8671,1,2493,0.562174,17.0587,15.785047,17.3523,0.091806,0.027170265,0.028405959,0.13,179.4718543,-3.260337,0.504286,t17_f5_c3,17.1585,0.1394,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60248.53920139978,2494539202015015016,2,2494539202015,18.3106,1,2494,1.25254,17.0934,15.795665,17.2904,0.094562,0.027365975,0.02861692,0.0725,179.4720584,-3.2603127,0.55,t17_f5_c3,17.2503,0.0891,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60248.5415856,2494541582015015055,2,2494541582015,18.3085,1,2494,0.84968,17.2273,15.834473,17.1008,0.127595,0.034295846,0.035375502,0.0667,179.4719456,-3.2602963,0.464286,t17_f5_c3,17.0737,0.083,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60248.54394679982,2494543942015015076,2,2494543942015,18.1695,1,2494,0.527448,17.0439,15.780445,17.1739,0.091868,0.027481224,0.028693436,0.0823,179.4718119,-3.2601748,0.595714,t17_f5_c3,17.1774,0.1054,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60248.54631939996,2494546312015015148,2,2494546312015,17.9886,1,2494,0.621585,17.0917,15.79515,17.2485,0.083854,0.023987569,0.025404109,0.105,179.4718801,-3.2602552,0.492857,t17_f5_c3,17.1722,0.1255,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60249.5392593001,2495539252015015069,2,2495539252015,17.898,1,2495,0.498937,17.0376,15.778474,16.9596,0.10084,0.030529832,0.0316215,0.1357,179.4718075,-3.2601818,0.68,t17_f5_c3,16.9952,0.1797,False,True,False,1.2.1,0.0,2.495541702015015e+18,,,ZTF19aajwevk
ztf,60249.54170140019,2495541702015015147,2,2495541702015,17.785315,1,2495,0.8244064,17.16956,15.818154,17.3475,0.105211705,0.029074855,0.030304141,0.196,179.4718202,-3.2600772,0.5228571,t17_f5_c3,17.2946,0.2394,True,True,False,1.2.1,0.0,,0.99990237,421120220.0,ZTF19aajwevk
ztf,61024.57893519988,3270578932015015017,2,3270578932015,19.4698,1,3270,0.299075,17.1418,15.810085,17.2832,0.039896,0.008062851,0.011701557,0.0569,179.4717905,-3.2602734,0.892857,t17_f5_c3,17.2365,0.069,False,True,False,27.5.7a32.dev1,0.0,3.299403722015015e+18,,,ZTF19aajwevk
ztf,61027.459907399956,3273459902015015009,1,3273459902015,19.5031,1,3273,0.446481,17.1014,15.893998,17.1845,0.067313,0.020870836,0.022137983,0.0407,179.4718279,-3.26026,0.945714,t17_f5_c3,17.209,0.0515,False,True,False,27.5.7a32.dev1,0.0,3.299403722015015e+18,,,ZTF19aajwevk
ztf,61027.580601899885,3273580602015015006,2,3273580602015,18.6395,1,3273,0.384324,17.142,15.810144,17.1733,0.068939,0.018352482,0.020217277,0.0972,179.4718138,-3.2602945,0.848571,t17_f5_c3,17.1082,0.1173,False,True,False,27.5.7a32.dev1,0.0,3.299403722015015e+18,,,ZTF19aajwevk
ztf,61030.58065970009,3276580652015015001,2,3276580652015,18.983,1,3276,0.372252,17.0918,15.79518,17.1635,0.05764,0.015327328,0.017461276,0.0793,179.4718109,-3.2602894,0.835714,t17_f5_c3,17.0537,0.0916,False,True,False,27.5.7a32.dev1,0.0,3.299403722015015e+18,,,ZTF19aajwevk
ztf,61037.497928199824,3283497922015015015,1,3283497922015,19.2971,1,3283,0.427434,17.2119,15.929113,17.2097,0.070744,0.020322379,0.021705741,0.0344,179.4718211,-3.2602513,0.624286,t17_f5_c3,17.1858,0.0415,False,True,False,27.5.7a32.dev1,0.0,3.299403722015015e+18,,,ZTF19aajwevk
