tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58558.48903940013,804489030015015012,1,804489030015,19.745525,1,804,1.9503812,17.616558,17.2398,0.10751105,0.0317,309.4553054,30.5156481,0.22857143,t15_f5_c3,0.0,17.2045,0.0364,687120100.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF19aamrgxa
ztf,59621.54420140013,1867544200015015010,2,1867544200015,19.149,1,1867,0.595137,15.3059,15.5741,0.075938,0.0134,309.4551071,30.5160018,0.644286,t17_f5_c3,,15.5576,0.015,,False,True,False,correction_1.0.6,0.0,1.868543860015015e+18,13.400807,100.0,0.013134765,ZTF19aamrgxa
ztf,59621.54942130018,1867549420015015016,2,1867549420015,19.0362,1,1867,0.530501,15.5461,15.5392,0.06171,0.0127,309.4551704,30.5160466,0.561429,t17_f5_c3,,15.5045,0.014,,False,True,False,correction_1.0.6,0.0,1.868543860015015e+18,13.438734,100.0,0.008859503,ZTF19aamrgxa
ztf,59621.55201390013,1867552010015015017,2,1867552010015,19.0461,1,1867,0.77832,15.4081,15.5153,0.047414,0.0125,309.4550925,30.5159476,0.641429,t17_f5_c3,,15.4775,0.0137,,False,True,False,correction_1.0.6,0.0,1.868543860015015e+18,13.41781,100.0,0.007582124,ZTF19aamrgxa
ztf,59622.54386569979,1868543860015015040,2,1868543860015,18.905443,1,1868,1.2830453,15.034979,15.3714,0.06090865,0.0108,309.4553784,30.5159246,0.51285714,t17_f5_c3,0.63114756,15.3478,0.012,687120200.0,True,True,False,correction_1.0.6,0.0,,13.3488455,100.0,0.012889187,ZTF19aamrgxa
ztf,59678.47737269988,1924477370015015029,2,1924477370015,20.3144,1,1924,0.389511,15.771,16.1055,0.086854,0.016,309.4550014,30.5160725,0.597143,t17_f5_c3,,16.0005,0.0161,,False,True,False,correction_1.0.6,0.0,1.954350940015015e+18,13.468296,100.0,0.01041618,ZTF19aamrgxa
ztf,59678.47737269988,1924477370015015032,2,1924477370015,20.3144,1,1924,0.383203,15.8737,15.8465,0.0211,0.0138,309.455008,30.5160713,0.687143,t17_f5_c3,,15.8406,0.0147,,False,True,False,correction_1.0.6,0.0,1.954350940015015e+18,13.480113,100.0,0.0023272736,ZTF19aamrgxa
ztf,59682.41232640017,1928412320015015009,1,1928412320015,18.991,1,1928,0.682488,17.4743,17.5037,0.09491,0.0764,309.4552265,30.5160216,0.898571,t17_f5_c3,,17.4759,0.0939,,False,True,True,correction_1.0.6,0.0,1.954350940015015e+18,15.417944,100.0,0.014281353,ZTF19aamrgxa
ztf,59684.42704859981,1930427040015015025,2,1930427040015,19.2563,1,1930,0.273822,16.0335,15.9639,0.0571,0.0211,309.4551123,30.5160991,0.83,t17_f5_c3,,15.9388,0.0244,,False,True,False,correction_1.0.6,0.0,1.954350940015015e+18,13.496628,100.0,0.0055193356,ZTF19aamrgxa
ztf,59684.483148099855,1930483140015015010,1,1930483140015,19.4157,1,1930,0.130211,17.4363,17.5253,0.081885,0.0639,309.4550493,30.5161248,0.957143,t17_f5_c3,,17.42,0.0728,,False,True,True,correction_1.0.6,0.0,1.954350940015015e+18,15.41214,100.0,0.012692299,ZTF19aamrgxa
ztf,59687.41373840021,1933413730015025023,2,1933413730015,19.1492,1,1933,0.538198,15.865,15.9818,0.131423,0.0233,309.4550402,30.5160148,0.578571,t17_f5_c3,,15.9605,0.0271,,False,True,False,correction_1.0.6,0.0,1.954350940015015e+18,13.47915,100.0,0.014599275,ZTF19aamrgxa
