tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58547.34715279983,793347152715015036,1,793347152715,20.4888,1,793,0.306067,20.3599,19.006828,20.1172,0.25318,0.06537416,0.07281161,0.2287,219.84164,60.6504735,0.612857,t15_f5_c3,19.9531,0.2503,False,True,False,bulk_1.0.0,0.0,8.21401782715015e+17,,,ZTF19aamurzb
ztf,58547.4912268999,793491222715015032,2,793491222715,20.5799,1,793,0.662481,20.5867,18.614359,20.8417,0.281879,100.0,0.04582751,0.4998,219.8417526,60.6505502,0.628571,t15_f5_c3,20.5321,0.4785,False,True,False,bulk_1.0.0,0.0,8.21401782715015e+17,,,ZTF19aamurzb
ztf,58556.38517360017,802385172715025014,1,802385172715,20.1055,1,802,0.693185,20.3805,19.012712,20.4756,0.327512,0.0871509,0.092920564,0.3068,219.8415116,60.6506427,0.365714,t15_f5_c3,20.3081,0.3354,False,True,False,bulk_1.0.0,0.0,8.26379422715015e+17,,,ZTF19aamurzb
ztf,58560.36958329985,806369582715015006,2,806369582715,20.0354,1,806,1.07928,20.1866,18.538425,19.8615,0.353731,0.060541283,0.07751819,0.3429,219.8414905,60.6504559,0.56,t15_f5_c3,19.66,0.3649,False,True,False,bulk_1.0.0,0.0,8.26379422715015e+17,,,ZTF19aamurzb
ztf,58567.39150460018,813391502715015009,2,813391502715,20.1574,1,813,0.912129,20.3247,18.567223,19.418,0.239134,100.0,0.04738606,0.2003,219.841596,60.6504204,0.377143,t15_f5_c3,19.3939,0.2502,False,True,False,bulk_1.0.0,0.0,8.26379422715015e+17,,,ZTF19aamurzb
ztf,58572.348437500186,818348432715015019,1,818348432715,19.9766,1,818,0.206297,20.3344,18.999434,20.8103,0.335484,0.0927926,0.098103575,0.7728,219.8417477,60.6504522,0.745714,t15_f5_c3,20.7057,0.8996,False,True,False,bulk_1.0.0,0.0,8.26379422715015e+17,,,ZTF19aamurzb
ztf,58572.46143520018,818461432715015024,2,818461432715,20.4002,1,818,0.716617,20.3698,18.576012,20.0549,0.244304,100.0,0.046818253,0.305,219.8416891,60.6504855,0.81,t15_f5_c3,20.351,0.5107,False,True,False,bulk_1.0.0,0.0,8.26379422715015e+17,,,ZTF19aamurzb
ztf,58575.34140049992,821341402715015041,1,821341402715,20.72193,1,821,0.33791277,20.526983,19.052303,20.6259,0.19200736,0.036327012,0.049368046,0.3664,219.8416171,60.650468,0.83285713,t15_f5_c3,20.4338,0.3914,False,True,False,bulk_1.0.0,0.0,8.26379422715015e+17,0.0,822120127.0,ZTF19aamurzb
ztf,58575.401782399975,821401782715015035,2,821401782715,20.686176,1,821,0.93376297,20.10511,18.520037,19.7432,0.16465043,100.0,0.038241394,0.182,219.8415683,60.6504741,0.66571426,t15_f5_c3,19.8033,0.2434,False,True,False,bulk_1.0.0,0.0,8.26379422715015e+17,0.0,822120227.0,ZTF19aamurzb
ztf,58580.30767360004,826307672715015025,1,826307672715,20.4795,1,826,0.386413,20.325,18.996675,19.9682,0.265259,0.07128937,0.0780441,0.2016,219.8416147,60.6505685,0.471429,t15_f5_c3,20.1854,0.3125,False,True,False,bulk_1.0.0,0.0,8.26379422715015e+17,,,ZTF19aamurzb
ztf,58580.37942129979,826379422715015019,2,826379422715,20.404749,1,826,0.7275956,20.164001,18.533434,20.0643,0.17398782,100.0,0.038751774,0.2698,219.8416867,60.6504734,0.8528572,t15_f5_c3,20.266,0.413,False,True,False,bulk_1.0.0,0.0,8.32325312715015e+17,0.0,822120227.0,ZTF19aamurzb
ztf,58583.30484949984,829304842715015034,2,829304842715,20.1962,1,829,0.911686,20.3007,18.562424,20.3517,0.245987,0.0034301856,0.049613774,0.3656,219.8416038,60.6505622,0.692857,t15_f5_c3,20.563,0.5652,False,True,False,bulk_1.0.0,0.0,8.32325312715015e+17,,,ZTF19aamurzb
ztf,58586.32531249989,832325312715015012,2,832325312715,20.318,1,832,0.8555447,20.103563,18.519678,20.2278,0.19099444,100.0,0.044408545,0.3675,219.841613,60.6504752,0.8471429,t15_f5_c3,20.2762,0.4902,False,True,False,bulk_1.0.0,0.0,8.52344182715015e+17,0.0,822120227.0,ZTF19aamurzb
ztf,58596.194861100055,842194862715015014,1,842194862715,20.3596,1,842,0.239545,20.4599,19.034655,21.2336,0.262442,0.062494468,0.070621274,0.7113,219.8417462,60.6504463,0.685714,t15_f5_c3,20.9342,0.6901,False,True,False,bulk_1.0.0,0.0,8.52344182715015e+17,,,ZTF19aamurzb
ztf,58596.2877894002,842287782715015013,2,842287782715,20.2729,1,842,0.851589,20.05,18.506987,19.6439,0.166181,100.0,0.040121388,0.2275,219.8416153,60.6504811,0.785714,t15_f5_c3,19.7652,0.3244,False,True,False,bulk_1.0.0,0.0,8.52344182715015e+17,,,ZTF19aamurzb
ztf,58606.34418979986,852344182715015014,2,852344182715,20.718306,1,852,0.59996754,20.012228,18.497746,20.0229,0.14182882,100.0,0.035153735,0.2273,219.8417956,60.6504027,0.87857145,t15_f5_c3,19.8953,0.2561,False,True,False,bulk_1.0.0,0.0,8.79263842715015e+17,0.0,822120227.0,ZTF19aamurzb
ztf,58606.4625694002,852462562715015021,1,852462562715,20.821472,1,852,0.21166644,20.202549,18.959192,20.2786,0.15833491,0.039955627,0.050377205,0.2388,219.841685,60.6505224,0.8528572,t15_f5_c3,20.1711,0.2744,False,True,False,bulk_1.0.0,0.0,8.79263842715015e+17,0.0,822120127.0,ZTF19aamurzb
ztf,58612.24045140017,858240452715015027,2,858240452715,20.760437,1,858,0.6721147,20.095783,18.517864,20.0109,0.14570251,100.0,0.034064285,0.2159,219.8417121,60.6504993,0.83,t15_f5_c3,19.8907,0.2446,False,True,False,bulk_1.0.0,0.0,8.79263842715015e+17,0.0,822120227.0,ZTF19aamurzb
ztf,58612.30587959988,858305872715015029,1,858305872715,21.042515,1,858,0.2872759,20.400307,19.018295,20.3445,0.17758173,0.037723996,0.049727153,0.2104,219.8416663,60.6504585,0.82714283,t15_f5_c3,20.4251,0.2856,False,True,False,bulk_1.0.0,0.0,8.79263842715015e+17,0.0,822120127.0,ZTF19aamurzb
ztf,58616.18581019994,862185812715015011,2,862185812715,20.207,1,862,0.823044,20.2456,18.551085,20.188,0.219528,100.0,0.04609816,0.4347,219.8416317,60.6504779,0.837143,t15_f5_c3,20.1937,0.5589,False,True,False,bulk_1.0.0,0.0,8.79263842715015e+17,,,ZTF19aamurzb
ztf,58633.26384259993,879263842715015031,1,879263842715,20.781176,1,879,0.36071894,20.354261,19.005203,20.1644,0.21384996,0.052780032,0.061728522,0.2264,219.8416115,60.6504617,0.92,t17_f5_c3,19.9592,0.2385,False,True,False,bulk_1.0.0,0.0,8.79307562715015e+17,0.0,822120127.0,ZTF19aamurzb
ztf,58633.30756939994,879307562715015017,2,879307562715,20.647198,1,879,0.83366156,19.930964,18.47703,19.7855,0.16152221,100.0,0.042331,0.191,219.8416277,60.6504445,0.86714286,t17_f5_c3,19.8259,0.2509,False,True,False,bulk_1.0.0,0.0,8.88260172715015e+17,0.0,822120227.0,ZTF19aamurzb
ztf,58636.21883099992,882218832715015013,2,882218832715,20.686989,1,882,0.73151577,19.948301,18.481546,19.8008,0.12804393,100.0,0.033163242,0.1848,219.8416861,60.6504879,0.95,t17_f5_c3,19.8021,0.2344,False,True,False,bulk_1.0.0,0.0,8.88260172715015e+17,0.0,822120227.0,ZTF19aamurzb
ztf,58636.28334489977,882283342715015020,1,882283342715,20.892797,1,882,0.0715914,20.204557,18.959831,20.1065,0.1848549,0.050079655,0.058740873,0.1882,219.8417786,60.6504899,0.93285716,t17_f5_c3,20.1429,0.2459,False,True,False,bulk_1.0.0,0.0,8.88260172715015e+17,0.0,822120127.0,ZTF19aamurzb
ztf,58639.2832986,885283292715015026,2,885283292715,20.709892,1,885,0.6324117,19.877657,18.462803,20.1153,0.1262384,100.0,0.034296535,0.2431,219.8417415,60.65049,0.95857143,t17_f5_c3,20.1712,0.3238,False,True,False,bulk_1.0.0,0.0,8.88260172715015e+17,0.0,822120227.0,ZTF19aamurzb
ztf,58642.26017360017,888260172715015021,2,888260172715,20.767582,1,888,0.7798469,20.03618,18.503633,19.7899,0.12990095,100.0,0.031666014,0.1745,219.8416501,60.6504757,0.92285717,t17_f5_c3,19.9654,0.2589,False,True,False,bulk_1.0.0,0.0,9.03202012715015e+17,0.0,822120227.0,ZTF19aamurzb
