tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58575.4594676001,821459466015015014,2,821459466015,20.594986,1,821,2.168813,16.251776,16.8041,0.06716992,0.02,274.9228318,0.7201326,0.06714286,t15_f5_c3,0.0,16.79,0.0221,435120260.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF19aaontqy
ztf,59254.54859950021,1500548596015015011,2,1500548596015,18.1368,1,1500,0.590262,16.158,16.0751,0.084529,0.057,274.9225255,0.720482,0.718571,t17_f5_c3,,16.0601,0.0699,,False,True,True,correction_0.0.1,0.0,,14.422678,0.007905841,0.0170953,ZTF19aaontqy
ztf,59254.55151619995,1500551516015015101,2,1500551516015,19.4508,1,1500,0.573396,16.0677,16.0189,0.05463,0.0224,274.9225302,0.720487,0.555714,t17_f5_c3,,16.0162,0.0263,,False,True,True,correction_0.0.1,0.0,,14.4038,100.0,0.01179971,ZTF19aaontqy
ztf,59254.55443290016,1500554436015015038,2,1500554436015,19.1445,1,1500,0.675492,16.3221,16.1232,0.106075,0.025,274.9224955,0.7204545,0.725714,t17_f5_c3,,16.1191,0.0297,,False,True,True,correction_0.0.1,0.0,,14.453925,0.010814783,0.018982053,ZTF19aaontqy
ztf,59254.5602545999,1500560256015015034,2,1500560256015,18.6623,1,1500,0.359824,16.1043,16.0658,0.056711,0.0329,274.9225782,0.7205818,0.791429,t17_f5_c3,,16.0339,0.0389,,False,True,True,correction_0.0.1,0.0,,14.411601,100.0,0.01192856,ZTF19aaontqy
ztf,59255.54848380014,1501548486015015015,2,1501548486015,19.9749,1,1501,0.474278,15.9984,16.0462,0.052756,0.0136,274.9224885,0.7205113,0.742857,t17_f5_c3,,16.0077,0.0149,,False,True,True,correction_0.0.1,0.0,,14.388453,100.0,0.01197548,ZTF19aaontqy
ztf,59255.55769680021,1501557696015015012,2,1501557696015,20.0832,1,1501,0.666899,16.1929,16.1263,0.042216,0.0142,274.9225421,0.7204622,0.532857,t17_f5_c3,,16.0849,0.0155,,False,True,True,correction_0.0.1,0.0,,14.4296465,100.0,0.008321005,ZTF19aaontqy
ztf,59255.56075230008,1501560756015015013,2,1501560756015,20.0964,1,1501,0.559932,16.1707,16.1376,0.052169,0.0145,274.9225055,0.7204852,0.615714,t17_f5_c3,,16.0968,0.0159,,False,True,True,correction_0.0.1,0.0,,14.425235,100.0,0.010452649,ZTF19aaontqy
ztf,59256.54622690007,1502546226015015007,2,1502546226015,20.175,1,1502,0.755884,16.1792,16.4489,0.065154,0.0169,274.9225487,0.7204381,0.374286,t17_f5_c3,,16.3682,0.0185,,False,True,True,correction_0.0.1,0.0,,14.426932,100.0,0.012972818,ZTF19aaontqy
ztf,59256.549294000026,1502549296015015012,2,1502549296015,20.1873,1,1502,0.247739,16.1847,16.1508,0.066937,0.0142,274.922492,0.720575,0.637143,t17_f5_c3,,16.1241,0.0156,,False,True,True,correction_0.0.1,0.0,,14.428025,100.0,0.013273833,ZTF19aaontqy
ztf,59256.55848379992,1502558486015015017,2,1502558486015,19.9251,1,1502,1.45971,16.2025,16.9261,0.083906,0.026,274.9226155,0.7202508,0.231429,t17_f5_c3,,16.8269,0.0289,,False,False,False,correction_0.0.1,0.0,,,,,ZTF19aaontqy
ztf,59256.55848379992,1502558486015015018,2,1502558486015,19.9251,1,1502,0.21213,16.098,16.1048,0.019177,0.0145,274.9225018,0.7205849,0.772857,t17_f5_c3,,16.0673,0.0161,,False,True,True,correction_0.0.1,0.0,,14.410274,100.0,0.0040521924,ZTF19aaontqy
ztf,59258.54695599992,1504546956015015032,2,1504546956015,19.3284,1,1504,0.500845,16.0525,16.0968,0.045936,0.0169,274.9224931,0.7205037,0.788571,t17_f5_c3,,16.0549,0.0191,,False,True,True,correction_0.0.1,0.0,,14.400498,100.0,0.010031196,ZTF19aaontqy
