tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58575.46050930023,821460501515015025,2,821460501515,20.46609,1,821,6.979787,17.212112,17.284,0.05762421,0.0237,285.8123129,1.3411517,0.7,t15_f5_c3,0.0,17.2929,0.0296,488120215,False,False,False,bulk_1.0.0,0.0,833506291515015003,ZTF19aaontsz
ztf,58581.44664350012,827446641515015011,2,827446641515,19.777538,1,827,6.968994,18.0767,18.2564,0.08241916,0.1012,285.8123052,1.3411584,0.6157143,t15_f5_c3,0.0,18.4619,0.1558,488120215,False,False,False,bulk_1.0.0,0.0,833506291515015003,ZTF19aaontsz
ztf,58582.440567099955,828440561515015010,2,828440561515,20.055536,1,828,6.968172,17.835669,17.9348,0.06626864,0.0517,285.8123128,1.3411477,0.74285716,t15_f5_c3,0.0,18.0329,0.0716,488120215,False,False,False,bulk_1.0.0,0.0,833506291515015003,ZTF19aaontsz
ztf,58585.441365700215,831441361515015007,2,831441361515,19.93618,1,831,6.9862256,17.350637,17.4217,0.052701537,0.0343,285.8123259,1.3411401,0.70714283,t15_f5_c3,0.0,17.5259,0.0474,488120215,False,False,False,bulk_1.0.0,0.0,833506291515015003,ZTF19aaontsz
ztf,58587.50629629986,833506291515015003,2,833506291515,18.020012,1,833,7.187495,17.653404,17.5991,0.18088445,0.2531,285.8123251,1.3412286,0.38285714,t15_f5_c3,0.0,17.7318,0.3668,488120215,False,False,False,bulk_1.0.0,0.0,851441621515015015,ZTF19aaontsz
ztf,58588.418587999884,834418581515015011,2,834418581515,19.998716,1,834,6.9763675,17.63107,17.77,0.06476711,0.0529,285.8123175,1.3411474,0.7242857,t15_f5_c3,0.0,17.8551,0.0726,488120215,False,False,False,bulk_1.0.0,0.0,853359181515015016,ZTF19aaontsz
ztf,58605.441620400175,851441621515015015,2,851441621515,20.556084,1,851,6.9561324,18.297092,18.3956,0.07411089,0.0567,285.8122854,1.3411751,0.70285714,t15_f5_c3,0.0,18.593,0.0855,488120215,False,False,False,bulk_1.0.0,0.0,853359181515015016,ZTF19aaontsz
ztf,58607.35918979999,853359181515015016,2,853359181515,20.333746,1,853,6.9959593,18.30102,18.4918,0.08107348,0.0713,285.8123177,1.3411527,0.6571429,t15_f5_c3,0.0,18.7784,0.1175,488120215,False,False,False,bulk_1.0.0,0.0,883351771515015013,ZTF19aaontsz
ztf,58617.37417820003,863374171515015012,2,863374171515,20.26373,1,863,7.0442276,18.477898,18.6299,0.08544112,0.0924,285.8123178,1.3411771,0.62,t15_f5_c3,0.0,18.9485,0.1577,488120215,False,False,False,bulk_1.0.0,0.0,888439721515015009,ZTF19aaontsz
ztf,58633.3388772998,879338871515015014,2,879338871515,20.645327,1,879,7.0466957,18.681133,18.7723,0.07668668,0.073,285.8123237,1.3411639,0.94285715,t17_f5_c3,0.0,19.1268,0.1274,488120215,False,False,False,bulk_1.0.0,0.0,889298551515015009,ZTF19aaontsz
ztf,58637.35177080007,883351771515015013,2,883351771515,20.831944,1,883,7.010231,18.412567,18.628,0.0676753,0.0553,285.812297,1.3411824,0.92714286,t17_f5_c3,0.0,18.8825,0.0871,488120215,False,False,False,bulk_1.0.0,0.0,889298551515015009,ZTF19aaontsz
