tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58581.46723379986,827467235515015021,1,827467235515,20.447428,1,827,2.6593769,17.938538,18.4086,0.16698249,0.1075,268.7554925,6.8052146,0.08,t15_f5_c3,0.0,18.3375,0.1108,485120155.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF19aaphizx
ztf,59115.149745400064,1361149745515015016,2,1361149745515,20.0763,1,1361,0.975267,16.1551,16.3924,0.151286,0.0244,268.7548885,6.8050853,0.341429,t17_f5_c3,,16.3994,0.0272,,False,True,False,bulk_1.0.0,0.0,1.376119095515015e+18,13.269112,100.0,0.010602382,ZTF19aaphizx
ztf,59115.19171300018,1361191715515015010,1,1361191715515,19.9971,1,1361,0.81471,17.1855,17.2925,0.052571,0.0429,268.7548816,6.8051274,0.78,t17_f5_c3,,17.3264,0.0515,,False,True,True,bulk_1.0.0,0.0,1.376119095515015e+18,14.29728,100.0,0.0036767041,ZTF19aaphizx
ztf,59115.19171300018,1361191715515015011,1,1361191715515,19.9971,1,1361,1.02173,16.9504,17.4494,0.109956,0.0482,268.7549237,6.805086,0.584286,t17_f5_c3,,17.4447,0.0562,,False,True,True,bulk_1.0.0,0.0,1.376119095515015e+18,14.279076,100.0,0.009390513,ZTF19aaphizx
ztf,59126.17756940005,1372177565515015006,2,1372177565515,19.7109,1,1372,0.786645,15.8727,15.9685,0.084615,0.0196,268.7548699,6.8051389,0.517143,t17_f5_c3,,15.9197,0.0214,,False,True,False,bulk_1.0.0,0.0,1.376119095515015e+18,13.24674,100.0,0.0075346585,ZTF19aaphizx
ztf,59128.144594899844,1374144595515015018,2,1374144595515,20.3982,1,1374,0.967567,16.5529,16.3971,0.041753,0.0238,268.754853,6.8050651,0.39,t17_f5_c3,,16.3985,0.0255,,False,True,False,bulk_1.0.0,0.0,1.376119095515015e+18,13.292708,100.0,0.002073055,ZTF19aaphizx
ztf,59130.11909720022,1376119095515015019,2,1376119095515,20.604424,1,1376,1.8430368,16.732754,17.2244,0.18803157,0.0456,268.7552088,6.8050957,0.21285714,t17_f5_c3,0.00312805,17.2344,0.049,485120255.0,True,False,True,bulk_1.0.0,0.0,0.0,,,,ZTF19aaphizx
ztf,59600.5674883998,1846567485515015016,2,1846567485515,19.4268,1,1846,0.605052,15.3967,15.4052,0.016451,0.0123,268.7548093,6.8051627,0.755714,t17_f5_c3,,15.3808,0.0138,,False,True,False,correction_1.0.6,0.0,1.867529105515015e+18,13.194804,100.0,0.0021648814,ZTF19aaphizx
ztf,59600.5674883998,1846567485515015017,2,1846567485515,19.4268,1,1846,0.872605,15.3985,15.7216,0.075059,0.0153,268.7548115,6.8050829,0.655714,t17_f5_c3,,15.6434,0.0169,,False,True,False,correction_1.0.6,0.0,1.867529105515015e+18,13.195042,100.0,0.009863228,ZTF19aaphizx
ztf,59600.56988430023,1846569885515015013,2,1846569885515,19.2379,1,1846,0.725627,15.2848,15.4403,0.073446,0.0131,268.7548661,6.8051616,0.778571,t17_f5_c3,,15.4233,0.015,,False,True,False,correction_1.0.6,0.0,1.867529105515015e+18,13.179403,100.0,0.01056354,ZTF19aaphizx
ztf,59600.57229170017,1846572295515015023,2,1846572295515,19.1433,1,1846,0.997328,15.5577,15.7288,0.046419,0.0173,268.7548726,6.8050711,0.731429,t17_f5_c3,,15.5948,0.0184,,False,True,False,correction_1.0.6,0.0,1.867529105515015e+18,13.214676,100.0,0.0053639677,ZTF19aaphizx
ztf,59600.57229170017,1846572295515015026,2,1846572295515,19.1433,1,1846,0.95349,15.5053,15.5016,0.019227,0.0146,268.7548765,6.8050874,0.741429,t17_f5_c3,,15.4939,0.017,,False,True,False,correction_1.0.6,0.0,1.867529105515015e+18,13.20849,100.0,0.0023183967,ZTF19aaphizx
ztf,59600.57468750002,1846574685515015014,2,1846574685515,18.9554,1,1846,0.811775,15.3966,15.7999,0.018529,0.0201,268.7549075,6.8051635,0.607143,t17_f5_c3,,15.6764,0.0221,,False,True,False,correction_1.0.6,0.0,1.867529105515015e+18,13.194791,100.0,0.0024385327,ZTF19aaphizx
ztf,59600.57468750002,1846574685515015015,2,1846574685515,18.9554,1,1846,0.712385,15.2803,15.3976,0.072942,0.0146,268.7548832,6.8051785,0.727143,t17_f5_c3,,15.3849,0.0173,,False,True,False,correction_1.0.6,0.0,1.867529105515015e+18,13.178755,100.0,0.010528331,ZTF19aaphizx
ztf,59600.577094899956,1846577095515015012,2,1846577095515,18.727,1,1846,0.832747,15.4765,15.4864,0.048133,0.0181,268.7549466,6.8052085,0.782857,t17_f5_c3,,15.457,0.0215,,False,True,False,correction_1.0.6,0.0,1.867529105515015e+18,13.204977,100.0,0.0059406473,ZTF19aaphizx
ztf,59621.51656250004,1867516565515015005,1,1867516565515,19.4976,1,1867,0.582825,16.5351,16.711,0.087367,0.0238,268.7548951,6.8052423,0.705714,t17_f5_c3,,16.6592,0.026,,False,True,True,correction_1.0.6,0.0,1.867529105515015e+18,14.236708,100.0,0.010519382,ZTF19aaphizx
ztf,59621.529108799994,1867529105515015015,2,1867529105515,19.507,1,1867,1.7594029,15.56631,15.6918,0.017245974,0.0131,268.7551973,6.8051293,0.46,t17_f5_c3,0.44550964,15.6525,0.014,485120255.0,True,False,True,correction_1.0.6,0.0,,,,,ZTF19aaphizx
ztf,60323.568946800195,2569568945515015009,2,2569568945515,19.2365,1,2569,1.05903,15.3158,15.4369,0.060918,0.0124,268.7550033,6.8051801,0.64,t17_f5_c3,,15.412,0.0138,,False,True,False,23.12.x,0.0,2.569576035515015e+18,13.183807,100.0,0.008549659,ZTF19aaphizx
ztf,60323.571307899896,2569571305515015008,2,2569571305515,19.1087,1,2569,0.879378,15.2842,15.3018,0.034417,0.0114,268.7548825,6.8051141,0.75,t17_f5_c3,,15.2743,0.0128,,False,True,False,23.12.x,0.0,2.569576035515015e+18,13.1793165,100.0,0.0049524466,ZTF19aaphizx
ztf,60323.57366900006,2569573665515015016,2,2569573665515,18.9767,1,2569,0.69055,15.3717,15.3983,0.042104,0.0137,268.7547405,6.8051212,0.738571,t17_f5_c3,,15.3766,0.0158,,False,True,False,23.12.x,0.0,2.569576035515015e+18,13.191482,100.0,0.0056524384,ZTF19aaphizx
ztf,60323.57603010023,2569576035515015007,2,2569576035515,18.372337,1,2569,1.3870249,15.112632,15.4359,0.057404343,0.0159,268.7551277,6.8052804,0.51285714,t17_f5_c3,0.85913986,15.3833,0.0184,485120255.0,True,True,False,23.12.x,0.0,,13.152896,100.0,0.009441701,ZTF19aaphizx
