tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58588.41629630001,834416293315015033,2,834416293315,19.735737,1,834,0.36274838,18.317736,16.94476,18.3302,0.08538097,0.014345247,0.024108542,0.1139,282.8305024,-8.5181265,0.30714285,t15_f5_c3,0.0,18.5387,0.1773,384120233.0,False,True,False,bulk_1.0.0,0.0,8.53357833315015e+17,ZTF19aaqshye
ztf,58605.41870369995,851418703315015049,2,851418703315,19.924137,1,851,0.044130024,18.0677,16.868135,18.0906,0.08852826,0.023108777,0.029326262,0.0727,282.8304243,-8.5180708,0.37714285,t15_f5_c3,0.0,18.0796,0.0926,384120233.0,False,True,False,bulk_1.0.0,0.0,8.53357833315015e+17,ZTF19aaqshye
ztf,58607.35783560015,853357833315015040,2,853357833315,19.971107,1,853,0.13299069,17.907017,16.812231,18.0278,0.09404808,0.029717784,0.034311205,0.0692,282.8304371,-8.5180939,0.35428572,t15_f5_c3,0.0,18.0507,0.0903,384120233.0,False,True,False,bulk_1.0.0,0.0,8.54482823315015e+17,ZTF19aaqshye
ztf,58608.48282410018,854482823315015057,2,854482823315,20.095667,1,854,0.08657634,17.94612,16.826334,18.0782,0.09073921,0.027289247,0.032350514,0.0642,282.8304037,-8.5180652,0.36,t15_f5_c3,0.0,17.9336,0.0721,384120233.0,False,True,False,bulk_1.0.0,0.0,8.82400473315015e+17,ZTF19aaqshye
ztf,58634.334641200025,880334643315015034,2,880334643315,20.367765,1,880,0.20330448,18.116993,16.884218,18.0913,0.0777294,0.01696609,0.024973286,0.0556,282.830423,-8.5181153,0.78571427,t17_f5_c3,0.0,18.0536,0.0685,384120233.0,False,True,False,bulk_1.0.0,0.0,8.89297143315015e+17,ZTF19aaqshye
ztf,58636.40047449991,882400473315015074,2,882400473315,20.116077,1,882,0.14525908,17.851345,16.79159,17.9592,0.114049636,0.03954118,0.042972587,0.0575,282.8303979,-8.5180867,0.66571426,t17_f5_c3,0.0,17.9198,0.071,384120233.0,False,True,False,bulk_1.0.0,0.0,8.89297143315015e+17,ZTF19aaqshye
ztf,58640.276215299964,886276213315015069,2,886276213315,20.008295,1,886,0.291382,17.973282,16.835941,18.0621,0.0946242,0.028189216,0.033194482,0.0694,282.8305049,-8.518082,0.6857143,t17_f5_c3,0.0,17.9371,0.0791,384120233.0,False,True,False,bulk_1.0.0,0.0,9.132994933150152e+17,ZTF19aaqshye
ztf,58643.29714119993,889297143315015076,2,889297143315,19.72932,1,889,0.11916233,17.971272,16.835236,17.9708,0.10203725,0.031265363,0.035838045,0.0766,282.8304356,-8.5180887,0.6514286,t17_f5_c3,0.0,17.9367,0.096,384120233.0,False,True,False,bulk_1.0.0,0.0,9.16380013315015e+17,ZTF19aaqshye
ztf,58650.334618099965,896334613315015028,2,896334613315,19.210857,1,896,0.14036587,17.98424,16.839773,17.9635,0.08468926,0.02370047,0.029514913,0.1279,282.8304504,-8.5180888,0.7242857,t17_f5_c3,0.0,18.1045,0.1871,384120233.0,False,True,False,bulk_1.0.0,0.0,9.22274303315015e+17,ZTF19aaqshye
ztf,58667.29949070001,913299493315015129,2,913299493315,19.974018,1,913,0.096033044,17.855104,16.793003,18.0013,0.0875647,0.02828417,0.0329222,0.0653,282.830425,-8.518085,0.67,t17_f5_c3,0.9970691,18.016,0.0851,384120233.0,False,True,False,bulk_1.0.0,0.0,9.22274303315015e+17,ZTF19aaqshye
