tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58593.41871530004,839418710915015036,2,839418710915,18.853848,1,839,1.265228,17.704374,16.898882,17.8358,0.087264225,0.03422552,0.04155654,0.1399,274.8712214,-19.4673592,0.37571427,t15_f5_c3,0.0,17.9343,0.1967,333120209.0,False,True,False,bulk_1.0.0,0.0,8.51438870915015e+17,ZTF19aargjzf
ztf,58605.438877299894,851438870915015046,2,851438870915,20.197607,1,851,1.316527,18.045307,17.048008,18.2012,0.071172096,0.008696795,0.028404687,0.0726,274.8711858,-19.4673407,0.33285713,t15_f5_c3,0.0,18.1628,0.0905,333120209.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aargjzf
ztf,58654.37672450021,900376720915015047,2,900376720915,18.941261,1,900,1.1642767,19.11203,17.359898,19.1893,0.19628938,0.015135114,0.03908806,0.4079,274.8712837,-19.4673685,0.4857143,t17_f5_c3,0.9991361,18.9702,0.4282,333120209.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aargjzf
ztf,58941.501921299845,1187501920915015040,2,1187501920915,19.595684,1,1187,1.3154947,17.175716,16.615091,17.2737,0.08417202,0.04683104,0.05022477,0.0409,274.8711821,-19.4673297,0.7014286,t17_f5_c3,0.9836105,17.1732,0.0474,333120209.0,False,True,False,bulk_1.0.0,0.0,1.213397470915015e+18,ZTF19aargjzf
ztf,58964.43921299977,1210439210915015050,2,1210439210915,20.270914,1,1210,1.3502734,17.818302,16.951649,17.8709,0.06512327,0.015717436,0.029313978,0.0511,274.8711714,-19.4673357,0.8042857,t17_f5_c3,1.0,17.9216,0.0686,333120209.0,False,True,False,bulk_1.0.0,0.0,1.213397470915015e+18,ZTF19aargjzf
ztf,58967.3974768999,1213397470915015032,2,1213397470915,20.02909,1,1213,1.4376186,17.80462,,17.7819,0.06152127,,,0.0553,274.8711538,-19.467354,0.8371429,t17_f5_c3,0.9999999,17.9399,0.0822,333120209.0,False,False,True,bulk_1.0.0,0.0,1.222336600915015e+18,ZTF19aargjzf
ztf,58970.37586810021,1216375860915015028,2,1216375860915,19.675232,1,1216,1.2585659,17.974434,17.019165,18.125,0.062035218,100.0,0.025735397,0.091,274.8712183,-19.4673498,0.7942857,t17_f5_c3,0.99999946,18.025,0.1068,333120209.0,False,True,False,bulk_1.0.0,0.0,1.222336600915015e+18,ZTF19aargjzf
ztf,58976.336608800106,1222336600915015026,2,1222336600915,18.693037,1,1222,1.1648262,17.907154,16.990746,18.2445,0.10333977,0.036280654,0.044432875,0.2569,274.8712608,-19.4673519,0.67142856,t17_f5_c3,0.9999866,18.1624,0.3065,333120209.0,False,True,False,bulk_1.0.0,0.0,1.2393937609150152e+18,ZTF19aargjzf
ztf,58993.3937615999,1239393760915015044,2,1239393760915,19.934637,1,1239,1.374606,18.612768,17.240486,18.9214,0.06940125,100.0,0.019608967,0.1617,274.8711851,-19.4673631,0.71428573,t17_f5_c3,0.9999759,18.8777,0.2005,333120209.0,False,True,False,bulk_1.0.0,0.0,1.260460570915015e+18,ZTF19aargjzf
ztf,59014.46057870006,1260460570915015038,2,1260460570915,19.778114,1,1260,1.6307714,19.1317,,19.4259,0.10948966,,,0.2945,274.8711078,-19.4673929,0.5857143,t17_f5_c3,0.9999988,19.6638,0.4734,333120209.0,True,False,True,bulk_1.0.0,0.0,0.0,ZTF19aargjzf
