tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58593.41871530004,839418711015015083,2,839418711015,18.909872,1,839,0.13611883,18.286856,17.430853,18.3347,0.11152605,0.048672304,0.050696157,0.2053,275.5556005,-20.4972895,0.4485714,t15_f5_c3,0.0,18.3475,0.2666,333120210.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aargkod
ztf,59135.12640050007,1381126401015015125,2,1381126401015,19.936256,1,1381,0.5774387,19.280972,17.776445,19.3448,0.17414804,0.038955715,0.043562047,0.2463,275.5554476,-20.4973105,0.5871429,t17_f5_c3,0.99996525,18.9444,0.2177,333120210.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aargkod
ztf,59329.439421299845,1575439421015015072,2,1575439421015,19.754095,1,1575,0.14008833,18.747095,17.616358,18.7566,0.116672456,0.03758536,0.04117874,0.1555,275.5556556,-20.4973003,0.8385714,t17_f5_c3,0.9999912,18.809,0.2095,333120210.0,True,True,False,correction_0.0.1,0.0,,ZTF19aargkod
ztf,59329.439421299845,1575439421015025072,2,1575439421015,19.7541,1,1575,0.140088,18.7471,17.61636,18.7566,0.116672,0.037585013,0.04117844,0.1555,275.5556556,-20.4973003,0.838571,t17_f5_c3,,18.809,0.2095,,False,True,False,correction_0.0.1,0.0,,ZTF19aargkod
ztf,59329.439421299845,1575439421015035072,2,1575439421015,19.7541,1,1575,0.140088,18.7471,17.61636,18.7566,0.116672,0.037585013,0.04117844,0.1555,275.5556556,-20.4973003,0.838571,t17_f5_c3,,18.809,0.2095,,False,True,False,correction_0.0.1,0.0,,ZTF19aargkod
ztf,59336.47557870019,1582475571015015043,2,1582475571015,19.267086,1,1582,0.09015437,18.443546,17.49929,18.5018,0.14220685,0.05765043,0.059596136,0.1811,275.5555939,-20.4973241,0.8242857,t17_f5_c3,0.9997955,18.4682,0.2252,333120210.0,True,True,False,correction_0.0.1,0.0,,ZTF19aargkod
ztf,59336.47557870019,1582475571015025043,2,1582475571015,19.2671,1,1582,0.090154,18.4435,17.499271,18.5018,0.142207,0.05765207,0.05959766,0.1811,275.5555939,-20.4973241,0.824286,t17_f5_c3,,18.4682,0.2252,,False,True,False,correction_0.0.1,0.0,,ZTF19aargkod
ztf,59336.47557870019,1582475571015035043,2,1582475571015,19.2671,1,1582,0.090154,18.4435,17.499271,18.5018,0.142207,0.05765207,0.05959766,0.1811,275.5555939,-20.4973241,0.824286,t17_f5_c3,,18.4682,0.2252,,False,True,False,correction_0.0.1,0.0,,ZTF19aargkod
ztf,59339.46164349979,1585461641015015145,2,1585461641015,19.770874,1,1585,0.06788634,18.205374,17.393053,18.3941,0.111850366,0.05112828,0.052930918,0.1022,275.5556141,-20.4973022,0.71428573,t17_f5_c3,0.9999369,18.5109,0.1451,333120210.0,True,True,False,correction_0.0.1,0.0,,ZTF19aargkod
ztf,59354.41953699989,1600419531015015166,2,1600419531015,19.56273,1,1600,0.20998578,18.714172,17.604622,18.8813,0.114292175,0.037616417,0.04113359,0.1544,275.5555995,-20.4973724,0.5857143,t17_f5_c3,0.9999952,18.8645,0.1938,333120210.0,True,True,False,correction_0.0.1,0.0,,ZTF19aargkod
ztf,60110.33454860002,2356334541015015093,2,2356334541015,20.5576,1,2356,0.119511,18.9229,17.675209,19.1684,0.148,0.04340856,0.046901394,0.1188,275.5556395,-20.49735,0.748571,t17_f5_c3,,19.1687,0.1514,,False,True,False,1.2.0,0.0,2.361458141015015e+18,ZTF19aargkod
ztf,60115.45814809995,2361458141015015150,2,2361458141015,19.586708,1,2361,0.5877855,19.086512,17.72444,19.2953,0.14838037,0.038021307,0.042320218,0.2526,275.5554772,-20.4974159,0.5371429,t17_f5_c3,0.9999998,19.2319,0.3046,333120210.0,True,True,False,1.2.0,0.0,,ZTF19aargkod
ztf,60118.35638889996,2364356381015015130,2,2364356381015,19.888596,1,2364,0.05183697,18.853235,17.652645,18.923,0.10868879,0.031484835,0.035970684,0.1502,275.5556039,-20.4973182,0.7757143,t17_f5_c3,0.9999314,18.9936,0.2045,333120210.0,True,True,False,1.2.0,0.0,,ZTF19aargkod
ztf,60120.377430600114,2366377431015015089,2,2366377431015,20.191137,1,2366,0.060528755,18.798912,17.634365,18.8431,0.1683875,0.05501116,0.057609055,0.1137,275.5556052,-20.4973244,0.72,t17_f5_c3,0.9975275,18.7273,0.1309,333120210.0,True,True,False,1.2.0,0.0,,ZTF19aargkod
ztf,60868.257141199894,3114257141015010223,3,3114257141015,18.852585,-1,3114,0.6919314,17.558908,14.538213,17.8156,0.1583105,100.0,0.009800125,0.1609,275.555422,-20.497373,0.4342857,t17_f5_c3,0.16356313,17.7553,0.1904,333120310.0,True,True,False,27.5.6,0.0,,ZTF19aargkod
ztf,60868.257141199894,3114257141015020223,3,3114257141015,18.8526,-1,3114,0.691931,17.5589,14.538214,17.8156,0.158311,100.0,0.009800228,0.1609,275.555422,-20.497373,0.434286,t17_f5_c3,,17.7553,0.1904,,False,True,False,27.5.6,0.0,3.143251784815015e+18,ZTF19aargkod
ztf,60869.25734949997,3115257344815015000,3,3115257344815,18.728596,1,3115,0.23618828,16.155857,14.559444,16.4288,0.06723114,100.0,0.015452743,0.0498,275.5556129,-20.4973514,0.57285714,t17_f5_c3,0.9917587,16.5237,0.068,282120348.0,True,True,False,27.5.6,0.0,,ZTF19aargkod
ztf,60871.257337999996,3117257334815015000,3,3117257334815,18.894468,1,3117,0.060805038,16.068623,14.538765,16.1837,0.05900241,100.0,0.014418721,0.0376,275.555634,-20.4973043,0.6685714,t17_f5_c3,0.9947345,16.2939,0.0515,282120348.0,True,True,False,27.5.6,0.0,,ZTF19aargkod
ztf,60873.293252300005,3119293251015015079,2,3119293251015,19.654602,1,3119,0.07374142,18.783705,17.629137,18.831,0.17001998,0.0561825,0.058704726,0.1888,275.5555994,-20.4973137,0.7985714,t17_f5_c3,0.9999963,19.2392,0.3518,333120210.0,True,True,False,27.5.6,0.0,,ZTF19aargkod
ztf,60875.237418999895,3121237414815015000,3,3121237414815,18.823353,1,3121,0.21942309,15.668229,14.426454,15.922,0.061929047,0.012832472,0.01973259,0.029,275.5555671,-20.4972635,0.5942857,t17_f5_c3,0.84613526,15.9576,0.037,282120348.0,True,True,False,27.5.6,0.0,,ZTF19aargkod
