tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58606.35744210007,852357441715015004,2,852357441715,20.5456,1,852,0.675919,20.4151,18.690056,20.2131,0.252205,0.04781812,0.05149159,0.2846,233.229549,18.6125983,0.85,t15_f5_c3,20.305,0.3942,False,True,False,bulk_1.0.0,0.0,8.58336961715015e+17,,,ZTF19aaseymq
ztf,58612.294652800076,858294651715015009,1,858294651715,20.8874,1,858,0.681952,20.9296,18.999887,20.8816,0.265377,0.040980007,0.044872276,0.3942,233.2297811,18.6125983,0.804286,t15_f5_c3,21.14,0.6348,False,True,False,bulk_1.0.0,0.0,8.58336961715015e+17,,,ZTF19aaseymq
ztf,58612.336967600044,858336961715015003,2,858336961715,20.788597,1,858,0.34506822,20.423098,18.691685,20.699,0.20510258,0.036974937,0.04162995,0.3913,233.2296683,18.6126534,0.8742857,t15_f5_c3,20.7965,0.5443,True,True,False,bulk_1.0.0,0.0,0.0,0.0,582120217.0,ZTF19aaseymq
ztf,58632.34212959977,878342121715015001,1,878342121715,20.596,1,878,0.701432,20.7394,18.965294,20.7983,0.292837,0.0543332,0.05714567,0.4597,233.2297793,18.6125915,0.941429,t17_f5_c3,20.5206,0.455,False,True,False,bulk_1.0.0,0.0,8.90254341715015e+17,,,ZTF19aaseymq
ztf,58635.21328700008,881213281715015007,1,881213281715,20.8588,1,881,0.483894,20.7233,18.962133,20.7404,0.225557,0.040895708,0.044544023,0.3715,233.2297609,18.612654,0.955714,t17_f5_c3,20.7847,0.4918,False,True,False,bulk_1.0.0,0.0,8.90254341715015e+17,,,ZTF19aaseymq
ztf,58638.317245400045,884317241715015008,1,884317241715,20.8557,1,884,0.295814,20.6437,18.945944,20.6495,0.226504,0.044116102,0.047421336,0.3323,233.2296153,18.6126883,0.964286,t17_f5_c3,20.826,0.4965,False,True,False,bulk_1.0.0,0.0,8.90254341715015e+17,,,ZTF19aaseymq
ztf,58644.25434029987,890254341715015003,2,890254341715,20.465847,1,890,0.53116006,20.305317,18.666723,20.5084,0.18312006,0.03591105,0.040485382,0.4607,233.229619,18.6126092,0.92714286,t17_f5_c3,20.4746,0.5709,True,True,False,bulk_1.0.0,0.0,0.0,0.0,582120217.0,ZTF19aaseymq
ztf,58956.37736110017,1202377361715015006,1,1202377361715,20.7972,1,1202,0.735786,20.7173,18.960947,20.5597,0.267528,0.050051127,0.053067364,0.3357,233.2297247,18.6125574,0.898571,t17_f5_c3,20.6731,0.4746,False,True,False,bulk_1.0.0,0.0,1.210404961715015e+18,,,ZTF19aaseymq
ztf,58963.42479170021,1209424791715015001,1,1209424791715,20.6421,1,1209,0.127381,20.5187,18.918556,20.0727,0.206654,0.04419251,0.047335453,0.2307,233.2296988,18.6127409,0.85,t17_f5_c3,20.0049,0.2765,False,True,False,bulk_1.0.0,0.0,1.210404961715015e+18,,,ZTF19aaseymq
ztf,58964.357511600014,1210357511715015002,1,1210357511715,20.6808,1,1210,0.832772,20.6094,18.938673,20.55,0.272422,0.055861466,0.058472473,0.341,233.2298502,18.6125977,0.928571,t17_f5_c3,20.6017,0.4561,False,True,False,bulk_1.0.0,0.0,1.210404961715015e+18,,,ZTF19aaseymq
ztf,58964.40496530011,1210404961715015004,2,1210404961715,20.711859,1,1210,0.44054925,20.552633,18.716757,20.4619,0.21130608,0.033679005,0.03895481,0.3538,233.2297147,18.6126352,0.7942857,t17_f5_c3,20.7656,0.5962,False,True,False,bulk_1.0.0,0.0,1.217379931715015e+18,0.00050917,582120217.0,ZTF19aaseymq
ztf,58965.40135420021,1211401351715015001,1,1211401351715,20.905596,1,1211,0.6335574,20.653748,18.94804,20.4792,0.21167,0.040393036,0.043992274,0.2935,233.22973,18.6125892,0.89857143,t17_f5_c3,20.1972,0.2887,False,True,False,bulk_1.0.0,0.0,1.217379931715015e+18,0.999999,582120117.0,ZTF19aaseymq
ztf,58966.357580999844,1212357581715015004,2,1212357581715,20.038,1,1212,0.908483,20.3978,18.686502,20.0235,0.388192,0.077974804,0.08026519,0.4293,233.2295211,18.6125363,0.578571,t17_f5_c3,20.1023,0.5909,False,True,False,bulk_1.0.0,0.0,1.217379931715015e+18,,,ZTF19aaseymq
ztf,58966.41687500011,1212416871715015002,1,1212416871715,20.7738,1,1212,0.528383,20.6602,18.949379,20.4681,0.238537,0.04615491,0.049343165,0.3047,233.2297354,18.6126236,0.941429,t17_f5_c3,20.4363,0.3771,False,True,False,bulk_1.0.0,0.0,1.217379931715015e+18,,,ZTF19aaseymq
ztf,58968.29142360017,1214291421715015004,1,1214291421715,20.673323,1,1214,0.7873576,20.630402,18.943148,20.7941,0.20616083,0.039979592,0.043581706,0.4671,233.2298267,18.6125949,0.8971428,t17_f5_c3,20.659,0.5274,False,True,False,bulk_1.0.0,0.0,1.217379931715015e+18,1.0,582120117.0,ZTF19aaseymq
ztf,58971.37993060006,1217379931715015007,2,1217379931715,20.347374,1,1217,0.5805225,20.097616,18.61726,19.8209,0.1807614,0.042644724,0.046234213,0.2593,233.2295982,18.6126021,0.9057143,t17_f5_c3,20.182,0.4621,True,True,False,bulk_1.0.0,0.0,0.0,0.9999993,582120217.0,ZTF19aaseymq
ztf,58994.26971059991,1240269711715015003,1,1240269711715,20.8768,1,1240,0.356954,20.6249,18.941982,20.643,0.247635,0.049619168,0.052558668,0.3451,233.2297559,18.6127035,0.931429,t17_f5_c3,20.7096,0.4674,False,True,False,bulk_1.0.0,0.0,1.268202691715015e+18,,,ZTF19aaseymq
ztf,59012.29568290012,1258295681715015001,1,1258295681715,20.8494,1,1258,0.694424,20.604,18.937511,20.4282,0.224167,0.04511447,0.048303254,0.2722,233.2298394,18.6126511,0.905714,t17_f5_c3,20.4478,0.3526,False,True,False,bulk_1.0.0,0.0,1.268202691715015e+18,,,ZTF19aaseymq
ztf,59016.20115739992,1262201151715015008,1,1262201151715,20.8733,1,1262,0.692193,20.6504,18.947344,20.8115,0.217608,0.041858163,0.045336954,0.4001,233.2298494,18.6126704,0.925714,t17_f5_c3,20.9044,0.5551,False,True,False,bulk_1.0.0,0.0,1.268202691715015e+18,,,ZTF19aaseymq
ztf,59019.2551851999,1265255181715015006,1,1265255181715,20.8712,1,1265,1.14969,20.5857,18.933542,20.7215,0.231491,0.047528915,0.050544202,0.3546,233.2299702,18.6126112,0.85,t17_f5_c3,20.702,0.4436,False,True,False,bulk_1.0.0,0.0,1.295207801715015e+18,,,ZTF19aaseymq
ztf,59022.20269680023,1268202691715015001,1,1268202691715,20.828339,1,1268,0.8464389,20.670639,18.951529,21.043,0.20311591,0.03785394,0.04169655,0.4766,233.2299118,18.6127099,0.9257143,t17_f5_c3,21.134,0.6606,False,True,False,bulk_1.0.0,0.0,1.295207801715015e+18,0.9999994,582120117.0,ZTF19aaseymq
ztf,59028.21358799981,1274213581715015005,2,1274213581715,20.2487,1,1274,0.163169,20.5904,18.723621,20.8992,0.316601,0.05319801,0.056728356,0.7511,233.2296615,18.6127057,0.927143,t17_f5_c3,20.5512,0.6985,False,True,False,bulk_1.0.0,0.0,1.295207801715015e+18,,,ZTF19aaseymq
ztf,59043.21177079994,1289211771715015004,1,1289211771715,20.7355,1,1289,0.672002,20.4107,18.892853,20.7766,0.232519,0.055014443,0.057453923,0.4307,233.2297179,18.6125719,0.922857,t17_f5_c3,20.3686,0.3782,False,True,False,bulk_1.0.0,0.0,1.295207801715015e+18,,,ZTF19aaseymq
ztf,59049.2078009001,1295207801715015002,1,1295207801715,20.792189,1,1295,0.65360147,20.78574,18.974184,21.0525,0.18911305,0.030861713,0.035653226,0.5355,233.2297669,18.6125995,0.88285714,t17_f5_c3,21.1363,0.7383,True,True,False,bulk_1.0.0,0.0,0.0,1.0,582120117.0,ZTF19aaseymq
ztf,59264.48524310021,1510485241715015007,1,1510485241715,20.760126,1,1510,0.5059652,20.634277,18.943964,20.3987,0.1933454,0.036874555,0.040757626,0.2933,233.2296984,18.6126178,0.94285715,t17_f5_c3,20.3756,0.3659,True,True,False,correction_0.0.1,0.0,,1.0,582120117.0,ZTF19aaseymq
