tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,59262.55824070005,1508558242715015000,2,1508558242715,19.330553,1,1508,1.986376,18.089937,18.2279,0.14258547,0.1245,294.6739575,3.5888644,0.33571428,t17_f5_c3,0.00166515,17.9885,0.1235,489120227.0,True,False,False,correction_0.0.1,0.0,,,,,ZTF19aasmeea
ztf,59300.466874999925,1546466872715015001,2,1546466872715,18.8726,1,1546,0.388322,16.7436,16.937,0.116233,0.0479,294.6733427,3.5891073,0.617143,t17_f5_c3,,16.8715,0.0566,,False,True,True,correction_0.0.1,0.0,14.682739,0.008318369,0.017417466,,ZTF19aasmeea
ztf,59300.503946799785,1546503942715015000,1,1546503942715,18.8721,1,1546,0.773274,18.5089,18.3575,0.138707,0.1582,294.6736114,3.5889099,0.65,t17_f5_c3,,18.3083,0.1934,,False,True,False,correction_0.0.1,0.0,16.349257,0.009548515,0.018977597,,ZTF19aasmeea
ztf,59305.46431710012,1551464312715015001,2,1551464312715,19.308,1,1551,0.227698,16.8796,16.778,0.059359,0.0344,294.6734859,3.5890526,0.778571,t17_f5_c3,,16.761,0.0422,,False,True,True,correction_0.0.1,0.0,14.702065,100.0,0.007988634,,ZTF19aasmeea
ztf,59305.486446800176,1551486442715015000,1,1551486442715,19.2355,1,1551,0.960568,18.631,18.2715,0.157898,0.1252,294.6736861,3.588924,0.714286,t17_f5_c3,,18.4556,0.1893,,False,True,False,correction_0.0.1,0.0,16.365173,0.010334899,0.019590512,,ZTF19aasmeea
ztf,59307.50160880014,1553501602715015000,1,1553501602715,19.8816,1,1553,0.567226,18.9193,18.3614,0.191634,0.093,294.6735518,3.5889242,0.551429,t17_f5_c3,,18.4138,0.1241,,False,True,False,correction_0.0.1,0.0,16.39705,0.0076655014,0.018774701,,ZTF19aasmeea
ztf,59310.4658102002,1556465812715015000,1,1556465812715,20.17036,1,1556,1.3036026,18.757881,18.7346,0.150263,0.1012,294.6736853,3.5887624,0.32857144,t17_f5_c3,0.99952936,18.6087,0.1097,489120127.0,True,True,False,correction_0.0.1,0.0,16.380133,100.0,0.016817167,,ZTF19aasmeea
ztf,59310.4658102002,1556465812715015001,1,1556465812715,20.17036,1,1556,1.0206207,18.468512,18.369,0.0867475,0.0696,294.6736321,3.5888218,0.56142855,t17_f5_c3,0.99952936,18.5099,0.0993,489120127.0,True,True,False,correction_0.0.1,0.0,16.343641,100.0,0.012254876,,ZTF19aasmeea
ztf,59310.4912268999,1556491222715015003,2,1556491222715,20.1693,1,1556,0.577706,16.9148,17.0884,0.110928,0.029,294.6735497,3.588929,0.592857,t17_f5_c3,,17.0342,0.0323,,False,True,True,correction_0.0.1,0.0,14.706737,100.0,0.014514953,,ZTF19aasmeea
ztf,59312.43343750015,1558433432715015000,1,1558433432715,19.759844,1,1558,1.731885,18.657646,18.6934,0.1198944,0.109,294.6736844,3.5886144,0.4,t17_f5_c3,0.40602168,18.8955,0.1651,489120127.0,True,False,True,correction_0.0.1,0.0,,,,,ZTF19aasmeea
