tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58608.41994210007,854419942415015007,1,854419942415,20.322174,1,854,1.7613863,19.381874,19.0278,0.18594208,0.1273,280.8063776,4.3314902,0.17142858,t15_f5_c3,0.0,18.9005,0.1364,487120124.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF19aauaqjq
ztf,59251.56483800011,1497564832415015013,2,1497564832415,18.9484,1,1497,0.538836,16.6022,17.1369,0.167894,0.0521,280.8059935,4.331441,0.437143,t17_f5_c3,,17.0633,0.0581,,False,True,False,correction_0.0.1,0.0,,13.640602,100.0,0.01097479,ZTF19aauaqjq
ztf,59258.55854169978,1504558542415015005,2,1504558542415,19.349,1,1504,0.742754,16.8719,16.7722,0.060447,0.0424,280.8060465,4.331414,0.504286,t17_f5_c3,,16.7908,0.0509,,False,True,False,correction_0.0.1,0.0,,13.656326,100.0,0.0031271228,ZTF19aauaqjq
ztf,59262.544652800076,1508544652415015017,2,1508544652415,19.7171,1,1508,0.914357,16.4437,16.7255,0.066357,0.0273,280.8059996,4.3313028,0.524286,t17_f5_c3,,16.5632,0.0278,,False,True,False,correction_0.0.1,0.0,,13.629504,100.0,0.0049683023,ZTF19aauaqjq
ztf,59262.544652800076,1508544652415015018,2,1508544652415,19.7171,1,1508,0.769615,16.5342,16.4612,0.034356,0.0226,280.805986,4.3313423,0.597143,t17_f5_c3,,16.4433,0.0253,,False,True,False,correction_0.0.1,0.0,,13.636024,100.0,0.0023808512,ZTF19aauaqjq
ztf,59262.54769679997,1508547692415015011,2,1508547692415,19.8604,1,1508,0.656995,16.6387,16.6114,0.037323,0.0258,280.8059564,4.331362,0.467143,t17_f5_c3,,16.6332,0.0299,,False,True,False,correction_0.0.1,0.0,,13.642951,100.0,0.0023641593,ZTF19aauaqjq
ztf,59262.556828700006,1508556822415015007,2,1508556822415,19.8286,1,1508,2.02102,16.7447,17.1373,0.134276,0.0427,280.8063763,4.3312674,0.284286,t17_f5_c3,,16.969,0.0421,,False,False,True,correction_0.0.1,0.0,,,,,ZTF19aauaqjq
ztf,59265.516932900064,1511516932415015002,1,1511516932415,19.795082,1,1511,1.6248635,18.32077,18.3326,0.12241581,0.0773,280.8063204,4.3313858,0.61,t17_f5_c3,0.9133538,18.3255,0.0953,487120124.0,True,False,False,correction_0.0.1,0.0,,,,,ZTF19aauaqjq
ztf,59671.4605556,1917460552415015005,1,1917460552415,20.8168,1,1917,1.72515,19.522,18.9506,0.283964,0.0905,280.8061514,4.3311058,0.191429,t17_f5_c3,,19.0508,0.117,,False,False,False,correction_1.0.6,0.0,1.923457522415015e+18,,,,ZTF19aauaqjq
ztf,59674.49822920002,1920498222415015007,1,1920498222415,20.6214,1,1920,1.22564,19.2446,18.9657,0.197092,0.0998,280.8061148,4.3312548,0.211429,t17_f5_c3,,18.9318,0.1162,,False,True,True,correction_1.0.6,0.0,1.923457522415015e+18,16.199226,100.0,0.011926681,ZTF19aauaqjq
ztf,59677.45752310008,1923457522415015015,2,1923457522415,19.88568,1,1923,1.887428,17.689705,17.9303,0.087847866,0.0803,280.8063701,4.3313454,0.30714285,t17_f5_c3,0.00199062,17.8945,0.0901,487120224.0,True,False,True,correction_1.0.6,0.0,,,,,ZTF19aauaqjq
ztf,59850.15431710007,2096154312415015005,1,2096154312415,20.482866,1,2096,1.5477734,19.032013,18.8393,0.14987801,0.0971,280.8062495,4.3312789,0.33285713,t17_f5_c3,0.34944612,18.6782,0.102,487120124.0,True,False,False,dev,0.0,,,,,ZTF19aauaqjq
ztf,60054.44418979995,2300444182415015006,1,2300444182415,20.4511,1,2300,1.51949,18.9779,18.9202,0.167187,0.1015,280.8060523,4.3311196,0.261429,t17_f5_c3,,18.8728,0.1185,,False,False,False,1.2.0,0.0,2.308444462415015e+18,,,,ZTF19aauaqjq
ztf,60054.44418979995,2300444182415015007,1,2300444182415,20.4511,1,2300,1.0758,18.7468,18.7091,0.103739,0.0837,280.8060079,4.3312365,0.675714,t17_f5_c3,,18.7569,0.1069,,False,True,True,1.2.0,0.0,2.308444462415015e+18,16.161667,100.0,0.0095915515,ZTF19aauaqjq
ztf,60058.46493060002,2304464932415015010,1,2304464932415,20.3037,1,2304,1.0235,18.7131,18.4732,0.174687,0.0774,280.8058956,4.3312205,0.33,t17_f5_c3,,18.3863,0.0864,,False,True,True,1.2.0,0.0,2.308444462415015e+18,16.158506,0.009576972,0.01661204,ZTF19aauaqjq
ztf,60060.42248839978,2306422482415015007,1,2306422482415,20.555,1,2306,0.964057,18.5287,18.3465,0.153474,0.0587,280.8059468,4.3312451,0.29,t17_f5_c3,,18.3076,0.0677,,False,True,True,1.2.0,0.0,2.308444462415015e+18,16.13956,0.010534916,0.016997255,ZTF19aauaqjq
ztf,60062.44446759997,2308444462415015011,1,2308444462415,20.713747,1,2308,1.197616,18.595343,18.5102,0.0793799,0.0605,280.8061666,4.3313262,0.45714286,t17_f5_c3,0.62764764,18.6248,0.0809,487120124.0,True,True,True,1.2.0,0.0,,16.146742,100.0,0.008322818,ZTF19aauaqjq
ztf,60351.55851850007,2597558516015015025,2,2597558516015,19.5712,1,2597,0.171951,16.2902,16.3878,0.112378,0.0262,280.8058463,4.3315403,0.591429,t17_f5_c3,,16.3722,0.0301,,False,True,False,23.12.x,0.0,2.597558996015015e+18,13.7164955,100.0,0.010500249,ZTF19aauaqjq
ztf,60351.55899310019,2597558996015015028,2,2597558996015,19.498125,1,2597,1.1145446,16.228773,16.4786,0.14117607,0.0288,280.8061549,4.3313526,0.4542857,t17_f5_c3,0.8527831,16.5294,0.0353,1481120260.0,True,True,False,23.12.x,0.0,,13.710607,100.0,0.013883351,ZTF19aauaqjq
ztf,60352.55679399986,2598556796015015069,2,2598556796015,18.955,1,2598,1.55699,15.9451,16.1038,0.086067,0.0208,280.8063094,4.3314184,0.445714,t17_f5_c3,,16.0373,0.023,,False,False,True,23.12.x,0.0,2.598557736015015e+18,,,,ZTF19aauaqjq
ztf,60352.557731499895,2598557736015015025,2,2598557736015,18.991808,1,2598,1.367478,16.043028,16.1723,0.06966201,0.0225,280.8062312,4.3313467,0.5314286,t17_f5_c3,0.11037931,16.1477,0.0259,1481120260.0,True,True,False,23.12.x,0.0,,13.690865,100.0,0.007982351,ZTF19aauaqjq
ztf,60699.57186339982,2945571862415015009,2,2945571862415,18.6605,1,2945,1.95711,15.95,16.1371,0.053334,0.0298,280.8061836,4.3310743,0.225714,t17_f5_c3,,15.9065,0.0302,,False,False,False,26.0.1,0.0,2.956558766015015e+18,,,,ZTF19aauaqjq
