tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59011.35437500011,1257354370615015059,2,1257354370615,20.006763,1,1257,0.42532235,19.3111,18.835558,19.3682,0.17566946,0.1085677,0.11336503,0.2241,265.863762,-27.4626196,0.40714285,t17_f5_c3,0.9675121,19.1521,0.2379,281120206.0,False,True,False,bulk_1.0.0,0.0,1.282292070615015e+18,ZTF19aawqjqo
ztf,59032.314699099865,1278314690615015034,2,1278314690615,19.182554,1,1278,0.31047872,18.188053,17.994312,18.2331,0.1344329,0.11145331,0.112462886,0.1519,265.8637362,-27.4625964,0.7128571,t17_f5_c3,1.0,18.2764,0.2034,281120206.0,False,True,False,bulk_1.0.0,0.0,1.282292070615015e+18,ZTF19aawqjqo
ztf,59036.29207180021,1282292070615015028,2,1282292070615,19.042618,1,1282,0.42166466,18.055716,17.88253,18.0219,0.078135304,0.06521951,0.066615134,0.1356,265.8637411,-27.4626283,0.7985714,t17_f5_c3,0.9999965,17.9567,0.1642,281120206.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aawqjqo
ztf,59323.48074069992,1569480740615015076,2,1569480740615,19.70816,1,1569,0.46882942,18.242666,18.03981,18.3118,0.085409954,0.069097795,0.07085428,0.0896,265.8637924,-27.4626223,0.74,t17_f5_c3,0.9999995,18.3328,0.1175,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59329.43893520022,1575438930615015057,2,1575438930615,19.762003,1,1575,0.45048818,18.27509,18.066639,18.2968,0.13303703,0.10861495,0.10979747,0.0996,265.8638042,-27.4626027,0.7457143,t17_f5_c3,0.99999905,18.4414,0.1467,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59329.43893520022,1575438930615025057,2,1575438930615,19.762,1,1575,0.450488,18.2751,18.066648,18.2968,0.133037,0.1086147,0.10979725,0.0996,265.8638042,-27.4626027,0.745714,t17_f5_c3,,18.4414,0.1467,,False,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59329.43893520022,1575438930615035057,2,1575438930615,19.762,1,1575,0.450488,18.2751,18.066648,18.2968,0.133037,0.1086147,0.10979725,0.0996,265.8638042,-27.4626027,0.745714,t17_f5_c3,,18.4414,0.1467,,False,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59336.4604282002,1582460420615015049,2,1582460420615,19.187033,1,1582,0.52820617,18.277126,18.06832,18.315,0.103227735,0.08363265,0.08516747,0.1409,265.863776,-27.4626476,0.7014286,t17_f5_c3,1.0,18.3129,0.181,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59339.4597800998,1585459780615015079,2,1585459780615,20.041828,1,1585,0.34590966,18.44021,18.201046,18.6297,0.08776336,0.06802226,0.07041209,0.1007,265.8637764,-27.4625865,0.8214286,t17_f5_c3,0.9999981,18.5107,0.117,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59341.418819400016,1587418810615015065,2,1587418810615,19.48843,1,1587,0.37764776,18.438759,18.19988,18.4798,0.12467061,0.098385364,0.10004901,0.1044,265.8637759,-27.4625984,0.55285716,t17_f5_c3,0.9999908,18.6014,0.1501,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59349.439641200006,1595439640615015118,2,1595439640615,20.283545,1,1595,0.28640777,18.640379,18.358604,18.6356,0.1166458,0.08749084,0.08998271,0.084,265.8637615,-27.4625748,0.7728571,t17_f5_c3,0.9999142,18.5863,0.1043,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59358.35538189998,1604355380615015042,2,1604355380615,19.309746,1,1604,0.29865652,18.657192,18.371552,19.203,0.21616377,0.16479144,0.16615996,0.3316,265.8637663,-27.4625757,0.49142858,t17_f5_c3,0.99918664,19.0531,0.3726,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59363.3889930998,1609388990615015055,2,1609388990615,19.671398,1,1609,0.46432367,18.866468,18.528708,19.1332,0.14512604,0.103442326,0.106326364,0.2359,265.8636948,-27.4626477,0.6414286,t17_f5_c3,0.99815094,18.8961,0.2446,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59366.37917819992,1612379170615015076,2,1612379170615,19.729073,1,1612,0.4431999,19.086493,18.685406,19.7234,0.18081105,0.12169219,0.12496564,0.3573,265.8637848,-27.4626168,0.56714284,t17_f5_c3,0.9999069,19.6285,0.4244,281120206.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawqjqo
ztf,59702.41784719983,1948417840615010082,2,1948417840615,19.6389,-1,1948,0.603714,19.6544,100.0,20.1659,0.28637,100.0,100.0,0.5171,265.8636189,-27.4626666,0.491429,t17_f5_c3,,20.0937,0.6254,,False,True,False,correction_1.0.6,0.0,1.95743991061501e+18,ZTF19aawqjqo
ztf,59711.439919000026,1957439910615010063,2,1957439910615,19.24495,-1,1957,0.339183,19.431456,100.0,19.2369,0.20094877,100.0,100.0,0.2949,265.8637955,-27.4625626,0.40142858,t17_f5_c3,0.99569786,19.0117,0.3091,281120206.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawqjqo
ztf,59723.4401273001,1969440120615010099,2,1969440120615,19.83284,-1,1969,0.19458073,19.58619,100.0,19.2751,0.19348021,100.0,100.0,0.212,265.8637562,-27.4625369,0.45142856,t17_f5_c3,0.9995396,19.2232,0.2629,281120206.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawqjqo
ztf,59735.37723380001,1981377230615010113,2,1981377230615,20.29465,-1,1981,0.24518971,19.570564,100.0,19.5058,0.14550689,100.0,100.0,0.1845,265.8637411,-27.4625729,0.5485714,t17_f5_c3,0.9742396,19.5396,0.2506,281120206.0,True,True,False,1.1.2,0.0,,ZTF19aawqjqo
ztf,59738.41975690005,1984419750615010070,2,1984419750615,19.986198,-1,1984,0.22439152,19.71271,100.0,19.7024,0.18258682,100.0,100.0,0.2929,265.863716,-27.4625762,0.49,t17_f5_c3,0.9676825,19.683,0.3739,281120206.0,True,True,False,1.1.2,0.0,,ZTF19aawqjqo
ztf,59747.33540510014,1993335400615010086,2,1993335400615,19.894707,-1,1993,0.38736692,19.614883,100.0,19.3188,0.20781054,100.0,100.0,0.2351,265.8636871,-27.4626212,0.34285715,t17_f5_c3,0.8551105,19.086,0.2465,281120206.0,True,True,False,1.1.2,0.0,,ZTF19aawqjqo
ztf,59751.37559030019,1997375590615010076,2,1997375590615,19.9956,-1,1997,0.096931,19.7591,100.0,19.5151,0.247197,100.0,100.0,0.2389,265.8637267,-27.4625322,0.43,t17_f5_c3,,19.4493,0.293,,False,True,False,1.1.2,0.0,2.00233584061501e+18,ZTF19aawqjqo
ztf,59756.33584489999,2002335840615010080,2,2002335840615,20.208637,-1,2002,0.10249737,19.702965,100.0,19.7431,0.18823615,100.0,100.0,0.2407,265.8637254,-27.4625349,0.38,t17_f5_c3,0.9683385,19.8445,0.3433,281120206.0,True,True,False,1.1.2,0.0,,ZTF19aawqjqo
ztf,59775.29312499985,2021293120615010060,2,2021293120615,19.4621,-1,2021,0.405701,19.451,100.0,19.0956,0.298524,100.0,100.0,0.2817,265.8637663,-27.4626134,0.412857,t17_f5_c3,,18.8768,0.2978,,False,True,False,dev,0.0,2.02825181061501e+18,ZTF19aawqjqo
ztf,59782.251817100216,2028251810615010073,2,2028251810615,20.034235,-1,2028,0.3303574,19.588737,100.0,19.3279,0.20533982,100.0,100.0,0.1949,265.8636972,-27.462607,0.39857143,t17_f5_c3,0.30200237,19.2112,0.2274,281120206.0,True,True,False,dev,0.0,,ZTF19aawqjqo
ztf,60053.4586920999,2299458690615010064,2,2299458690615,19.5666,-1,2299,0.485865,19.7131,100.0,19.6606,0.247635,100.0,100.0,0.3326,265.8636154,-27.4626231,0.467143,t17_f5_c3,,19.8184,0.4966,,False,True,False,1.2.0,0.0,2.3094599806150103e+18,ZTF19aawqjqo
ztf,60063.459988399874,2309459980615010071,2,2309459980615,20.233988,-1,2309,0.3572768,19.750847,100.0,19.7126,0.20982957,100.0,100.0,0.2351,265.8637645,-27.4626029,0.44714287,t17_f5_c3,0.9829328,19.4826,0.249,281120206.0,True,True,False,1.2.0,0.0,,ZTF19aawqjqo
ztf,60135.27321759984,2381273210615015075,2,2381273210615,20.2662,1,2381,0.55933,20.2243,19.332113,20.3617,0.262274,0.103149235,0.115313575,0.4185,265.8637704,-27.4626598,0.378571,t17_f5_c3,,20.8734,0.8698,,False,True,False,1.2.0,0.0,2.398231350615015e+18,ZTF19aawqjqo
ztf,60139.2525578998,2385252550615015062,2,2385252550615,19.8951,1,2385,0.752861,19.8006,19.125265,19.5616,0.222894,0.11182167,0.11966433,0.2698,265.8638066,-27.4627051,0.385714,t17_f5_c3,,19.3064,0.2761,,False,True,False,1.2.0,0.0,2.398231350615015e+18,ZTF19aawqjqo
ztf,60152.231354199816,2398231350615015071,2,2398231350615,20.023525,1,2398,0.38882816,19.077053,18.678873,19.1505,0.14693229,0.09782712,0.10182293,0.1779,265.8637915,-27.4625901,0.57857144,t17_f5_c3,0.99885744,19.3046,0.2663,281120206.0,True,True,False,1.2.0,0.0,,ZTF19aawqjqo
ztf,60159.25283560017,2405252830615015032,2,2405252830615,19.492609,1,2405,0.30236566,18.692272,18.398415,18.8381,0.12160599,0.0901696,0.09277094,0.2013,265.863725,-27.462597,0.75142854,t17_f5_c3,0.9999997,18.7764,0.2451,281120206.0,True,True,False,1.2.0,0.0,,ZTF19aawqjqo
ztf,60163.2740162001,2409274010615015078,2,2409274010615,20.016415,1,2409,0.35169715,18.569763,18.30373,18.6617,0.10538751,0.08002545,0.082485124,0.1101,265.8637369,-27.4626086,0.8242857,t17_f5_c3,0.99999654,18.8339,0.1666,281120206.0,True,True,False,1.2.0,0.0,,ZTF19aawqjqo
ztf,60184.169178199954,2430169170615015074,2,2430169170615,19.038294,1,2430,0.21435006,18.061049,17.887075,17.9052,0.09847295,0.08278013,0.08389332,0.1204,265.8637635,-27.4625413,0.51285714,t17_f5_c3,0.99999917,18.1263,0.1898,281120206.0,True,True,False,1.2.0,0.0,,ZTF19aawqjqo
ztf,60186.21181710018,2432211810615015025,2,2432211810615,18.995258,1,2432,0.5069286,17.91091,17.757898,18.128,0.08334424,0.07137138,0.072388686,0.1659,265.8637108,-27.4626569,0.79571426,t17_f5_c3,1.0,18.2453,0.2379,281120206.0,True,True,False,1.2.0,0.0,,ZTF19aawqjqo
ztf,60198.16567130014,2444165670615015044,2,2444165670615,19.692965,1,2444,0.37427098,18.38246,18.15447,18.4916,0.099621326,0.07885024,0.080752686,0.1253,265.8637731,-27.4625991,0.80285716,t17_f5_c3,0.9999987,18.3371,0.1404,281120206.0,True,True,False,1.2.1,0.0,,ZTF19aawqjqo
ztf,60200.170347199775,2446170340615015062,2,2446170340615,19.842525,1,2446,0.32661438,18.4119,18.178274,18.5165,0.10348125,0.08152407,0.0834471,0.1097,265.8637438,-27.4625986,0.81285715,t17_f5_c3,0.9999885,18.5207,0.1424,281120206.0,True,True,False,1.2.1,0.0,,ZTF19aawqjqo
ztf,60439.39765049983,2685397650615015074,2,2685397650615,19.716026,1,2685,0.6205695,18.313663,18.098375,18.382,0.08065798,0.064047165,0.06615033,0.0993,265.8637668,-27.4626794,0.75714284,t17_f5_c3,0.99975824,18.3367,0.1228,281120206.0,True,True,False,24.4.1,0.0,,ZTF19aawqjqo
ztf,60441.397060200106,2687397060615015068,2,2687397060615,20.162296,1,2687,0.40482283,18.47691,18.23039,18.628,0.08915017,0.06854002,0.07104185,0.091,265.8637833,-27.4626053,0.8428571,t17_f5_c3,0.9999833,18.5414,0.1091,281120206.0,True,True,False,24.4.1,0.0,,ZTF19aawqjqo
ztf,60443.376226900145,2689376220615015072,2,2689376220615,19.76678,1,2689,0.4959113,18.403078,18.171154,18.5624,0.10350846,0.081705876,0.08360001,0.1117,265.8638063,-27.4626194,0.7557143,t17_f5_c3,0.99999505,18.5455,0.142,281120206.0,True,True,False,24.4.1,0.0,,ZTF19aawqjqo
ztf,60446.43962959992,2692439620615015078,2,2692439620615,19.95042,1,2692,0.38163397,18.438438,18.199623,18.5654,0.07254502,0.055314973,0.05822127,0.0993,265.8637467,-27.4626143,0.8,t17_f5_c3,0.9999029,18.586,0.1308,281120206.0,True,True,False,24.4.1,0.0,,ZTF19aawqjqo
ztf,60457.33465280011,2703334650615015063,2,2703334650615,19.74448,1,2703,0.37998307,18.674046,18.384481,18.3436,0.11675592,0.08679172,0.0894239,0.1084,265.86379,-27.4625881,0.6142857,t17_f5_c3,0.9998983,18.4868,0.1596,281120206.0,True,True,False,24.4.1,0.0,,ZTF19aawqjqo
ztf,60459.38379629981,2705383790615015069,2,2705383790615,20.028208,1,2705,0.40465543,18.68259,18.391022,18.8921,0.107485406,0.07926359,0.08217159,0.1328,265.8637855,-27.4625991,0.78571427,t17_f5_c3,0.9999998,19.0835,0.205,281120206.0,True,True,False,24.5.1,0.0,,ZTF19aawqjqo
ztf,60463.37643520022,2709376430615015073,2,2709376430615,19.88164,1,2709,0.48592076,18.741898,18.436066,18.8605,0.112584405,0.08188923,0.084946536,0.1326,265.863779,-27.4626314,0.76,t17_f5_c3,0.9999998,18.9085,0.1794,281120206.0,True,True,False,24.5.1,0.0,,ZTF19aawqjqo
ztf,60477.33475690009,2723334750615015071,2,2723334750615,19.504267,1,2723,0.42083442,19.124113,18.711267,19.2694,0.17229842,0.11414855,0.117799446,0.2549,265.8637635,-27.4626187,0.5871429,t17_f5_c3,0.99998754,19.2965,0.3372,281120206.0,True,True,False,24.5.1,0.0,,ZTF19aawqjqo
ztf,60480.35094910022,2726350940615015042,2,2726350940615,19.1702,1,2726,0.219036,19.3022,18.829805,19.4641,0.246888,0.15645604,0.15978722,0.4763,265.8636364,-27.4625321,0.512857,t17_f5_c3,,19.4986,0.6333,,False,True,False,24.5.1,0.0,2.737356260615015e+18,ZTF19aawqjqo
ztf,60491.35626159981,2737356260615015074,2,2737356260615,19.962885,1,2737,0.46389902,19.66602,19.050947,19.81,0.21090396,0.112882175,0.1196895,0.3155,265.8637735,-27.462629,0.47,t17_f5_c3,0.97865605,19.7647,0.3928,281120206.0,True,True,False,24.5.1,0.0,,ZTF19aawqjqo
ztf,60878.25238429988,3124252380615010089,2,3124252380615,20.078272,-1,3124,0.23224369,19.754496,100.0,19.5404,0.19031858,100.0,100.0,0.2198,265.8637186,-27.4625818,0.45714286,t17_f5_c3,0.99988973,19.6711,0.3222,281120206.0,True,True,False,27.5.6,0.0,,ZTF19aawqjqo
ztf,60879.23151620012,3125231510615010097,2,3125231510615,19.955244,-1,3125,0.36632118,19.69375,100.0,19.7117,0.19009446,100.0,100.0,0.277,265.8638085,-27.4625566,0.55714285,t17_f5_c3,0.9984716,19.5163,0.3019,281120206.0,True,True,False,27.5.6,0.0,,ZTF19aawqjqo
ztf,60879.23151620012,3125231510615020097,2,3125231510615,19.9552,-1,3125,0.366321,19.6938,100.0,19.7117,0.190094,100.0,100.0,0.277,265.8638085,-27.4625566,0.557143,t17_f5_c3,,19.5163,0.3019,,False,True,False,27.5.6,0.0,3.1282540806150103e+18,ZTF19aawqjqo
ztf,60880.231655099895,3126231650615020093,2,3126231650615,20.2033,-1,3126,0.290337,19.8388,100.0,20.1713,0.24137,100.0,100.0,0.3677,265.8637305,-27.4625919,0.431429,t17_f5_c3,,19.9958,0.4068,,False,True,False,27.5.6,0.0,3.1282540806150103e+18,ZTF19aawqjqo
ztf,60882.25408559991,3128254080615010089,2,3128254080615,20.010916,-1,3128,0.17675968,19.80102,100.0,19.8817,0.20787421,100.0,100.0,0.3164,265.8637582,-27.4625216,0.5257143,t17_f5_c3,0.9969683,19.8198,0.3889,281120206.0,True,True,False,27.5.6,0.0,,ZTF19aawqjqo
