tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59323.48074069992,1569480740415015058,2,1569480740415,19.777506,1,1569,0.47293964,18.549242,17.198774,18.5916,0.09110341,0.017902063,0.026263213,0.1251,266.3730329,-26.6381451,0.6185714,t17_f5_c3,0.991421,18.4509,0.138,281120204.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawrjdy
ztf,59336.4604282002,1582460420415015037,2,1582460420415,19.200176,1,1582,0.44550717,18.791346,17.263208,18.6717,0.18383744,0.04011087,0.04499657,0.2011,266.3730067,-26.6381243,0.61142856,t17_f5_c3,0.8434959,19.0095,0.3491,281120204.0,True,True,False,correction_0.0.1,0.0,,ZTF19aawrjdy
ztf,59698.4605556,1944460550415015056,2,1944460550415,19.585016,1,1944,0.30067995,17.906837,16.97168,17.9463,0.07454635,0.027376167,0.031503815,0.0749,266.3729887,-26.6381755,0.6514286,t17_f5_c3,0.99986935,17.9549,0.0953,281120204.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawrjdy
ztf,59700.41834490001,1946418340415015049,2,1946418340415,19.92108,1,1946,0.511544,17.774477,16.913763,17.8318,0.056794215,0.0210311,0.025705054,0.059,266.3730589,-26.6381951,0.77428573,t17_f5_c3,0.99972063,17.9758,0.0845,281120204.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawrjdy
ztf,59702.41784719983,1948417840415015062,2,1948417840415,19.715237,1,1948,0.4219038,17.844847,16.94505,17.9036,0.06977337,0.02639287,0.030462844,0.0687,266.3730196,-26.6381502,0.73142856,t17_f5_c3,0.99997216,17.8838,0.085,281120204.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawrjdy
ztf,59708.43884260021,1954438840415015060,2,1954438840415,19.600296,1,1954,0.13729374,17.926119,16.979786,17.88,0.0737522,0.026551308,0.030849058,0.0638,266.3729417,-26.6381941,0.55714285,t17_f5_c3,0.9934664,17.8106,0.0756,281120204.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawrjdy
ztf,59708.49437499978,1954494370415015045,2,1954494370415,19.077866,1,1954,0.4587597,17.990606,17.006296,18.0572,0.08454712,0.03011806,0.034148723,0.1182,266.3730232,-26.6381334,0.6471428,t17_f5_c3,0.9998039,18.018,0.1455,281120204.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawrjdy
ztf,59711.439919000026,1957439910415015044,2,1957439910415,19.334759,1,1957,0.20860435,17.966335,16.996428,18.1612,0.09297966,0.034552824,0.03805613,0.1082,266.3729546,-26.6381717,0.7,t17_f5_c3,0.95361596,18.0242,0.1214,281120204.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawrjdy
ztf,59719.41984950006,1965419840415015031,2,1965419840415,19.146307,1,1965,0.5780895,18.101093,17.049578,18.181,0.086915836,0.028431607,0.03299837,0.1318,266.3730551,-26.6381175,0.7185714,t17_f5_c3,0.99997306,18.1587,0.1648,281120204.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawrjdy
ztf,59723.4401273001,1969440120415015058,2,1969440120415,19.9856,1,1969,0.3794505,18.223328,17.09438,18.6441,0.0934042,0.028030347,0.033020765,0.1207,266.3730069,-26.6381577,0.69857144,t17_f5_c3,0.99989724,18.6942,0.158,281120204.0,True,True,False,correction_1.0.6,0.0,,ZTF19aawrjdy
