tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58639.31369209988,885313693715010069,2,885313693715,20.322159,-1,885,0.21963423,18.148083,18.11138,18.1192,0.07981795,100.0,0.07716478,0.0542,269.9476929,-16.0351046,0.76857144,t17_f5_c3,0.0,18.0822,0.0669,332120237.0,False,True,False,bulk_1.0.0,0.0,8.9527373371501e+17,ZTF19aawyzwm
ztf,58640.275312500075,886275313715010058,2,886275313715,20.336897,-1,886,0.26983872,18.169823,18.090767,18.0811,0.11031936,100.0,0.10257221,0.0522,269.94768,-16.035113,0.7457143,t17_f5_c3,0.0,18.1012,0.0679,332120237.0,False,True,False,bulk_1.0.0,0.0,8.9527373371501e+17,ZTF19aawyzwm
ztf,58643.27478010021,889274783715010052,2,889274783715,20.079693,-1,889,0.18211852,18.078169,18.183538,18.061,0.08354175,100.0,0.092055835,0.0627,269.9477039,-16.035106,0.80142856,t17_f5_c3,0.0,18.1298,0.0855,332120237.0,False,True,False,bulk_1.0.0,0.0,8.9527373371501e+17,ZTF19aawyzwm
ztf,58646.292986100074,892292983715010011,2,892292983715,18.198679,-1,892,0.3408289,17.856377,18.495504,17.5771,0.19199228,0.11842642,0.34588754,0.2301,269.9477013,-16.0351536,0.4642857,t17_f5_c3,0.0,17.6116,0.3051,332120237.0,False,True,False,bulk_1.0.0,0.0,8.9527373371501e+17,ZTF19aawyzwm
ztf,58647.293229199946,893293223715010045,2,893293223715,19.570803,-1,893,0.18698844,17.929747,18.374672,17.8734,0.07323582,100.0,0.11032992,0.0786,269.9477097,-16.0351097,0.76,t17_f5_c3,0.0,17.851,0.0988,332120237.0,False,True,False,bulk_1.0.0,0.0,8.9527373371501e+17,ZTF19aawyzwm
ztf,58649.27373840008,895273733715010042,2,895273733715,19.030302,-1,895,0.24350877,17.951542,18.342642,17.7892,0.098518506,100.0,0.1412399,0.1234,269.9476986,-16.0351221,0.6842857,t17_f5_c3,0.0,17.7966,0.1596,332120237.0,False,True,False,bulk_1.0.0,0.0,9.2325186371501e+17,ZTF19aawyzwm
ztf,58654.35561340023,900355613715010051,2,900355613715,19.156075,-1,900,0.14361839,17.892496,18.43332,17.9922,0.079137914,100.0,0.13023077,0.1242,269.9477121,-16.0350918,0.77,t17_f5_c3,0.9999999,18.017,0.1632,332120237.0,False,True,False,bulk_1.0.0,0.0,9.2325186371501e+17,ZTF19aawyzwm
ztf,58661.31398149999,907313983715010093,2,907313983715,20.453136,-1,907,0.18032794,17.906944,18.409954,17.8636,0.06915799,100.0,0.1099122,0.039,269.9477066,-16.0351068,0.7885714,t17_f5_c3,0.99999785,17.901,0.0515,332120237.0,False,True,False,bulk_1.0.0,0.0,9.2325186371501e+17,ZTF19aawyzwm
ztf,58668.317268500105,914317263715010057,2,914317263715,20.22327,-1,914,0.15401083,17.801731,18.601479,17.8423,0.07591032,100.0,0.15856239,0.0453,269.9477096,-16.035098,0.76428574,t17_f5_c3,0.99999213,17.8608,0.0589,332120237.0,False,True,False,bulk_1.0.0,0.0,9.2325186371501e+17,ZTF19aawyzwm
ztf,58676.272962999996,922272963715010081,2,922272963715,19.856369,-1,922,0.21563981,17.79825,18.608788,17.7268,0.07169718,100.0,0.15125743,0.0569,269.9476966,-16.0351107,0.80142856,t17_f5_c3,0.9999993,17.7255,0.0729,332120237.0,False,True,False,bulk_1.0.0,0.0,9.2325186371501e+17,ZTF19aawyzwm
ztf,58677.251863399986,923251863715010056,2,923251863715,19.711452,-1,923,0.19111796,17.821793,18.560734,17.7443,0.12765662,100.0,0.2521273,0.0668,269.9477067,-16.0351112,0.73142856,t17_f5_c3,0.9999775,17.7172,0.0835,332120237.0,False,True,False,bulk_1.0.0,0.0,9.4415692371501e+17,ZTF19aawyzwm
ztf,58681.29278940009,927292783715010047,2,927292783715,19.395725,-1,927,0.22205675,17.7733,18.663382,17.7084,0.07200795,100.0,0.16346069,0.0837,269.9476867,-16.0350976,0.74285716,t17_f5_c3,0.9999999,17.6826,0.1049,332120237.0,False,True,False,bulk_1.0.0,0.0,9.4415692371501e+17,ZTF19aawyzwm
ztf,58692.31576390006,938315763715010055,2,938315763715,19.77538,-1,938,0.15053266,17.739271,18.744833,17.712,0.07123722,100.0,0.1798588,0.0574,269.9477258,-16.0351096,0.7785714,t17_f5_c3,0.9999829,17.7498,0.0763,332120237.0,False,True,False,bulk_1.0.0,0.0,9.4415692371501e+17,ZTF19aawyzwm
ztf,58698.156921300106,944156923715010101,2,944156923715,19.060293,-1,944,0.22571208,17.762812,18.687574,17.6809,0.07316194,100.0,0.17147088,0.1122,269.9476812,-16.035087,0.74142855,t17_f5_c3,0.9999987,17.694,0.1458,332120237.0,False,True,False,bulk_1.0.0,0.0,9.5727327371501e+17,ZTF19aawyzwm
ztf,58711.27327550016,957273273715010011,2,957273273715,18.891838,-1,957,0.07548954,17.870268,18.470919,17.9862,0.11306897,100.0,0.19660911,0.1317,269.9477252,-16.035059,0.49571428,t17_f5_c3,1.0,17.9499,0.1636,332120237.0,False,True,False,bulk_1.0.0,0.0,9.8316840371501e+17,ZTF19aawyzwm
ztf,58715.14297450008,961142973715010054,2,961142973715,19.883247,-1,961,0.13640879,17.92133,18.387476,18.0654,0.094010435,100.0,0.14442243,0.0752,269.9477304,-16.0351047,0.74,t17_f5_c3,0.99999994,18.1089,0.1003,332120237.0,False,True,False,bulk_1.0.0,0.0,9.8316840371501e+17,ZTF19aawyzwm
ztf,58720.140775499865,966140773715010061,2,966140773715,19.872732,-1,966,0.16221361,17.913977,18.39887,17.8614,0.084493436,100.0,0.13206269,0.0638,269.9477041,-16.0350931,0.7714286,t17_f5_c3,0.9999997,17.9382,0.0877,332120237.0,False,True,False,bulk_1.0.0,0.0,9.8316840371501e+17,ZTF19aawyzwm
ztf,58737.16840279987,983168403715010051,2,983168403715,19.569016,-1,983,0.2979803,18.164614,18.095633,18.1658,0.1216455,100.0,0.11415736,0.1072,269.9476925,-16.0351365,0.70857143,t17_f5_c3,0.9995312,18.1532,0.136,332120237.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aawyzwm
ztf,58967.3798727002,1213379873715010051,2,1213379873715,19.743603,-1,1213,0.19611466,17.903788,18.41499,17.9211,0.065258056,100.0,0.104499616,0.0688,269.947709,-16.0351125,0.7828571,t17_f5_c3,0.9999986,17.8928,0.0859,332120237.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19aawyzwm
ztf,59011.35390050011,1257353903715010049,2,1257353903715,20.065714,-1,1257,0.19803177,17.84065,18.524424,17.7706,0.10329496,100.0,0.1939048,0.0494,269.9477031,-16.0351077,0.7542857,t17_f5_c3,0.99997807,17.7899,0.0644,332120237.0,False,True,False,bulk_1.0.0,0.0,1.27831563371501e+18,ZTF19aawyzwm
ztf,59020.27181709977,1266271813715010074,2,1266271813715,20.212786,-1,1266,0.17186607,17.848333,18.510147,17.9045,0.062957704,100.0,0.115817554,0.0477,269.9477064,-16.0351025,0.75714284,t17_f5_c3,0.9999994,17.9686,0.0647,332120237.0,False,True,False,bulk_1.0.0,0.0,1.27831563371501e+18,ZTF19aawyzwm
ztf,59024.252141200006,1270252143715010076,2,1270252143715,20.176928,-1,1270,0.14695281,17.881977,18.450853,17.8477,0.064583644,100.0,0.10906195,0.0486,269.9477105,-16.0350936,0.7785714,t17_f5_c3,0.9999182,17.8897,0.0646,332120237.0,False,True,False,bulk_1.0.0,0.0,1.27831563371501e+18,ZTF19aawyzwm
ztf,59032.3156365999,1278315633715010055,2,1278315633715,19.34454,-1,1278,0.24763195,17.999485,18.277403,17.8458,0.10475794,100.0,0.13531756,0.0951,269.9477082,-16.0351262,0.68857145,t17_f5_c3,0.99999654,17.9513,0.1345,332120237.0,False,True,False,bulk_1.0.0,0.0,1.29533673371501e+18,ZTF19aawyzwm
