tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.55414350005,2597554140315015032,2,2597554140315,19.280542,1,2597,0.16485138,16.281328,14.644282,16.4107,0.086113,0.0129260775,0.019065598,0.0253,297.9550354,18.8812088,0.7271429,t17_f5_c3,0.99999213,16.3986,0.0305,1636120203.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60351.55461810017,2597554610315015048,2,2597554610315,19.31493,1,2597,0.82833093,16.061466,14.591623,16.3722,0.09405662,0.020293236,0.024291389,0.0245,297.9552048,18.881087,0.6157143,t17_f5_c3,0.9138364,16.346,0.0292,1636120203.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60351.555081000086,2597555080315015039,2,2597555080315,19.304102,1,2597,0.814487,16.17065,14.618788,16.4097,0.08673622,0.015621385,0.020770896,0.0255,297.9552207,18.8811089,0.63857144,t17_f5_c3,0.6639431,16.3989,0.0309,1636120203.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60351.56280090008,2597562805315015060,2,2597562805315,19.052784,1,2597,0.88064224,16.348633,14.649348,16.4624,0.084707946,0.012388908,0.017709663,0.0302,297.955245,18.8811564,0.46285716,t17_f5_c3,0.99180764,16.4758,0.0381,1587120253.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60351.56326390011,2597563265315015047,2,2597563265315,19.025024,1,2597,0.52044904,16.046545,14.578868,16.5225,0.10871811,0.025512204,0.028133985,0.0332,297.9551366,18.8811829,0.48857144,t17_f5_c3,0.02544668,16.4862,0.0402,1587120253.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60351.56373840012,2597563735315015008,2,2597563735315,19.08824,1,2597,1.0100201,16.409718,14.661838,16.5409,0.05393114,100.0,0.010781712,0.0343,297.9552578,18.8811069,0.68714285,t17_f5_c3,0.9954431,16.5196,0.042,1587120253.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60353.54890049994,2599548900315015014,2,2599548900315,19.871593,1,2599,0.3605873,16.542648,14.69696,16.6481,0.06662464,100.0,0.012171942,0.0253,297.9550476,18.8811542,0.81714284,t17_f5_c3,0.9999995,16.6136,0.0291,1636120203.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60353.549363399856,2599549360315015024,2,2599549360315,19.917852,1,2599,0.36249903,16.546211,14.697611,16.6383,0.09081417,0.0075570014,0.016546778,0.0242,297.9550925,18.8811694,0.7885714,t17_f5_c3,0.9999924,16.6314,0.0286,1636120203.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60353.54983799998,2599549830315015023,2,2599549830315,19.911713,1,2599,0.39048737,16.491747,14.687482,16.6092,0.11392095,0.015963467,0.021622077,0.0237,297.955125,18.8811899,0.73714286,t17_f5_c3,0.9999918,16.613,0.0282,1636120203.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
ztf,60353.56225690013,2599562255315015010,2,2599562255315,19.45391,1,2599,0.3352068,16.466497,14.672955,16.6463,0.09243158,0.0121097565,0.017717525,0.0326,297.9550978,18.8812213,0.6785714,t17_f5_c3,0.9996451,16.6187,0.0393,1587120253.0,True,True,False,23.12.x,0.0,,ZTF19aazujgk
