tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58653.44386570016,899443860615015000,2,899443860615,19.6068,1,899,0.198618,20.0985,17.693518,19.8291,0.353287,100.0,0.03855979,0.5122,1.7649751,15.9065957,0.774286,t17_f5_c3,19.4633,0.4675,False,True,False,bulk_1.0.0,0.0,9.20478830615015e+17,,,ZTF19abamqzt
ztf,58657.43731479999,903437310615015001,2,903437310615,19.844593,1,903,0.54603857,19.66312,17.636578,19.9151,0.16732144,100.0,0.025878206,0.414,1.7650863,15.9066053,0.95428574,t17_f5_c3,19.9917,0.5652,False,True,False,bulk_1.0.0,0.0,9.20478830615015e+17,0.9999125,550120206.0,ZTF19abamqzt
ztf,58668.36969910003,914369690615015002,2,914369690615,20.089031,1,914,0.87992364,19.723553,17.645706,19.4893,0.19414987,100.0,0.02864168,0.1996,1.7651637,15.9065284,0.9128571,t17_f5_c3,19.4363,0.2392,False,True,False,bulk_1.0.0,0.0,9.20478830615015e+17,0.9999395,550120206.0,ZTF19abamqzt
ztf,58674.45372689981,920453720615015002,1,920453720615,20.5129,1,920,0.639295,20.7625,18.36642,21.0877,0.276056,100.0,0.030378422,0.596,1.7650621,15.9066025,0.894286,t17_f5_c3,20.9337,0.6535,False,True,False,bulk_1.0.0,0.0,9.20478830615015e+17,,,ZTF19abamqzt
ztf,58674.47883100016,920478830615015003,2,920478830615,20.502365,1,920,0.43961695,19.604229,17.627256,19.8628,0.13264917,100.0,0.02147414,0.2571,1.7650472,15.9065828,0.94,t17_f5_c3,19.6532,0.266,False,True,False,bulk_1.0.0,0.0,9.41494820615015e+17,0.99998546,550120206.0,ZTF19abamqzt
ztf,58677.46377310017,923463770615015004,1,923463770615,20.7649,1,923,0.547454,20.6007,18.34739,20.9246,0.218866,100.0,0.027469672,0.4929,1.7649099,15.9065757,0.917143,t17_f5_c3,20.5266,0.4299,False,True,False,bulk_1.0.0,0.0,9.41494820615015e+17,,,ZTF19abamqzt
ztf,58677.485671299975,923485670615015000,2,923485670615,20.463642,1,923,0.23971666,19.7436,17.64864,19.6448,0.154684,100.0,0.022462666,0.2294,1.7649919,15.9066003,0.93285716,t17_f5_c3,19.5224,0.258,False,True,False,bulk_1.0.0,0.0,9.41494820615015e+17,0.9999528,550120206.0,ZTF19abamqzt
ztf,58683.45755789988,929457550615015005,2,929457550615,19.97109,1,929,0.45557404,19.58075,17.62342,19.8697,0.1863674,100.0,0.03072124,0.4204,1.7650547,15.9066019,0.8528572,t17_f5_c3,19.5968,0.4167,False,True,False,bulk_1.0.0,0.0,9.41494820615015e+17,0.9998021,550120206.0,ZTF19abamqzt
ztf,58688.43600689992,934436000615015001,2,934436000615,19.9639,1,934,0.247136,19.6659,17.637007,20.4723,0.155107,100.0,0.023937242,0.7104,1.7649449,15.9065628,0.797143,t17_f5_c3,19.9022,0.5357,False,True,False,bulk_1.0.0,0.0,9.41494820615015e+17,,,ZTF19abamqzt
ztf,58691.42086810013,937420860615015005,2,937420860615,20.524826,1,937,0.532123,19.956842,17.677126,19.8918,0.1356559,100.0,0.01661698,0.2502,1.7650715,15.9066883,0.94857144,t17_f5_c3,20.0356,0.3572,False,True,False,bulk_1.0.0,0.0,9.41494820615015e+17,0.9999993,550120206.0,ZTF19abamqzt
ztf,58691.45581019996,937455810615015004,1,937455810615,20.5337,1,937,0.728899,20.8689,18.377632,20.5466,0.289533,100.0,0.02918708,0.3769,1.7648118,15.9065573,0.881429,t17_f5_c3,20.918,0.6697,False,True,False,bulk_1.0.0,0.0,9.41494820615015e+17,,,ZTF19abamqzt
ztf,58695.49482640019,941494820615015000,2,941494820615,20.668285,1,941,0.56887245,19.818161,17.659155,19.9124,0.14489682,100.0,0.019836113,0.2425,1.7650737,15.9065588,0.92142856,t17_f5_c3,19.7942,0.2717,False,True,False,bulk_1.0.0,0.0,9.43436650615015e+17,0.99975085,550120206.0,ZTF19abamqzt
ztf,58697.43665509997,943436650615015008,2,943436650615,20.716078,1,943,0.31533122,19.834541,17.661383,19.7903,0.14775142,100.0,0.01996496,0.2059,1.7649921,15.9065669,0.92285717,t17_f5_c3,19.6859,0.2326,False,True,False,bulk_1.0.0,0.0,9.52399380615015e+17,0.99984956,550120206.0,ZTF19abamqzt
ztf,58698.43701389991,944437010615015001,2,944437010615,20.526413,1,944,0.3919647,19.606543,17.627632,19.5166,0.12894762,100.0,0.020837652,0.1857,1.7650342,15.9065839,0.9685714,t17_f5_c3,19.5747,0.2447,False,True,False,bulk_1.0.0,0.0,9.52399380615015e+17,0.9999906,550120206.0,ZTF19abamqzt
ztf,58700.40222219983,946402220615015004,2,946402220615,20.733166,1,946,0.46643057,19.895395,17.669409,20.0899,0.13905905,100.0,0.01789802,0.2726,1.7650293,15.9065388,0.9342857,t17_f5_c3,20.1484,0.3576,False,True,False,bulk_1.0.0,0.0,9.52399380615015e+17,0.99999833,550120206.0,ZTF19abamqzt
ztf,58700.47854170017,946478540615015004,1,946478540615,20.77,1,946,0.597905,20.8658,18.37732,20.5036,0.227103,100.0,0.022952504,0.3227,1.7647702,15.9066606,0.884286,t17_f5_c3,20.344,0.3504,False,True,False,bulk_1.0.0,0.0,9.52399380615015e+17,,,ZTF19abamqzt
ztf,58703.42275460018,949422750615015009,2,949422750615,20.715687,1,949,0.5105225,19.974548,17.67928,19.8985,0.13999973,100.0,0.016905174,0.2309,1.7650225,15.9065184,0.9442857,t17_f5_c3,19.6106,0.2209,False,True,False,bulk_1.0.0,0.0,9.52399380615015e+17,0.9998155,550120206.0,ZTF19abamqzt
ztf,58706.399386600126,952399380615015006,2,952399380615,20.632727,1,952,0.6184489,19.847227,17.663088,20.0018,0.12315082,100.0,0.016473351,0.2748,1.7650664,15.9065227,0.91714287,t17_f5_c3,19.9949,0.3419,False,True,False,bulk_1.0.0,0.0,9.76397710615015e+17,0.9999641,550120206.0,ZTF19abamqzt
ztf,58712.37672450021,958376720615015004,2,958376720615,19.613691,1,958,0.1628208,19.576303,17.622686,19.3801,0.18568996,100.0,0.030714393,0.3526,1.7649553,15.9065905,0.9142857,t17_f5_c3,19.1061,0.3504,False,True,False,bulk_1.0.0,0.0,9.76397710615015e+17,0.99923885,550120206.0,ZTF19abamqzt
ztf,58730.397719900124,976397710615015002,2,976397710615,20.548483,1,976,0.35606822,20.062126,17.689487,19.9476,0.19142306,100.0,0.021524776,0.2817,1.7650324,15.9066226,0.85142857,t17_f5_c3,19.9441,0.3523,False,True,False,bulk_1.0.0,0.0,1.000147080615015e+18,0.99997616,550120206.0,ZTF19abamqzt
ztf,58745.14880790003,991148800615015000,2,991148800615,20.031343,1,991,0.37033874,19.845552,17.662865,20.0845,0.18675789,100.0,0.02501519,0.4635,1.7650341,15.9065999,0.9285714,t17_f5_c3,20.1683,0.6356,False,True,False,bulk_1.0.0,0.0,1.020201070615015e+18,0.9999541,550120206.0,ZTF19abamqzt
