tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58662.20982640004,908209824215015022,1,908209824215,20.349102,1,908,0.53653216,17.60203,14.354066,17.9499,0.09684697,100.0,0.0048629562,0.0682,241.6579774,-23.7259699,0.61714286,t17_f5_c3,0.329743,17.9864,0.0783,278120142.0,False,True,False,bulk_1.0.0,0.0,9.16294474215015e+17,ZTF19abbzdmh
ztf,58670.29447920015,916294474215015018,2,916294474215,19.981358,1,916,0.6329749,15.814613,12.91326,15.8335,0.08118848,100.0,0.005609875,0.0172,241.6579173,-23.7256857,0.5,t17_f5_c3,0.90921867,15.8302,0.0183,278120242.0,False,True,False,bulk_1.0.0,0.0,9.28188394215015e+17,ZTF19abbzdmh
ztf,58682.1883911998,928188394215015005,1,928188394215,19.512936,1,928,0.80521643,17.24943,14.333346,17.5611,0.13031712,100.0,0.0088831745,0.0731,241.6577644,-23.7260754,0.44714287,t17_f5_c3,0.3258806,17.5717,0.0895,278120142.0,False,True,False,bulk_1.0.0,0.0,9.41219324215015e+17,ZTF19abbzdmh
ztf,58695.2193287001,941219324215015021,2,941219324215,19.465982,1,941,0.688521,16.110342,12.931296,16.2675,0.035151605,100.0,0.0018807326,0.0282,241.6576589,-23.7259026,0.37285715,t17_f5_c3,0.22763103,16.2644,0.0313,278120242.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19abbzdmh
ztf,59370.38019679999,1616380194215015012,1,1616380194215,19.81323,1,1616,0.9062349,17.8654,14.365872,18.4336,0.14948522,100.0,0.0059537017,0.1247,241.6580957,-23.7260026,0.36714286,t17_f5_c3,0.01236996,18.5348,0.1581,278120142.0,True,True,False,correction_0.0.1,0.0,,ZTF19abbzdmh
ztf,59406.22909720009,1652229094215015011,1,1652229094215,19.489073,1,1652,0.78016704,17.324076,14.338275,17.9658,0.16567247,100.0,0.010590831,0.0939,241.6577906,-23.7260734,0.33714285,t17_f5_c3,0.11703318,17.9746,0.1118,278120142.0,True,True,False,correction_0.0.1,0.0,,ZTF19abbzdmh
ztf,59406.23104170011,1652231044215015011,2,1652231044215,19.518848,1,1652,0.57079107,15.944048,12.921724,16.2039,0.08567479,100.0,0.0052957027,0.0251,241.6577563,-23.7259824,0.5642857,t17_f5_c3,0.960659,16.1882,0.0272,278120242.0,True,True,False,correction_0.0.1,0.0,,ZTF19abbzdmh
ztf,60051.41914349981,2297419144215015010,2,2297419144215,20.2833,1,2297,0.860009,16.2386,12.93779,16.5545,0.124769,100.0,0.0059673646,0.0291,241.6576993,-23.7260436,0.332857,t17_f5_c3,,16.5551,0.0307,,False,True,False,1.1.6,0.0,2.299421014215015e+18,ZTF19abbzdmh
ztf,60053.42101849988,2299421014215015014,2,2299421014215,19.791513,1,2299,0.62470996,16.139044,12.932814,16.1399,0.114137374,100.0,0.0059557394,0.0213,241.6577776,-23.7260143,0.53,t17_f5_c3,0.5179721,16.1315,0.0229,278120242.0,True,True,False,1.1.6,0.0,,ZTF19abbzdmh
ztf,60063.43962959992,2309439624215015012,1,2309439624215,20.028692,1,2309,0.78983593,17.106846,14.3230095,17.6121,0.1313752,100.0,0.0101153,0.0547,241.6577102,-23.7260419,0.4485714,t17_f5_c3,0.19242966,17.6455,0.0641,278120142.0,True,True,False,1.2.0,0.0,,ZTF19abbzdmh
ztf,60087.35564809991,2333355644215015019,2,2333355644215,20.319557,1,2333,1.1125613,16.037596,12.9272785,15.9971,0.028655767,100.0,0.0016333725,0.0181,241.6577649,-23.7261549,0.47714287,t17_f5_c3,0.6336664,16.008,0.0192,278120242.0,True,True,False,1.2.0,0.0,,ZTF19abbzdmh
ztf,60116.273321799934,2362273324215015017,2,2362273324215,19.890068,1,2362,0.5397115,15.534058,12.891362,15.7342,0.08926258,100.0,0.007826926,0.0149,241.6577325,-23.7259474,0.63857144,t17_f5_c3,0.30177766,15.7163,0.0158,278120242.0,True,True,False,1.2.0,0.0,,ZTF19abbzdmh
ztf,60118.2098495001,2364209844215015014,2,2364209844215,19.607006,1,2364,0.81973845,15.567103,12.894219,15.7388,0.05939275,100.0,0.0050650067,0.0151,241.6577993,-23.7260781,0.6785714,t17_f5_c3,0.9733285,15.719,0.0161,278120242.0,True,True,False,1.2.0,0.0,,ZTF19abbzdmh
ztf,60128.29344910011,2374293444215015007,2,2374293444215,18.6153,1,2374,1.79825,16.013,,15.9611,0.18419,,,0.0332,241.6574406,-23.7261787,0.311429,t17_f5_c3,,15.9688,0.0409,,False,False,True,1.2.0,0.0,2.379188754215015e+18,ZTF19abbzdmh
