tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58672.319004599936,918319002315015046,1,918319002315,21.1782,1,918,0.281107,20.9912,18.959515,21.1183,0.260158,0.036678307,0.040046398,0.3869,271.2107705,38.8458561,0.881429,t17_f5_c3,21.2684,0.5606,False,True,False,bulk_1.0.0,0.0,9.46185202315015e+17,,,ZTF19abcutou
ztf,58684.21956019988,930219562315015031,1,930219562315,20.5192,1,930,0.522435,20.6627,18.902016,19.9119,0.301581,0.057600465,0.05958404,0.2188,271.2110186,38.8458078,0.552857,t17_f5_c3,19.6085,0.2114,False,True,False,bulk_1.0.0,0.0,9.46185202315015e+17,,,ZTF19abcutou
ztf,58688.36480320012,934364802315015008,2,934364802315,20.5221,1,934,0.474056,20.3722,18.504765,20.2081,0.271754,0.046365548,0.048663285,0.3166,271.2110167,38.8458233,0.851429,t17_f5_c3,19.9347,0.3139,False,True,False,bulk_1.0.0,0.0,9.46185202315015e+17,,,ZTF19abcutou
ztf,58691.30953700002,937309532315015015,1,937309532315,20.951,1,937,0.488989,20.5305,18.87459,21.2645,0.237982,0.049602345,0.051782094,0.5432,271.2110384,38.8459073,0.75,t17_f5_c3,20.9861,0.5351,False,True,False,bulk_1.0.0,0.0,9.46185202315015e+17,,,ZTF19abcutou
ztf,58694.305914400145,940305912315015147,1,940305912315,20.8217,1,940,0.224581,20.7602,18.920597,20.4933,0.2812,0.04927939,0.051662337,0.2895,271.2108775,38.8458263,0.721429,t17_f5_c3,20.5245,0.3782,False,True,False,bulk_1.0.0,0.0,9.46185202315015e+17,,,ZTF19abcutou
ztf,58700.18520830013,946185202315015076,2,946185202315,20.715685,1,946,0.4219456,20.413462,18.512037,20.3564,0.21673407,0.034548078,0.037614714,0.2942,271.2109245,38.8457925,0.7814286,t17_f5_c3,20.2455,0.3375,True,True,False,bulk_1.0.0,0.0,0.0,0.9999867,725120223.0,ZTF19abcutou
ztf,58899.51497690007,1145514972315015012,2,1145514972315,20.241596,1,1145,1.0670696,20.203093,18.47248,20.3484,0.21315458,0.040851153,0.04329621,0.3758,271.2105228,38.8458036,0.8542857,t17_f5_c3,20.6778,0.6495,False,True,False,bulk_1.0.0,0.0,1.154547992315015e+18,0.9999535,725120223.0,ZTF19abcutou
ztf,58899.54187500011,1145541872315015037,1,1145541872315,20.7081,1,1145,1.50462,20.5106,,20.5469,0.22555,,,0.3221,271.2103196,38.8458986,0.775714,t17_f5_c3,20.5305,0.4038,False,False,True,bulk_1.0.0,0.0,1.154547992315015e+18,,,ZTF19abcutou
ztf,58904.53357640002,1150533572315015018,2,1150533572315,20.2586,1,1150,1.23081,20.4958,18.525888,20.6171,0.322421,0.050329257,0.05253617,0.4592,271.2104429,38.8459496,0.77,t17_f5_c3,20.4203,0.4894,False,True,False,bulk_1.0.0,0.0,1.154547992315015e+18,,,ZTF19abcutou
ztf,58908.50502309995,1154505022315015028,2,1154505022315,20.6168,1,1154,0.870259,20.3342,18.49786,20.5154,0.242931,0.042289384,0.044765886,0.3689,271.2105783,38.8458614,0.831429,t17_f5_c3,20.3753,0.4135,False,True,False,bulk_1.0.0,0.0,1.154547992315015e+18,,,ZTF19abcutou
ztf,58908.50502309995,1154505022315025028,2,1154505022315,20.6168,1,1154,0.870259,20.3342,18.49786,20.5154,0.242931,0.042289384,0.044765886,0.3689,271.2105783,38.8458614,0.831429,t17_f5_c3,20.3753,0.4135,False,True,False,bulk_1.0.0,0.0,1.182512712315015e+18,,,ZTF19abcutou
ztf,58908.54799770005,1154547992315015025,1,1154547992315,20.59295,1,1154,0.8174302,20.51826,18.871914,20.496,0.2083209,0.043258112,0.04572932,0.3421,271.2105684,38.8458741,0.8457143,t17_f5_c3,20.8636,0.6121,True,True,False,bulk_1.0.0,0.0,0.0,0.99997234,725120123.0,ZTF19abcutou
ztf,58908.54799770005,1154547992315025025,1,1154547992315,20.593,1,1154,0.81743,20.5183,18.871923,20.496,0.208321,0.043256704,0.045728024,0.3421,271.2105684,38.8458741,0.845714,t17_f5_c3,20.8636,0.6121,False,True,False,bulk_1.0.0,0.0,1.182512712315015e+18,,,ZTF19abcutou
ztf,58911.544398100115,1157544392315015019,1,1157544392315,20.033,1,1157,1.8164,20.0953,,19.9856,0.237013,,,0.2306,271.2102068,38.8458749,0.45,t17_f5_c3,19.9758,0.2916,False,False,True,bulk_1.0.0,0.0,1.182512712315015e+18,,,ZTF19abcutou
ztf,58914.52424769988,1160524242315015014,2,1160524242315,20.8955,1,1160,1.31266,20.4359,18.5159,20.376,0.254528,0.04077763,0.04342455,0.2603,271.2104164,38.8458679,0.638571,t17_f5_c3,20.3588,0.325,False,True,False,bulk_1.0.0,0.0,1.182512712315015e+18,,,ZTF19abcutou
ztf,58936.49158560019,1182491582315015069,1,1182491582315,20.758,1,1182,1.62878,20.4011,,20.2598,0.251423,,,0.238,271.210271,38.8458794,0.421429,t17_f5_c3,20.422,0.3506,False,False,True,bulk_1.0.0,0.0,1.182512712315015e+18,,,ZTF19abcutou
ztf,58936.51271989988,1182512712315015008,2,1182512712315,20.606853,1,1182,1.1560966,20.089346,18.448391,19.9025,0.20937836,0.044008207,0.046190232,0.2053,271.2104656,38.8459014,0.77428573,t17_f5_c3,19.9808,0.2807,False,True,False,bulk_1.0.0,0.0,1.210385722315015e+18,0.99972856,725120223.0,ZTF19abcutou
ztf,58936.522962999996,1182522962315015009,2,1182522962315,20.6504,1,1182,0.778246,20.1535,18.462223,19.8646,0.252393,0.051223528,0.05315772,0.1978,271.2106157,38.8458433,0.777143,t17_f5_c3,19.8286,0.2434,False,True,False,bulk_1.0.0,0.0,1.210385722315015e+18,,,ZTF19abcutou
ztf,58943.48894680012,1189488942315015005,2,1189488942315,20.6698,1,1189,0.866697,20.4214,18.513412,20.1419,0.309157,0.051209286,0.053331498,0.2466,271.210577,38.8458664,0.537143,t17_f5_c3,20.4952,0.4336,False,True,False,bulk_1.0.0,0.0,1.210385722315015e+18,,,ZTF19abcutou
ztf,58953.43201390002,1199432012315015017,1,1199432012315,20.2849,1,1199,0.180261,20.3372,18.829502,20.1835,0.246244,0.059738006,0.061416686,0.3102,271.2108368,38.8459385,0.891429,t17_f5_c3,20.1087,0.3697,False,True,False,bulk_1.0.0,0.0,1.210385722315015e+18,,,ZTF19abcutou
ztf,58956.49188659992,1202491882315015018,2,1202491882315,20.2331,1,1202,0.556577,19.9993,18.427876,20.2574,0.241555,0.055119663,0.056812786,0.4148,271.2107717,38.8457758,0.757143,t17_f5_c3,20.1702,0.4895,False,True,False,bulk_1.0.0,0.0,1.210385722315015e+18,,,ZTF19abcutou
ztf,58961.44015049981,1207440152315015019,2,1207440152315,20.4008,1,1207,1.60736,20.2899,,19.9075,0.232341,,,0.2217,271.2103044,38.8458623,0.61,t17_f5_c3,19.9835,0.3028,False,False,True,bulk_1.0.0,0.0,1.229364912315015e+18,,,ZTF19abcutou
ztf,58964.38572920021,1210385722315015015,1,1210385722315,20.891012,1,1210,0.29997274,20.124994,18.772568,19.8616,0.1604521,0.044143908,0.046171583,0.1536,271.2109657,38.845925,0.8457143,t17_f5_c3,19.7629,0.1778,False,True,False,bulk_1.0.0,0.0,1.210426492315015e+18,0.99995947,725120123.0,ZTF19abcutou
ztf,58964.42649309989,1210426492315015017,2,1210426492315,20.840498,1,1210,0.089226134,20.193027,18.470428,20.3084,0.18095315,0.034147922,0.037027687,0.2523,271.2108996,38.8458842,0.86142856,t17_f5_c3,20.3735,0.3399,False,True,False,bulk_1.0.0,0.0,1.229364912315015e+18,0.99994516,725120223.0,ZTF19abcutou
ztf,58967.453865699936,1213453862315015090,1,1213453862315,21.056,1,1213,1.83241,20.463,,20.1866,0.197698,,,0.1822,271.2102035,38.845906,0.295714,t17_f5_c3,20.0827,0.2095,False,False,True,bulk_1.0.0,0.0,1.229364912315015e+18,,,ZTF19abcutou
ztf,58970.40865739994,1216408652315015032,2,1216408652315,20.8699,1,1216,1.56452,20.2653,,20.0008,0.216878,,,0.1818,271.2103379,38.8458048,0.494286,t17_f5_c3,20.2204,0.2813,False,False,True,bulk_1.0.0,0.0,1.229364912315015e+18,,,ZTF19abcutou
ztf,58973.3683449002,1219368342315015011,2,1219368342315,20.0936,1,1219,0.433922,20.0818,18.446722,20.7071,0.268047,0.05778016,0.05945383,0.6688,271.2107344,38.8458767,0.888571,t17_f5_c3,20.4482,0.6759,False,True,False,bulk_1.0.0,0.0,1.229364912315015e+18,,,ZTF19abcutou
ztf,58973.47037040023,1219470372315015015,1,1219470372315,20.7706,1,1219,0.565687,20.414,18.848154,19.7385,0.243089,0.05560665,0.057468154,0.1521,271.2106577,38.8459075,0.53,t17_f5_c3,19.6635,0.1803,False,True,False,bulk_1.0.0,0.0,1.229364912315015e+18,,,ZTF19abcutou
ztf,58983.36491899984,1229364912315015028,2,1229364912315,20.760454,1,1229,0.9400334,20.350082,18.50077,20.06,0.20981961,0.03525446,0.038205076,0.214,271.2105693,38.84581,0.7614286,t17_f5_c3,19.7017,0.1959,False,True,False,bulk_1.0.0,0.0,1.255365092315015e+18,0.98418427,725120223.0,ZTF19abcutou
ztf,58985.48586810008,1231485862315015017,2,1231485862315,20.5615,1,1231,0.599007,20.2195,18.475794,20.2627,0.24784,0.04761166,0.04973806,0.3137,271.2107041,38.8458204,0.84,t17_f5_c3,20.1055,0.3464,False,True,False,bulk_1.0.0,0.0,1.255365092315015e+18,,,ZTF19abcutou
ztf,58986.39444439998,1232394442315015089,1,1232394442315,21.1092,1,1232,1.54098,20.5413,,20.2835,0.176259,,,0.1933,271.210306,38.845881,0.422857,t17_f5_c3,20.2728,0.242,False,False,True,bulk_1.0.0,0.0,1.242305592315015e+18,,,ZTF19abcutou
ztf,58987.35390050011,1233353902315015071,2,1233353902315,20.9878,1,1233,1.6774,20.1499,,19.9643,0.19286,,,0.1607,271.2102808,38.8458953,0.255714,t17_f5_c3,19.9365,0.1977,False,False,True,bulk_1.0.0,0.0,1.242305592315015e+18,,,ZTF19abcutou
ztf,58991.416840299964,1237416842315015068,1,1237416842315,20.9045,1,1237,1.61589,20.4496,,20.5452,0.203704,,,0.2708,271.2102818,38.8459401,0.474286,t17_f5_c3,20.2742,0.268,False,False,True,bulk_1.0.0,0.0,1.242305592315015e+18,,,ZTF19abcutou
ztf,58992.42280089995,1238422802315015045,2,1238422802315,20.9107,1,1238,1.86375,20.1111,,19.9675,0.179271,,,0.1678,271.2102168,38.8458416,0.367143,t17_f5_c3,19.8914,0.1977,False,False,True,bulk_1.0.0,0.0,1.242305592315015e+18,,,ZTF19abcutou
