tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,oid
ztf,59291.50084490003,1537500840715015044,1,1537500840715,20.3904,1,1537,0.446367,20.5873,19.448648,20.1121,0.360617,0.1208056,0.12635304,0.2913,263.8977066,-20.7203553,0.457143,t17_f5_c3,20.428,0.5021,False,True,False,correction_0.0.1,0.0,,,,ZTF19abcxnnv
ztf,59301.41892360011,1547418920715015144,2,1547418920715,18.202885,1,1547,0.22982101,17.421368,16.282671,17.4444,0.12568046,0.042073682,0.044034127,0.1305,263.8977401,-20.720276,0.54285717,t17_f5_c3,17.5895,0.1913,True,True,False,correction_0.0.1,0.0,0.99937767,331120207.0,,ZTF19abcxnnv
ztf,59310.48462959984,1556484620715015077,2,1556484620715,20.132185,1,1556,0.10632363,17.984537,16.448694,18.0505,0.06276577,0.0018670802,0.0152540635,0.0587,263.8977893,-20.7203088,0.69857144,t17_f5_c3,18.0955,0.0769,True,True,False,correction_0.0.1,0.0,1.0,331120207.0,,ZTF19abcxnnv
ztf,59314.459294000175,1560459290715015062,2,1560459290715,20.34739,1,1560,0.08694393,18.368282,16.530243,18.4568,0.10447311,0.010154676,0.019221578,0.0759,263.8978335,-20.7202808,0.58285713,t17_f5_c3,18.6032,0.1088,True,True,False,correction_0.0.1,0.0,1.0,331120207.0,,ZTF19abcxnnv
ztf,59314.459294000175,1560459290715025062,2,1560459290715,20.3474,1,1560,0.086944,18.3683,16.530247,18.4568,0.104473,0.010154095,0.01922131,0.0759,263.8978335,-20.7202808,0.582857,t17_f5_c3,18.6032,0.1088,False,True,False,correction_0.0.1,0.0,,,,ZTF19abcxnnv
ztf,59316.47996529983,1562479960715015078,2,1562479960715,20.476526,1,1562,0.10664635,18.338968,16.52479,18.6586,0.081958845,100.0,0.015414332,0.0837,263.8978026,-20.720313,0.6028572,t17_f5_c3,18.7126,0.1101,True,True,False,correction_0.0.1,0.0,1.0,331120207.0,,ZTF19abcxnnv
ztf,59339.460243099835,1585460240715015120,2,1585460240715,20.123,1,1585,0.211866,18.7602,16.592524,18.9592,0.126038,100.0,0.01711712,0.1335,263.8977909,-20.7202251,0.572857,t17_f5_c3,18.9553,0.1686,False,True,False,correction_0.0.1,0.0,,,,ZTF19abcxnnv
ztf,59349.37672450021,1595376720715015057,1,1595376720715,20.6597,1,1595,0.197043,20.5165,19.423313,20.9621,0.291462,0.10015707,0.10648952,0.514,263.8978531,-20.7203151,0.534286,t17_f5_c3,20.5545,0.4567,False,True,False,correction_0.0.1,0.0,,,,ZTF19abcxnnv
ztf,59366.31390050007,1612313900715015046,1,1612313900715,20.227,1,1612,0.097837,20.0952,19.249872,20.3058,0.230485,0.101214066,0.10580641,0.3903,263.8977911,-20.7202559,0.614286,t17_f5_c3,20.3001,0.5,False,True,False,correction_0.0.1,0.0,,,,ZTF19abcxnnv
ztf,59366.37964119995,1612379640715015045,2,1612379640715,20.243942,1,1612,0.17357929,17.832323,16.40969,18.1914,0.07938706,0.015660355,0.021413963,0.0645,263.8978568,-20.720285,0.61285716,t17_f5_c3,18.4027,0.0977,True,True,False,correction_0.0.1,0.0,1.0,331120207.0,,ZTF19abcxnnv
ztf,59368.39781250013,1614397815715015060,2,1614397815715,19.831892,1,1614,0.14243801,17.591957,16.355131,17.611,0.04811825,0.0036716193,0.015402087,0.0528,263.8977891,-20.7202361,0.71428573,t17_f5_c3,17.5819,0.0651,True,True,False,correction_0.0.1,0.0,0.962306,281120257.0,,ZTF19abcxnnv
ztf,59368.39827550016,1614398270715015043,2,1614398270715,20.494368,1,1614,0.3416838,17.887375,16.424269,18.0798,0.060091656,0.004974427,0.015616064,0.0504,263.8977586,-20.7203672,0.5985714,t17_f5_c3,18.2115,0.0704,True,True,False,correction_0.0.1,0.0,1.0,331120207.0,,ZTF19abcxnnv
ztf,59374.365011599846,1620365010715015055,1,1620365010715,20.3826,1,1620,0.09463643,19.844023,19.127323,20.0835,0.19715112,0.09809384,0.10188716,0.2923,263.8977852,-20.7202907,0.62714285,t17_f5_c3,19.8956,0.3165,True,True,False,correction_0.0.1,0.0,0.99992806,331120107.0,,ZTF19abcxnnv
ztf,59376.31356480019,1622313565715015026,2,1622313565715,20.11045,1,1622,0.099006,17.557186,16.34388,17.6302,0.053429827,0.009288907,0.017476777,0.0444,263.897782,-20.7202586,0.7614286,t17_f5_c3,17.6169,0.0553,True,True,False,correction_0.0.1,0.0,1.0,281120257.0,,ZTF19abcxnnv
ztf,59376.3154397998,1622315430715015031,2,1622315430715,20.558647,1,1622,0.1287311,17.63814,16.3538,17.858,0.04794926,0.0048350696,0.014690813,0.0392,263.897791,-20.7202527,0.5928571,t17_f5_c3,17.9668,0.0535,True,True,False,correction_0.0.1,0.0,1.0,331120207.0,,ZTF19abcxnnv
