tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58643.440787000116,889440784715015009,1,889440784715,20.6661,1,889,0.405798,20.333,18.38047,20.1492,0.217785,0.034388922,0.03605922,0.2228,321.1649751,4.7339865,0.945714,t17_f5_c3,19.9963,0.2448,False,True,False,bulk_1.0.0,0.0,9.15441234715015e+17,,,ZTF19abdctkh
ztf,58646.42086810013,892420864715015009,1,892420864715,20.6851,1,892,0.271346,20.5425,18.412485,20.4385,0.277096,0.037324272,0.038960475,0.3043,321.1650604,4.7339761,0.891429,t17_f5_c3,20.1473,0.2954,False,True,False,bulk_1.0.0,0.0,9.15441234715015e+17,,,ZTF19abdctkh
ztf,58658.4601619998,904460164715015006,1,904460164715,20.1084,1,904,0.481983,20.5052,18.407162,20.364,0.318546,0.044767395,0.046127208,0.4625,321.1650282,4.7339226,0.865714,t17_f5_c3,20.1843,0.5015,False,True,False,bulk_1.0.0,0.0,9.15441234715015e+17,,,ZTF19abdctkh
ztf,58661.461331000086,907461334715015011,1,907461334715,20.6111,1,907,0.317111,20.4005,18.391361,20.2369,0.239212,0.035962686,0.037594795,0.2582,321.1650326,4.7339697,0.924286,t17_f5_c3,20.4146,0.3853,False,True,False,bulk_1.0.0,0.0,9.37392414715015e+17,,,ZTF19abdctkh
ztf,58666.46061340021,912460614715015017,1,912460614715,20.798239,1,912,0.50032943,20.16104,18.35005,20.2048,0.1894977,0.034152713,0.035744436,0.2244,321.1651858,4.7339832,0.92,t17_f5_c3,20.0919,0.2553,False,True,False,bulk_1.0.0,0.0,9.37392414715015e+17,0.999943,493120147.0,ZTF19abdctkh
ztf,58669.44123840006,915441234715015022,1,915441234715,20.819214,1,915,0.34546542,20.185383,18.3546,20.272,0.16836876,0.029331282,0.031185215,0.2247,321.1650935,4.7339543,0.96428573,t17_f5_c3,20.2345,0.2736,False,True,False,bulk_1.0.0,0.0,9.37392414715015e+17,0.99986064,493120147.0,ZTF19abdctkh
ztf,58672.423125000205,918423124715015016,1,918423124715,20.907642,1,918,0.5381266,20.317377,18.377869,20.0061,0.17422369,0.027115,0.02919469,0.1691,321.1651587,4.7339279,0.9185714,t17_f5_c3,19.8422,0.1828,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,0.9999918,493120147.0,ZTF19abdctkh
ztf,58678.42395830015,924423954715015020,1,924423954715,20.0713,1,924,0.325999,19.9425,18.30532,20.2181,0.275329,0.060104586,0.060950954,0.4548,321.1651066,4.7339722,0.834286,t17_f5_c3,20.4218,0.702,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,,,ZTF19abdctkh
ztf,58688.39730319986,934397304715015023,2,934397304715,20.485,1,934,0.773789,20.2288,18.162666,20.1683,0.225645,0.027372677,0.03364899,0.3377,321.1650662,4.7338193,0.77,t17_f5_c3,19.9194,0.3423,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,,,ZTF19abdctkh
ztf,58688.458194400184,934458194715015013,1,934458194715,20.213,1,934,0.319157,20.2839,18.372187,19.7889,0.254691,0.042441327,0.04378531,0.286,321.1651287,4.7339857,0.668571,t17_f5_c3,19.6746,0.329,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,,,ZTF19abdctkh
ztf,58691.392419000156,937392414715015021,2,937392414715,20.435001,1,937,0.34336722,20.117023,18.145248,20.2506,0.20308991,0.026840905,0.03303533,0.3224,321.1649885,4.7340608,0.95714283,t17_f5_c3,20.0104,0.3291,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,0.9999323,493120247.0,ZTF19abdctkh
ztf,58691.44273150014,937442734715015009,1,937442734715,20.4198,1,937,0.424153,20.0477,18.327747,19.6822,0.230194,0.046073966,0.047218524,0.1865,321.1650559,4.7339324,0.8,t17_f5_c3,19.6475,0.2294,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,,,ZTF19abdctkh
ztf,58694.3292824002,940329284715015026,1,940329284715,20.912973,1,940,0.38845527,20.173973,18.352478,20.1157,0.15643097,0.027243871,0.02922301,0.1937,321.1650771,4.7339423,0.93142855,t17_f5_c3,19.7831,0.1799,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,0.99999034,493120147.0,ZTF19abdctkh
ztf,58694.358344899956,940358344715015020,2,940358344715,20.72658,1,940,0.21462531,20.379074,18.183798,20.426,0.1869869,0.014653418,0.024757147,0.3117,321.1650371,4.7339943,0.9771429,t17_f5_c3,20.2351,0.3312,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,0.9999269,493120247.0,ZTF19abdctkh
ztf,58698.402685199864,944402684715015024,2,944402684715,20.4044,1,944,0.229944,20.2454,18.165125,20.0312,0.244506,0.03017511,0.03598982,0.2634,321.1651337,4.7339979,0.957143,t17_f5_c3,20.223,0.3994,False,True,False,bulk_1.0.0,0.0,9.47372034715015e+17,,,ZTF19abdctkh
ztf,58701.37203700002,947372034715015035,1,947372034715,20.81999,1,947,0.5130736,20.152128,18.348364,20.0822,0.18494876,0.03350303,0.035119295,0.2077,321.1651355,4.7339232,0.9357143,t17_f5_c3,19.8451,0.2109,False,True,False,bulk_1.0.0,0.0,9.73263474715015e+17,0.9995793,493120147.0,ZTF19abdctkh
ztf,58701.38451390015,947384514715015012,2,947384514715,20.443916,1,947,0.4931206,20.287653,18.171242,20.5661,0.21264943,0.022968505,0.030276097,0.4282,321.1650224,4.7339107,0.9257143,t17_f5_c3,20.5327,0.5282,False,True,False,bulk_1.0.0,0.0,9.73263474715015e+17,0.99997294,493120247.0,ZTF19abdctkh
ztf,58714.37085650023,960370854715015015,2,960370854715,20.0292,1,960,0.405734,20.115,18.14492,20.6102,0.285881,0.04240945,0.04657505,0.7592,321.1650119,4.7339447,0.615714,t17_f5_c3,20.2957,0.7282,False,True,False,bulk_1.0.0,0.0,9.73263474715015e+17,,,ZTF19abdctkh
ztf,58718.37435190007,964374354715015016,2,964374354715,20.1978,1,964,0.12552,20.1172,18.145279,20.4849,0.230451,0.032154255,0.037480857,0.4576,321.1650511,4.734018,0.968571,t17_f5_c3,20.5078,0.5963,False,True,False,bulk_1.0.0,0.0,9.73263474715015e+17,,,ZTF19abdctkh
ztf,58727.263472199906,973263474715015024,1,973263474715,20.719463,1,973,0.39753535,20.083765,18.335047,19.8191,0.16448314,0.031167137,0.032857493,0.1729,321.1651513,4.7339762,0.9457143,t17_f5_c3,19.8161,0.2181,False,True,False,bulk_1.0.0,0.0,9.96278424715015e+17,0.99999124,493120147.0,ZTF19abdctkh
ztf,58732.30146990018,978301464715015030,1,978301464715,20.631838,1,978,0.408204,20.059076,18.33007,19.8439,0.19934838,0.039207317,0.040551826,0.1853,321.1651509,4.7339705,0.9085714,t17_f5_c3,20.0107,0.273,False,True,False,bulk_1.0.0,0.0,9.96278424715015e+17,0.99996495,493120147.0,ZTF19abdctkh
ztf,58747.25564809982,993255644715015022,2,993255644715,20.51357,1,993,0.41216314,20.22323,18.161833,19.8971,0.2088102,0.02440699,0.031274676,0.2522,321.1651039,4.7339213,0.80142856,t17_f5_c3,20.0107,0.356,False,True,False,bulk_1.0.0,0.0,9.96278424715015e+17,0.99344057,493120247.0,ZTF19abdctkh
