tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59971.56082180003,2217560822615015005,2,2217560822615,19.6698,1,2217,0.915254,17.1217,15.321522,17.0069,0.097264,0.010335292,0.01853023,0.0317,262.0226437,-4.1295575,0.624286,t17_f5_c3,16.9954,0.0385,False,True,False,1.1.6,0.0,2.217563332615015e+18,,,ZTF19abdmtvs
ztf,59971.56333329994,2217563332615015009,2,2217563332615,19.606668,1,2217,1.737071,17.380444,,17.1499,0.08043247,,,0.0346,262.0228744,-4.1296017,0.6185714,t17_f5_c3,17.0956,0.0407,True,False,True,1.1.6,0.0,,0.98052,433120226.0,ZTF19abdmtvs
ztf,60684.578275499865,2930578272615015157,2,2930578272615,17.9732,1,2930,1.31561,17.6548,15.404898,17.9822,0.127175,100.0,0.01601182,0.2252,262.0227496,-4.1295986,0.434286,t17_f5_c3,18.1362,0.3325,False,True,False,26.0.1,0.0,2.941566592615015e+18,,,ZTF19abdmtvs
ztf,60689.569294000044,2935569292615015011,2,2935569292615,18.1835,1,2935,1.03413,17.9452,15.437462,17.8191,0.18842,0.007558108,0.018708196,0.1311,262.0225828,-4.1296886,0.592857,t17_f5_c3,17.7476,0.1566,False,True,False,26.0.1,0.0,2.941566592615015e+18,,,ZTF19abdmtvs
ztf,60690.56423609983,2936564232615015005,2,2936564232615,18.2229,1,2936,2.39252,17.6283,,17.8554,0.150307,,,0.121,262.0230033,-4.1297719,0.432857,t17_f5_c3,17.507,0.112,False,False,True,26.0.1,0.0,2.941566592615015e+18,,,ZTF19abdmtvs
ztf,60691.568784699775,2937568782615015005,2,2937568782615,19.1123,1,2937,0.704105,17.7446,15.415804,17.7665,0.108561,100.0,0.01271028,0.104,262.0225194,-4.1296195,0.857143,t17_f5_c3,17.7151,0.1258,False,True,False,26.0.1,0.0,2.941566592615015e+18,,,ZTF19abdmtvs
ztf,60694.56223380007,2940562236215015006,2,2940562236215,19.2929,1,2940,0.594716,17.9647,15.438481,18.042,0.082967,100.0,0.008098741,0.1087,262.0225957,-4.1294872,0.864286,t17_f5_c3,17.936,0.1241,False,True,False,26.0.1,0.0,2.941566592615015e+18,,,ZTF19abdmtvs
ztf,60694.57256940007,2940572566215015003,2,2940572566215,18.742,1,2940,0.340984,17.7233,15.412408,18.2768,0.134808,100.0,0.016045688,0.1667,262.0224299,-4.1293549,0.617143,t17_f5_c3,18.4238,0.2422,False,True,False,26.0.1,0.0,2.941566592615015e+18,,,ZTF19abdmtvs
ztf,60695.56254629977,2941562542615015011,2,2941562542615,18.7743,1,2941,1.43311,17.2386,,17.689,0.101176,,,0.0704,262.0227964,-4.1295634,0.575714,t17_f5_c3,17.5921,0.0812,False,False,True,26.0.1,0.0,2.941566592615015e+18,,,ZTF19abdmtvs
ztf,60695.5665972,2941566592615015003,2,2941566592615,18.740349,1,2941,1.4747326,17.488337,,17.6992,0.09245706,,,0.0716,262.02282,-4.129411,0.5971429,t17_f5_c3,17.6681,0.0877,True,False,True,26.0.1,0.0,,0.9889147,433120226.0,ZTF19abdmtvs
ztf,61053.580046299845,3299580046215015065,2,3299580046215,17.6266,1,3299,1.20353,17.549,15.390133,18.1125,0.195614,0.017979147,0.026782634,0.2893,262.0226956,-4.1296645,0.361429,t17_f5_c3,18.1697,0.391,False,True,False,27.5.7a32.dev1,0.0,3.301576742615015e+18,,,ZTF19abdmtvs
ztf,61054.57040510001,3300570402615015005,2,3300570402615,19.1804,1,3300,0.654942,17.347,15.360993,17.6071,0.108997,0.0071987347,0.017498938,0.0759,262.0225637,-4.1295534,0.85,t17_f5_c3,17.6342,0.0981,False,True,False,27.5.7a32.dev1,0.0,3.301576742615015e+18,,,ZTF19abdmtvs
ztf,61055.576747700106,3301576742615015115,2,3301576742615,18.209051,1,3301,1.3623616,17.564354,15.393086,17.739,0.14230797,0.01005866,0.01926293,0.1518,262.0227587,-4.1293035,0.47142857,t17_f5_c3,17.7096,0.189,True,True,False,27.5.7a32.dev1,0.0,,0.9550097,433120226.0,ZTF19abdmtvs
