tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58675.45825230004,921458250515015004,1,921458250515,20.018923,1,921,0.38684383,19.776102,18.417181,19.7882,0.19340354,0.054129515,0.055321757,0.2743,55.246284,30.5000257,0.92714286,t17_f5_c3,0.9995798,19.5487,0.281,655120105.0,False,True,False,bulk_1.0.0,0.0,9.47465610515015e+17,ZTF19abfvotm
ztf,58678.44375000009,924443740515015009,1,924443740515,19.5011,1,924,0.313098,19.7584,18.412088,19.6792,0.217433,0.061885938,0.06292172,0.4165,55.2464542,30.4999479,0.904286,t17_f5_c3,,19.5384,0.4697,,False,True,False,bulk_1.0.0,0.0,9.53485270515015e+17,ZTF19abfvotm
ztf,58681.47223380022,927472230515015002,1,927472230515,19.0082,1,927,0.299044,19.5126,18.33506,20.3334,0.238124,0.07979861,0.08049839,1.0972,55.246417,30.4999436,0.791429,t17_f5_c3,,19.6858,0.7763,,False,True,False,bulk_1.0.0,0.0,9.53485270515015e+17,ZTF19abfvotm
ztf,58692.4932754999,938493270515015008,2,938493270515,19.995176,1,938,0.14919461,19.073673,17.851273,19.3194,0.113998115,0.035561632,0.03697752,0.2269,55.2464399,30.499991,0.95857143,t17_f5_c3,0.99999523,19.3514,0.298,655120205.0,False,True,False,bulk_1.0.0,0.0,9.53485270515015e+17,ZTF19abfvotm
ztf,58695.44826389989,941448260515015009,1,941448260515,20.387293,1,941,0.32707894,19.744102,18.40793,19.6187,0.1513501,0.04273381,0.044209346,0.1794,55.2463035,30.5000299,0.9628571,t17_f5_c3,0.9999629,19.4317,0.1919,655120105.0,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58695.483067099936,941483060515015006,2,941483060515,20.2576,1,941,0.16738318,19.014553,17.831741,19.0584,0.096905604,0.031043766,0.032600507,0.1269,55.2464384,30.4999822,0.9685714,t17_f5_c3,0.99999857,19.0863,0.1648,655120205.0,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58698.47663189983,944476630515015009,1,944476630515,20.59653,1,944,0.2611539,19.993433,18.475035,20.1813,0.19306605,0.046133757,0.04768113,0.2715,55.2463269,30.5000161,0.95285714,t17_f5_c3,0.99907136,20.1247,0.3275,655120105.0,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58701.4656134001,947465610515015005,1,947465610515,20.435434,1,947,0.30292538,19.965715,18.468122,20.1038,0.1908454,0.046529084,0.048044622,0.2709,55.2463402,30.4999684,0.9628571,t17_f5_c3,0.9999747,20.0551,0.3298,655120105.0,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58704.44990740018,950449900515015004,1,950449900515,20.3414,1,950,0.245755,20.0218,18.481972,19.9317,0.230987,0.05460128,0.055931505,0.2252,55.2463321,30.500014,0.644286,t17_f5_c3,,19.948,0.2908,,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58704.49519680021,950495190515015007,2,950495190515,19.998932,1,950,0.18789734,19.334478,17.929209,19.5266,0.13351913,0.034938745,0.03659616,0.1953,55.2464626,30.5000081,0.92714286,t17_f5_c3,0.9995437,19.5383,0.2508,655120205.0,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58707.45052079996,953450520515015009,1,953450520515,20.6214,1,953,0.286162,20.2333,18.529531,20.6698,0.276514,0.056160662,0.057571836,0.4058,55.2463251,30.4999956,0.858571,t17_f5_c3,,20.4912,0.4378,,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58707.48527779989,953485270515015015,2,953485270515,20.431763,1,953,0.18175313,19.402458,17.947422,19.5656,0.12678061,0.031290974,0.033192366,0.1781,55.2464096,30.49997,0.96,t17_f5_c3,0.99999857,19.4957,0.2113,655120205.0,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58714.44692130014,960446920515015002,2,960446920515,19.9829,1,960,0.116694,19.7033,18.01849,19.247,0.173869,0.034889746,0.036838185,0.2227,55.2464045,30.4999888,0.784286,t17_f5_c3,,19.0103,0.229,,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58724.47075230023,970470750515015011,1,970470750515,20.724442,1,970,0.16423689,20.391106,18.56055,20.3212,0.2067792,0.03602135,0.03830759,0.2765,55.2463651,30.5000497,0.9728571,t17_f5_c3,0.99953973,20.2621,0.3323,655120105.0,False,True,False,bulk_1.0.0,0.0,9.70486490515015e+17,ZTF19abfvotm
ztf,58724.48649309995,970486490515015014,2,970486490515,20.477283,1,970,0.25278255,19.799831,18.038239,19.8406,0.16600458,0.030479014,0.032770492,0.2318,55.2463265,30.4999906,0.9685714,t17_f5_c3,0.99999094,19.895,0.3088,655120205.0,False,True,False,bulk_1.0.0,0.0,9.81491800515015e+17,ZTF19abfvotm
ztf,58732.441689800005,978441680515015015,1,978441680515,20.6709,1,978,0.170822,20.6317,18.601284,20.3579,0.263124,0.038225006,0.040550295,0.2891,55.2463814,30.4999851,0.801429,t17_f5_c3,,20.1607,0.3063,,False,True,False,bulk_1.0.0,0.0,9.81491800515015e+17,ZTF19abfvotm
ztf,58732.48552080011,978485520515015014,2,978485520515,20.591797,1,978,0.30290326,19.811914,18.040613,19.8438,0.16036493,0.0289628,0.031375375,0.2198,55.2464035,30.4999346,0.94,t17_f5_c3,0.998984,19.7088,0.2456,655120205.0,False,True,False,bulk_1.0.0,0.0,9.81491800515015e+17,ZTF19abfvotm
ztf,58735.449259299785,981449250515015007,1,981449250515,20.7091,1,981,0.177693,20.2792,18.538929,20.2888,0.225376,0.04353655,0.04537323,0.2692,55.2464565,30.4999964,0.972857,t17_f5_c3,,20.1721,0.3069,,False,True,False,bulk_1.0.0,0.0,9.81491800515015e+17,ZTF19abfvotm
ztf,58735.4918056,981491800515015010,2,981491800515,20.49114,1,981,0.09513517,19.596106,17.994879,19.874,0.11808239,0.02441929,0.027020559,0.23,55.246429,30.5000346,0.94714284,t17_f5_c3,0.9999942,19.8173,0.2763,655120205.0,False,True,False,bulk_1.0.0,0.0,1.009371300515015e+18,ZTF19abfvotm
ztf,58738.48671300011,984486710515015008,1,984486710515,20.3258,1,984,0.391679,20.2426,18.531462,20.1236,0.30591,0.06197524,0.06326135,0.3471,55.2462958,30.4999811,0.801429,t17_f5_c3,,20.1584,0.4579,,False,True,False,bulk_1.0.0,0.0,1.009371300515015e+18,ZTF19abfvotm
ztf,58738.50719910022,984507190515015006,2,984507190515,20.391459,1,984,0.46965814,19.76666,18.03161,19.6811,0.14879128,0.027618742,0.03009935,0.2144,55.2464151,30.4998909,0.9714286,t17_f5_c3,0.999653,19.6685,0.2691,655120205.0,False,True,False,bulk_1.0.0,0.0,1.009371300515015e+18,ZTF19abfvotm
ztf,58744.44304399984,990443040515015005,2,990443040515,19.3158,1,990,0.190164,19.4491,17.95944,19.7287,0.25485,0.06365081,0.064628,0.5452,55.2463906,30.4999696,0.874286,t17_f5_c3,,19.6494,0.6507,,False,True,False,bulk_1.0.0,0.0,1.009371300515015e+18,ZTF19abfvotm
ztf,58750.4740046002,996474000515015012,2,996474000515,20.16051,1,996,0.10634113,19.620518,18.000416,19.5104,0.19327796,0.041881308,0.043465216,0.2096,55.2464343,30.5000095,0.91714287,t17_f5_c3,0.99833906,19.2992,0.2196,655120205.0,False,True,False,bulk_1.0.0,0.0,1.009371300515015e+18,ZTF19abfvotm
ztf,58756.41046300018,1002410460515015008,1,1002410460515,20.4553,1,1002,0.29812,20.3483,18.552492,20.413,0.220181,0.04007996,0.0421169,0.3174,55.2464306,30.4999473,0.91,t17_f5_c3,,20.473,0.4259,,False,True,False,bulk_1.0.0,0.0,1.009371300515015e+18,ZTF19abfvotm
ztf,58756.48499999987,1002485000515015008,2,1002485000515,20.306887,1,1002,0.09082504,19.523794,17.977901,19.877,0.14192554,0.03222134,0.03417461,0.262,55.246416,30.4999994,0.97,t17_f5_c3,0.9999968,19.7335,0.2918,655120205.0,False,True,False,bulk_1.0.0,0.0,1.009371300515015e+18,ZTF19abfvotm
ztf,58759.431886599865,1005431880515015013,1,1005431880515,20.786585,1,1005,0.19431086,19.954874,18.465384,19.9491,0.15502451,0.037461814,0.039319158,0.1973,55.2463798,30.4999809,0.85714287,t17_f5_c3,0.9999403,19.9729,0.2552,655120105.0,False,True,False,bulk_1.0.0,0.0,1.009371300515015e+18,ZTF19abfvotm
ztf,58763.371307900175,1009371300515015012,2,1009371300515,20.449177,1,1009,0.19815724,19.401752,17.947237,19.5455,0.14062972,0.03513281,0.036835864,0.1828,55.2463742,30.4999706,0.95285714,t17_f5_c3,0.99968445,19.5519,0.233,655120205.0,False,True,False,bulk_1.0.0,0.0,1.038360030515015e+18,ZTF19abfvotm
ztf,58766.45690969983,1012456900515015005,1,1012456900515,20.56853,1,1012,0.4216541,20.509846,18.58159,20.4209,0.209345,0.03285926,0.03544545,0.2947,55.2465357,30.4999751,0.95714283,t17_f5_c3,0.9977701,20.1677,0.2965,655120105.0,False,True,False,bulk_1.0.0,0.0,1.038360030515015e+18,ZTF19abfvotm
ztf,58766.49534719996,1012495340515015005,2,1012495340515,20.389143,1,1012,0.12958376,19.551193,17.984436,19.4425,0.16670275,0.03767319,0.039376758,0.1678,55.2464429,30.5000062,0.9742857,t17_f5_c3,0.99999344,19.4348,0.211,655120205.0,False,True,False,bulk_1.0.0,0.0,1.038360030515015e+18,ZTF19abfvotm
ztf,58778.329919000156,1024329910515015007,2,1024329910515,20.167536,1,1024,0.35586992,19.844484,18.04691,19.9489,0.17148946,0.030418329,0.032749705,0.3033,55.2462899,30.4999956,0.98,t17_f5_c3,0.99994856,20.051,0.4242,655120205.0,False,True,False,bulk_1.0.0,0.0,1.038360030515015e+18,ZTF19abfvotm
ztf,58781.404108799994,1027404100515015008,1,1027404100515,20.296013,1,1027,0.38399664,20.106539,18.501892,20.4543,0.21562925,0.047611088,0.049186833,0.3512,55.246373,30.4999244,0.9357143,t17_f5_c3,0.95286536,20.379,0.4174,655120105.0,False,True,False,bulk_1.0.0,0.0,1.038360030515015e+18,ZTF19abfvotm
