tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58761.18621530011,1007186215915015022,1,1007186215915,20.353,1,1007,0.436855,17.2886,15.182518,17.3787,0.053726,100.0,0.007722386,0.033,301.586962,57.2713377,0.732857,t17_f5_c3,17.4078,0.0403,False,True,False,bulk_1.0.0,0.0,1.037087385915015e+18,,,ZTF19abgtkat
ztf,58762.18538190005,1008185385915015006,1,1008185385915,20.3256,1,1008,0.394609,17.349,15.190996,17.3809,0.042118,100.0,0.005771196,0.0338,301.586965,57.2713633,0.93,t17_f5_c3,17.3469,0.0391,False,True,False,bulk_1.0.0,0.0,1.037087385915015e+18,,,ZTF19abgtkat
ztf,58762.18538190005,1008185385915015009,1,1008185385915,20.3256,1,1008,0.45911,17.3415,15.189965,18.2305,0.064823,100.0,0.00893543,0.0832,301.5869845,57.2713038,0.421429,t17_f5_c3,17.9245,0.0816,False,True,False,bulk_1.0.0,0.0,1.037087385915015e+18,,,ZTF19abgtkat
ztf,58763.1867244998,1009186725915015020,1,1009186725915,20.3227,1,1009,0.466653,17.327,15.187955,17.3452,0.072266,100.0,0.010076648,0.0339,301.5869246,57.2713699,0.774286,t17_f5_c3,17.3048,0.039,False,True,False,bulk_1.0.0,0.0,1.037087385915015e+18,,,ZTF19abgtkat
ztf,58770.246134299785,1016246135915010008,2,1016246135915,19.5632,-1,1016,0.287399,16.5708,13.564031,16.9304,0.114517,100.0,0.007180618,0.0501,301.5870224,57.2714275,0.335714,t17_f5_c3,16.8763,0.0565,False,True,False,bulk_1.0.0,0.0,1.037087385915015e+18,,,ZTF19abgtkat
ztf,58776.118263899814,1022118265915015021,1,1022118265915,20.5094,1,1022,0.217668,17.1756,15.165534,17.2543,0.034592,100.0,0.00543187,0.027,301.5870541,57.2713998,0.902857,t17_f5_c3,17.289,0.0324,False,True,False,bulk_1.0.0,0.0,1.037087385915015e+18,,,ZTF19abgtkat
ztf,58782.22268520016,1028222685915015021,1,1028222685915,20.2287,1,1028,0.289003,16.7624,15.089316,16.8548,0.068855,0.00624566,0.0147469435,0.0221,301.5870242,57.2713608,0.92,t17_f5_c3,16.9215,0.0281,False,True,False,bulk_1.0.0,0.0,1.037087385915015e+18,,,ZTF19abgtkat
ztf,58785.09818289988,1031098185915015014,2,1031098185915,20.3191,1,1031,0.834006,16.4489,13.428593,16.4145,0.291114,100.0,0.018027684,0.026,301.5875319,57.2712806,0.397143,t17_f5_c3,16.4984,0.033,False,True,False,bulk_1.0.0,0.0,1.037087385915015e+18,,,ZTF19abgtkat
ztf,58791.08738429984,1037087385915015013,2,1037087385915,20.27472,1,1037,0.6394483,15.736274,13.367939,16.2724,0.111677974,100.0,0.01260764,0.0221,301.587334,57.2712295,0.41857144,t17_f5_c3,16.2689,0.0241,True,True,False,bulk_1.0.0,0.0,0.0,0.48821166,800120259.0,ZTF19abgtkat
ztf,58892.55864580022,1138558645915015017,1,1138558645915,19.574818,1,1138,0.74529564,16.857037,15.108902,17.546,0.0653728,100.0,0.01306602,0.0624,301.5872153,57.2711823,0.39571428,t17_f5_c3,17.7571,0.0957,True,True,False,bulk_1.0.0,0.0,0.0,0.99956334,800120159.0,ZTF19abgtkat
