tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58715.24041670002,961240415915015051,1,961240415915,19.853622,1,961,0.36428463,19.25922,18.135506,19.551,0.21470734,0.07394379,0.07627127,0.2586,264.3069498,-22.1657705,0.74142855,t17_f5_c3,0.999998,19.3385,0.2725,281120159,False,True,False,bulk_1.0.0,0.0,9.66171905915015e+17,ZTF19abhgoxk
ztf,58720.17190970015,966171905915015049,1,966171905915,20.282927,1,966,0.24492598,19.207296,18.116776,19.0787,0.17027555,0.059595935,0.062365387,0.1141,264.3069439,-22.1656525,0.73571426,t17_f5_c3,0.9999959,18.8991,0.1229,281120159,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19abhgoxk
ztf,59339.39840279985,1585398405915015056,1,1585398405915,20.50451,1,1585,0.023942564,19.33018,18.160185,19.7491,0.18358944,0.05949642,0.06249567,0.1737,264.3070029,-22.1656785,0.6742857,t17_f5_c3,0.99999976,19.8122,0.2338,281120159,True,True,False,correction_0.0.1,0.0,,ZTF19abhgoxk
ztf,59343.39749999996,1589397495915015046,1,1589397495915,20.53327,1,1589,0.049311604,19.305065,18.151571,19.3545,0.18122011,0.059689723,0.06263376,0.1189,264.3070141,-22.1656704,0.73714286,t17_f5_c3,0.9992725,19.2927,0.1425,281120159,True,True,False,correction_0.0.1,0.0,,ZTF19abhgoxk
ztf,59345.39697920019,1591396975915015062,1,1591396975915,20.346148,1,1591,0.097013354,19.341972,18.164185,19.4902,0.18312238,0.0588378,0.06189085,0.1526,264.3070326,-22.1656628,0.7614286,t17_f5_c3,0.9999999,19.486,0.1937,281120159,True,True,False,correction_0.0.1,0.0,,ZTF19abhgoxk
ztf,59766.29253470013,2012292535915015046,1,2012292535915,20.42101,1,2012,0.19303368,18.753212,17.927736,18.9166,0.12064641,0.054251064,0.05640586,0.0866,264.306967,-22.1657207,0.8157143,t17_f5_c3,0.99998975,19.0303,0.1216,281120159,True,True,False,dev,0.0,,ZTF19abhgoxk
ztf,59769.29332179995,2015293325915015039,1,2015293325915,20.057167,1,2015,0.27980447,18.892056,17.990448,19.0684,0.17810677,0.075888,0.07763138,0.1407,264.3069363,-22.1657231,0.68857145,t17_f5_c3,0.9999975,19.2113,0.2049,281120159,True,True,False,dev,0.0,,ZTF19abhgoxk
ztf,59784.230463000014,2030230465915015070,1,2030230465915,20.38302,1,2030,0.17384845,19.132177,18.088655,19.6709,0.18203025,0.06727733,0.06962007,0.1816,264.3069611,-22.1657025,0.5814286,t17_f5_c3,0.99824375,19.3098,0.1659,281120159,True,True,False,dev,0.0,,ZTF19abhgoxk
ztf,59788.29513890017,2034295135915015041,1,2034295135915,20.28004,1,2034,0.18369116,19.472675,18.206623,19.6563,0.21364608,0.06350518,0.06656928,0.1983,264.3069579,-22.1657026,0.7014286,t17_f5_c3,0.9999172,19.7218,0.2687,281120159,True,True,False,dev,0.0,,ZTF19abhgoxk
ztf,60524.230474499986,2770230475915010055,2,2770230475915,19.949774,-1,2770,0.13564797,17.89345,15.81308,18.1232,0.14054675,100.0,0.020685818,0.0788,264.3069802,-22.1657077,0.54,t17_f5_c3,0.9999608,18.2132,0.1078,281120259,True,True,False,24.5.1,0.0,,ZTF19abhgoxk
ztf,60557.1687384001,2803168735915015044,1,2803168735915,20.11734,1,2803,0.20392914,19.174307,18.104576,19.3263,0.18152915,0.06529055,0.06777253,0.1649,264.306966,-22.1657242,0.7442857,t17_f5_c3,0.9995104,19.3136,0.2081,281120159,True,True,False,24.5.1,0.0,,ZTF19abhgoxk
ztf,60787.44818289997,3033448185915010052,1,3033448185915,20.352589,-1,3033,0.21986344,19.233706,19.513409,19.3131,0.14490029,0.17527944,0.18747793,0.1286,264.3069742,-22.1656329,0.7885714,t17_f5_c3,0.9999938,19.5013,0.1955,281120159,True,True,False,26.0.1,0.0,,ZTF19abhgoxk
