tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59036.2801967999,1282280191015015003,2,1282280191015,19.13,1,1282,0.455164,19.2788,16.888681,19.4637,0.242922,100.0,0.026879426,0.4981,183.0838721,44.055885,0.851429,t17_f5_c3,19.6377,0.7462,False,True,False,bulk_1.0.0,0.0,1.291240411015015e+18,,,ZTF19abhjvps
ztf,59045.24041670002,1291240411015015007,1,1291240411015,20.052631,1,1291,0.7118179,19.512968,17.496689,19.7955,0.15271181,100.0,0.023842981,0.2894,183.0839479,44.0558222,0.95428574,t17_f5_c3,19.7957,0.3651,True,True,False,bulk_1.0.0,0.0,0.0,0.9945866,755120110.0,ZTF19abhjvps
ztf,59176.5076156999,1422507615615015003,1,1422507615615,20.5553,1,1422,0.48954,19.8802,17.525227,20.1945,0.157124,100.0,0.017957825,0.2722,183.0837514,44.0557287,0.95,t17_f5_c3,20.1173,0.3129,False,True,False,bulk_1.0.0,0.0,1.449531345615015e+18,,,ZTF19abhjvps
ztf,59181.5323379999,1427532331015015008,1,1427532331015,20.2126,1,1427,0.421417,19.9652,17.556028,20.0585,0.250081,100.0,0.027190171,0.3085,183.0838344,44.0558294,0.921429,t17_f5_c3,19.7514,0.2925,False,True,False,bulk_1.0.0,0.0,1.449533221015015e+18,,,ZTF19abhjvps
ztf,59182.55802079989,1428558025615015003,1,1428558025615,19.8868,1,1428,0.283898,19.8477,17.521463,19.8291,0.226257,100.0,0.02655262,0.3389,183.0837673,44.055795,0.954286,t17_f5_c3,19.6749,0.3733,False,True,False,bulk_1.0.0,0.0,1.449531345615015e+18,,,ZTF19abhjvps
ztf,59189.475613399874,1435475615615015001,2,1435475615615,19.9694,1,1435,0.313523,19.4492,16.825518,19.1174,0.122399,100.0,0.010922074,0.2054,183.0836165,44.0558043,0.911429,t17_f5_c3,18.9261,0.2167,False,True,False,bulk_1.0.0,0.0,1.449531345615015e+18,,,ZTF19abhjvps
ztf,59189.51217589993,1435512175615015003,1,1435512175615,19.9324,1,1435,0.153226,19.4801,17.471298,19.863,0.142262,100.0,0.022364955,0.3784,183.0837293,44.0558224,0.85,t17_f5_c3,19.5772,0.3695,False,True,False,bulk_1.0.0,0.0,1.449531345615015e+18,,,ZTF19abhjvps
ztf,59193.47233799985,1439472331015015007,1,1439472331015,20.315,1,1439,0.498523,19.7641,17.53227,20.0358,0.186687,100.0,0.023899138,0.272,183.0838537,44.0557955,0.965714,t17_f5_c3,20.0216,0.335,False,True,False,bulk_1.0.0,0.0,1.449533221015015e+18,,,ZTF19abhjvps
ztf,59194.49662039988,1440496625615015000,2,1440496625615,20.517305,1,1440,0.21372737,19.446312,16.82526,19.6478,0.1817337,100.0,0.016256034,0.1961,183.0837995,44.055853,0.9057143,t17_f5_c3,19.8437,0.2838,False,True,False,bulk_1.0.0,0.0,1.449531345615015e+18,0.9993799,715120256.0,ZTF19abhjvps
ztf,59194.53589119995,1440535895615015005,1,1440535895615,20.564768,1,1440,0.46267,19.646427,17.495817,20.0516,0.17343546,100.0,0.023927309,0.2186,183.0838791,44.0558182,0.9442857,t17_f5_c3,20.2278,0.3151,False,True,False,bulk_1.0.0,0.0,1.449531345615015e+18,0.99991775,715120156.0,ZTF19abhjvps
ztf,59198.53155090008,1444531555615015007,1,1444531555615,20.6279,1,1444,0.25596,19.5676,17.484596,19.4573,0.153737,100.0,0.022572339,0.1307,183.0837624,44.0558021,0.951429,t17_f5_c3,19.3586,0.1466,False,True,False,bulk_1.0.0,0.0,1.449531345615015e+18,,,ZTF19abhjvps
ztf,59198.5320255002,1444532021015015007,1,1444532021015,20.487,1,1444,0.823345,19.8059,17.537533,20.0032,0.231015,100.0,0.028595172,0.2213,183.0839733,44.0557681,0.844286,t17_f5_c3,19.9212,0.2537,False,True,False,bulk_1.0.0,0.0,1.471477981015015e+18,,,ZTF19abhjvps
ztf,59200.47001159983,1446470015615015005,1,1446470015615,19.5821,1,1446,0.413265,19.4687,17.469498,19.3941,0.259765,0.014122691,0.041200247,0.2919,183.0836076,44.0557725,0.907143,t17_f5_c3,19.2167,0.3138,False,True,False,bulk_1.0.0,0.0,1.449531345615015e+18,,,ZTF19abhjvps
ztf,59200.47429399984,1446474291015015010,1,1446474291015,19.4982,1,1446,0.673034,19.614,17.511856,19.927,0.267902,100.0,0.038647212,0.4815,183.0838475,44.055709,0.901429,t17_f5_c3,20.0726,0.6986,False,True,False,bulk_1.0.0,0.0,1.471477981015015e+18,,,ZTF19abhjvps
