tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.56137729995,2597561374115015011,2,2597561374115,19.363789,1,2597,0.4158549,14.595619,14.285162,14.6853,0.0404412,0.02963247,0.030383727,0.0052,300.7437902,23.8930051,0.6585714,t17_f5_c3,0.9999899,14.6658,0.006,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60351.56185190007,2597561854115015009,2,2597561854115,19.38452,1,2597,0.57600623,14.675025,14.344271,14.7138,0.025030969,0.017041419,0.018457629,0.0053,300.7438418,23.8929851,0.7171429,t17_f5_c3,0.99999607,14.6969,0.0062,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60351.562326400075,2597562324115015022,2,2597562324115,19.34478,1,2597,0.2968572,14.630849,14.3115225,14.7,0.036826804,0.026566783,0.027443122,0.0054,300.7437872,23.8930464,0.68857145,t17_f5_c3,0.9999677,14.6851,0.0063,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60352.559652800206,2598559654115015021,2,2598559654115,19.032803,1,2598,0.4317224,14.639623,14.318054,14.7186,0.021659337,0.014544249,0.016107112,0.0054,300.7437873,23.8929981,0.47285715,t17_f5_c3,0.9993758,14.6832,0.0062,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60352.56011570012,2598560114115015009,2,2598560114115,18.92537,1,2598,0.4222181,14.604811,14.29206,14.7384,0.023542568,0.016305551,0.01765036,0.0055,300.7438078,23.8930153,0.43857142,t17_f5_c3,0.919086,14.6906,0.0063,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60352.56059029978,2598560594115015014,2,2598560594115,18.8682,1,2598,0.554708,14.6234,14.305966,14.7506,0.02461,0.017048554,0.018371237,0.0056,300.7437998,23.8929648,0.415714,t17_f5_c3,,14.6962,0.0064,,False,True,False,23.12.x,0.0,2.599557674115015e+18,ZTF19abhqapk
ztf,60353.55767360004,2599557674115015010,2,2599557674115,19.787512,1,2599,0.26777592,14.602688,14.290468,14.7031,0.05203576,0.03844371,0.03903139,0.0048,300.7437651,23.8930398,0.75857145,t17_f5_c3,0.9999995,14.692,0.0056,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60353.559780099895,2599559784115015011,2,2599559784115,19.576609,1,2599,0.33825082,14.613142,14.2983,14.7005,0.036418684,0.026390193,0.027251318,0.0052,300.7437668,23.8930186,0.73,t17_f5_c3,0.9999996,14.688,0.0061,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60353.56024309993,2599560244115015011,2,2599560244115,19.710934,1,2599,0.25737366,14.633522,14.313514,14.7017,0.033215344,0.023756722,0.024736345,0.0051,300.7437659,23.893045,0.77428573,t17_f5_c3,0.9999999,14.6908,0.006,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60368.53987269988,2614539874115015013,2,2614539874115,19.570862,1,2614,0.24765065,14.591987,14.282432,14.6547,0.036737956,0.026800115,0.027624402,0.0052,300.7437594,23.8930433,0.78,t17_f5_c3,0.9999999,14.6431,0.0061,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60368.5403355998,2614540334115015008,2,2614540334115,19.669764,1,2614,0.16236244,14.599313,14.287935,14.6563,0.041628014,0.030515168,0.031248905,0.0051,300.7437348,23.8930615,0.79285717,t17_f5_c3,0.9999999,14.6458,0.006,1637120241.0,True,True,False,23.12.x,0.0,,ZTF19abhqapk
ztf,60496.19280089997,2742192804115015010,2,2742192804115,20.0315,1,2742,0.187953,13.9305,13.751356,13.9778,0.034185,0.028692886,0.028985303,0.0027,300.7437523,23.893059,0.757143,t17_f5_c3,,13.9701,0.0029,,False,True,False,24.5.1,0.0,2.742463174115015e+18,ZTF19abhqapk
ztf,60496.19327550009,2742193274115015010,2,2742193274115,20.104734,1,2742,0.14025477,13.916997,13.739896,13.9696,0.035941556,0.030260438,0.030532079,0.0026,300.7437191,23.8930633,0.7714286,t17_f5_c3,0.9998839,13.9635,0.0029,1637120241.0,True,True,False,24.5.1,0.0,,ZTF19abhqapk
