tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58674.42524310015,920425241215015029,1,920425241215,20.8152,1,920,0.248663,20.7752,18.804953,20.8759,0.262132,0.038112152,0.042699322,0.4438,324.0582531,-5.2135304,0.878571,t17_f5_c3,20.728,0.4932,False,True,False,bulk_1.0.0,0.0,9.46372971215015e+17,,,ZTF19abkejpo
ztf,58691.44181710016,937441811215015019,1,937441811215,20.416,1,937,0.338116,20.3212,18.716812,20.1861,0.223944,0.047912776,0.051095758,0.3132,324.0583634,-5.2135364,0.962857,t17_f5_c3,20.1167,0.3746,False,True,False,bulk_1.0.0,0.0,9.46372971215015e+17,,,ZTF19abkejpo
ztf,58694.424618099816,940424611215015031,1,940424611215,20.994793,1,940,0.14018999,20.16515,18.679182,20.2825,0.13890581,0.030907331,0.03534544,0.2287,324.0583313,-5.2134815,0.95,t17_f5_c3,20.2854,0.2902,False,True,False,bulk_1.0.0,0.0,9.46372971215015e+17,0.9999549,442120112.0,ZTF19abkejpo
ztf,58697.39851849992,943398511215015030,2,943398511215,20.5756,1,943,0.256485,20.3479,18.780603,20.4099,0.226913,0.05111403,0.05357231,0.3625,324.0583344,-5.2135421,0.957143,t17_f5_c3,20.4924,0.4991,False,True,False,bulk_1.0.0,0.0,9.46372971215015e+17,,,ZTF19abkejpo
ztf,58700.37297450006,946372971215015029,1,946372971215,20.773573,1,946,0.17787707,20.210865,18.690634,20.0431,0.15816996,0.034935106,0.038997013,0.2161,324.0583414,-5.2134839,0.94857144,t17_f5_c3,20.0452,0.2746,False,True,False,bulk_1.0.0,0.0,9.73263921215015e+17,0.99999726,442120112.0,ZTF19abkejpo
ztf,58703.370034699794,949370031215015021,1,949370031215,20.8407,1,949,0.46542016,20.186237,18.68451,20.5422,0.15408313,0.03458753,0.03864238,0.337,324.0582848,-5.2136043,0.8914286,t17_f5_c3,20.3605,0.3626,False,True,False,bulk_1.0.0,0.0,9.78301011215015e+17,0.9999995,442120112.0,ZTF19abkejpo
ztf,58703.40055559995,949400551215015019,2,949400551215,20.5611,1,949,0.10052,20.4492,18.80368,20.4004,0.223117,0.046194173,0.049014546,0.3832,324.0582943,-5.2135084,0.918571,t17_f5_c3,20.0779,0.3639,False,True,False,bulk_1.0.0,0.0,9.78301011215015e+17,,,ZTF19abkejpo
ztf,58707.398564800154,953398561215015010,1,953398561215,19.7511,1,953,0.413821,20.1289,18.669844,20.3281,0.236378,0.059267126,0.061657228,0.6608,324.058407,-5.2135017,0.921429,t17_f5_c3,19.872,0.5577,False,True,False,bulk_1.0.0,0.0,9.78301011215015e+17,,,ZTF19abkejpo
ztf,58718.3271643999,964327161215015027,2,964327161215,20.0028,1,964,0.514989,20.1725,18.736565,19.9419,0.249321,0.06462247,0.066433124,0.2981,324.0581963,-5.2135862,0.745714,t17_f5_c3,19.7405,0.3167,False,True,False,bulk_1.0.0,0.0,9.78301011215015e+17,,,ZTF19abkejpo
ztf,58724.37317130016,970373171215015025,2,970373171215,20.3316,1,970,0.539946,20.0633,18.706377,20.0888,0.221794,0.06176862,0.06355961,0.3425,324.0584017,-5.2135926,0.867143,t17_f5_c3,20.0799,0.4343,False,True,False,bulk_1.0.0,0.0,9.78301011215015e+17,,,ZTF19abkejpo
ztf,58727.26392359985,973263921215015039,1,973263921215,20.694687,1,973,0.07965849,20.004543,18.636007,19.9764,0.17462675,0.04668749,0.0495104,0.2167,324.058293,-5.2134488,0.92142856,t17_f5_c3,19.9937,0.2797,False,True,False,bulk_1.0.0,0.0,9.78301011215015e+17,0.99999845,442120112.0,ZTF19abkejpo
ztf,58732.30101849977,978301011215015044,1,978301011215,20.46429,1,978,0.041615274,20.106504,18.663956,19.8983,0.14290084,0.033858318,0.037845615,0.2079,324.0582947,-5.2134816,0.94142854,t17_f5_c3,19.8176,0.2455,False,True,False,bulk_1.0.0,0.0,1.000252251215015e+18,0.9999465,442120112.0,ZTF19abkejpo
ztf,58747.29711809987,993297111215015016,1,993297111215,20.1446,1,993,0.144377,20.1688,18.680109,20.1647,0.229926,0.055779,0.05835955,0.4018,324.0583266,-5.2134961,0.814286,t17_f5_c3,20.3919,0.6337,False,True,False,bulk_1.0.0,0.0,1.000252251215015e+18,,,ZTF19abkejpo
ztf,58750.25668979995,996256681215015031,2,996256681215,19.9493,1,996,0.6922,20.1837,18.739538,20.0553,0.250095,0.06430718,0.06613632,0.371,324.0583127,-5.2136752,0.844286,t17_f5_c3,20.0481,0.4719,False,True,False,bulk_1.0.0,0.0,1.000252251215015e+18,,,ZTF19abkejpo
ztf,58754.20478009991,1000204781215015027,2,1000204781215,20.0634,1,1000,1.22128,20.3723,18.786314,20.1318,0.355444,0.08089358,0.0824854,0.2868,324.0584519,-5.2131745,0.501429,t17_f5_c3,20.0735,0.3468,False,True,False,bulk_1.0.0,0.0,1.000252251215015e+18,,,ZTF19abkejpo
ztf,58754.25225690007,1000252251215015018,1,1000252251215,20.711946,1,1000,0.14860322,20.299541,18.711834,20.1182,0.17728618,0.037080992,0.04107633,0.2121,324.0583189,-5.2134391,0.9342857,t17_f5_c3,20.0097,0.2434,False,True,False,bulk_1.0.0,0.0,1.007253341215015e+18,0.99999535,442120112.0,ZTF19abkejpo
ztf,58757.2751042,1003275101215015023,2,1003275101215,20.2212,1,1003,0.412982,20.2243,18.750128,19.7233,0.258553,0.06465408,0.066509016,0.2507,324.0582229,-5.213572,0.781429,t17_f5_c3,19.5761,0.2799,False,True,False,bulk_1.0.0,0.0,1.007253341215015e+18,,,ZTF19abkejpo
ztf,58761.253344899975,1007253341215015017,1,1007253341215,20.390083,1,1007,0.02967113,20.190607,18.685604,20.2328,0.17852594,0.041170027,0.044637505,0.3568,324.0582864,-5.2134682,0.9785714,t17_f5_c3,20.3573,0.5115,True,True,False,bulk_1.0.0,0.0,0.0,0.99996984,442120112.0,ZTF19abkejpo
ztf,59459.25379629992,1705253791215015015,2,1705253791215,20.3539,1,1705,0.661767,20.3681,18.785337,20.6759,0.217349,0.04795424,0.05058865,0.4843,324.0584818,-5.2135057,0.928571,t17_f5_c3,20.4879,0.5209,False,True,False,correction_1.0.6,0.0,1.709235781215015e+18,,,ZTF19abkejpo
ztf,59461.25281250011,1707252811215015019,1,1707252811215,20.6169,1,1707,0.233148,20.5749,18.7697,20.4712,0.234173,0.04030685,0.04440756,0.3405,324.0582938,-5.2135379,0.91,t17_f5_c3,20.4859,0.44,False,True,False,correction_1.0.6,0.0,1.709235781215015e+18,,,ZTF19abkejpo
