tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58694.48380789999,940483801515015001,2,940483801515,20.472965,1,940,0.18853627,18.773495,17.481962,18.8127,0.08156822,0.021828456,0.024826057,0.0979,34.4731849,-19.9721078,0.95428574,t17_f5_c3,0.9999914,18.8802,0.1306,299120215.0,False,True,False,bulk_1.0.0,0.0,9.47502741515015e+17,ZTF19abkfpqk
ztf,58698.46057870006,944460571515015000,1,944460571515,20.239058,1,944,0.12538235,18.56797,17.380896,18.6303,0.107993536,0.034786776,0.03618828,0.0815,34.4731122,-19.9720501,0.95857143,t17_f5_c3,0.9999999,18.6639,0.1051,299120115.0,False,True,False,bulk_1.0.0,0.0,9.73515611515015e+17,ZTF19abkfpqk
ztf,58698.48262730008,944482621515015001,2,944482621515,20.065374,1,944,0.22700508,18.793447,17.487995,18.6729,0.089735486,0.024199996,0.026963951,0.1034,34.4731254,-19.9720058,0.96,t17_f5_c3,0.9999993,18.5327,0.1149,299120215.0,False,True,False,bulk_1.0.0,0.0,9.73515611515015e+17,ZTF19abkfpqk
ztf,58701.502743099816,947502741515015000,2,947502741515,18.852318,1,947,0.28405026,18.594158,17.424177,18.3465,0.16679624,0.055661634,0.05677982,0.2461,34.473143,-19.9721441,0.87142855,t17_f5_c3,0.99988985,18.2892,0.2988,299120215.0,False,True,False,bulk_1.0.0,0.0,9.73515611515015e+17,ZTF19abkfpqk
ztf,58705.479328699876,951479321515015001,2,951479321515,20.400497,1,951,0.048214383,18.741796,17.472216,18.7179,0.09832548,0.02819888,0.03053752,0.0923,34.473143,-19.9720751,0.9557143,t17_f5_c3,0.99999976,18.6685,0.1109,299120215.0,False,True,False,bulk_1.0.0,0.0,9.73515611515015e+17,ZTF19abkfpqk
ztf,58709.39694439992,955396941515015000,2,955396941515,19.357681,1,955,0.17609164,18.80037,17.49007,18.8726,0.15394409,0.04448352,0.046051495,0.284,34.4732045,-19.9720705,0.92285717,t17_f5_c3,0.9999987,18.6905,0.3078,299120215.0,False,True,False,bulk_1.0.0,0.0,9.84439861515015e+17,ZTF19abkfpqk
ztf,58709.455567100085,955455561515015000,1,955455561515,19.184053,1,955,0.11270702,18.580462,17.385065,18.5463,0.14406547,0.046849422,0.047907274,0.1807,34.4731633,-19.972012,0.93714285,t17_f5_c3,0.99993074,18.5328,0.2284,299120115.0,False,True,False,bulk_1.0.0,0.0,9.84439861515015e+17,ZTF19abkfpqk
ztf,58712.437893500086,958437891515015000,2,958437891515,19.144875,1,958,0.24525993,18.568443,17.415356,18.6759,0.14893325,0.05027849,0.05149398,0.2259,34.4731432,-19.9719961,0.97,t17_f5_c3,0.99995726,18.6833,0.2913,299120215.0,False,True,False,bulk_1.0.0,0.0,9.84439861515015e+17,ZTF19abkfpqk
ztf,58715.43912040023,961439121515015000,2,961439121515,19.311136,1,961,0.27265593,18.562094,17.413157,18.6395,0.10840785,0.035951298,0.037625782,0.2114,34.4732244,-19.9721002,0.9557143,t17_f5_c3,0.9999343,18.5106,0.2406,299120215.0,False,True,False,bulk_1.0.0,0.0,9.84439861515015e+17,ZTF19abkfpqk
ztf,58718.45226849988,964452261515015000,1,964452261515,19.766527,1,964,0.3131832,18.477518,17.34974,18.6119,0.09717168,0.032995835,0.034389656,0.1246,34.473222,-19.9720949,0.9657143,t17_f5_c3,0.9999994,18.5427,0.1487,299120115.0,False,True,False,bulk_1.0.0,0.0,9.84439861515015e+17,ZTF19abkfpqk
