tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.558032399975,2597558034215010090,2,2597558034215,19.76296,-1,2597,0.5595366,18.894173,16.62794,19.1614,0.16102216,100.0,0.01997064,0.2151,288.881633,15.7247243,0.76714283,t17_f5_c3,0.99918604,19.068,0.2511,1586120242.0,True,True,False,23.12.x,0.0,,ZTF19abkqios
ztf,60706.560057899915,2952560054215015039,2,2952560054215,19.57391,1,2952,0.42089233,18.656485,16.36127,18.639,0.12099775,100.0,0.014611401,0.1509,288.8817307,15.724487,0.80857146,t17_f5_c3,0.99999964,18.8179,0.2261,1586120242.0,True,True,False,26.0.1,0.0,,ZTF19abkqios
ztf,61065.573958300054,3311573954215015033,2,3311573954215,18.3601,1,3311,0.527492,17.5603,16.153708,17.6216,0.133378,0.029300267,0.036512926,0.1209,288.8818676,15.7245216,0.62,t17_f5_c3,,17.6363,0.1569,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61065.57894679997,3311578944215015040,2,3311578944215,17.884,1,3311,0.617322,17.9168,16.240257,17.8493,0.161244,0.025066007,0.034424398,0.2514,288.8817912,15.7244385,0.644286,t17_f5_c3,,17.8732,0.3301,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61072.56576390006,3318565764215015020,2,3318565764215,18.9872,1,3318,0.758751,17.6284,16.171928,17.7826,0.069679,100.0,0.018218527,0.1235,288.8819315,15.7244972,0.838571,t17_f5_c3,,17.6758,0.1432,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61072.56912040012,3318569124215015017,2,3318569124215,18.8561,1,3318,0.493013,17.6348,16.1736,17.6696,0.075969,100.0,0.019776795,0.121,288.881847,15.7245121,0.844286,t17_f5_c3,,17.7125,0.1612,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61072.573437499814,3318573434215015015,2,3318573434215,18.6486,1,3318,0.377012,17.7472,16.201757,17.6972,0.075204,100.0,0.018116072,0.1508,288.8818076,15.7245222,0.792857,t17_f5_c3,,18.1101,0.2827,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61073.56590279983,3319565904215015056,2,3319565904215,18.062424,1,3319,0.35042715,17.873835,16.23094,17.6542,0.14622489,0.022127237,0.03220056,0.2806,288.8817732,15.7245112,0.5928571,t17_f5_c3,0.99999964,17.6758,0.3675,1586120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF19abkqios
ztf,61073.569294000044,3319569294215015012,2,3319569294215,19.0641,1,3319,0.33338,17.7212,16.195438,17.57,0.110038,0.014695534,0.026992142,0.1027,288.8818018,15.7245326,0.827143,t17_f5_c3,,17.6635,0.1432,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61073.57475689985,3319574754215015008,2,3319574754215,18.883833,1,3319,0.40936616,17.943771,16.245958,17.8978,0.11913322,0.0077086315,0.024940655,0.1646,288.881752,15.7244905,0.70285714,t17_f5_c3,0.99999994,18.0317,0.2384,1586120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF19abkqios
ztf,61074.56488429988,3320564884215015036,2,3320564884215,18.7463,1,3320,0.906053,17.3509,16.092255,17.2532,0.082366,0.0156144975,0.025839806,0.0724,288.8818916,15.7243953,0.652857,t17_f5_c3,,17.2046,0.0884,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61074.567870399915,3320567874215015030,2,3320567874215,18.722,1,3320,0.704538,17.4495,16.122232,17.4979,0.069863,100.0,0.020575048,0.0966,288.8818717,15.7244527,0.78,t17_f5_c3,,17.6515,0.1423,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61074.57532409998,3320575324215015013,2,3320575324215,18.238073,1,3320,0.3900442,17.690125,16.187733,17.4874,0.10455771,0.013466881,0.026205895,0.1412,288.8816769,15.7245145,0.64285713,t17_f5_c3,0.9999975,17.8466,0.2521,1586120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF19abkqios
ztf,61075.563518499956,3321563514215015025,2,3321563514215,18.9832,1,3321,0.605318,17.5757,16.157902,17.4507,0.068034,100.0,0.01843343,0.072,288.8818597,15.7244795,0.728571,t17_f5_c3,,17.4932,0.0955,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61075.56797449989,3321567974215015027,2,3321567974215,19.0095,1,3321,0.773877,17.5196,16.142412,17.4838,0.078921,0.005276873,0.022198189,0.0817,288.8818793,15.7244335,0.804286,t17_f5_c3,,17.4584,0.1019,,False,True,False,27.5.7a32.dev1,0.0,3.321572914215015e+18,ZTF19abkqios
ztf,61075.57291670004,3321572914215015012,2,3321572914215,18.671621,1,3321,0.44829658,17.544718,16.149418,17.6699,0.0702407,100.0,0.019429838,0.1286,288.8817497,15.7244794,0.8257143,t17_f5_c3,1.0,17.733,0.1746,1586120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF19abkqios
