tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59621.54568290012,1867545686315015003,2,1867545686315,19.6611,1,1867,0.658522,17.5474,15.601209,17.7178,0.104728,0.011241835,0.017441612,0.0541,275.2723794,0.1805274,0.782857,t17_f5_c3,17.7138,0.0665,False,True,False,correction_1.0.6,0.0,1.868553486315015e+18,,,ZTF19abltrhn
ztf,59621.54828700004,1867548286315015003,2,1867548286315,19.6698,1,1867,0.366806,17.4578,15.585764,17.7575,0.125145,0.018031133,0.022315122,0.0553,275.2721277,0.1805817,0.821429,t17_f5_c3,17.7189,0.0659,False,True,False,correction_1.0.6,0.0,1.868553486315015e+18,,,ZTF19abltrhn
ztf,59621.55089120008,1867550896315015003,2,1867550896315,19.6509,1,1867,0.598699,17.55,15.601642,17.7864,0.101255,0.010259738,0.016829586,0.0574,275.2723464,0.180512,0.845714,t17_f5_c3,17.7063,0.0659,False,True,False,correction_1.0.6,0.0,1.868553486315015e+18,,,ZTF19abltrhn
ztf,59621.55348380003,1867553486315015004,2,1867553486315,19.7018,1,1867,0.405323,17.656,15.618558,17.9134,0.098252,0.0065358514,0.0150440475,0.0655,275.2722374,0.1805132,0.905714,t17_f5_c3,17.9444,0.0833,False,True,False,correction_1.0.6,0.0,1.868553486315015e+18,,,ZTF19abltrhn
ztf,59622.54581019981,1868545816315015002,2,1868545816315,19.6719,1,1868,0.946886,17.9441,15.658011,17.8615,0.098619,100.0,0.012009518,0.0585,275.2719851,0.1807468,0.76,t17_f5_c3,17.8402,0.0707,False,True,False,correction_1.0.6,0.0,1.868553486315015e+18,,,ZTF19abltrhn
ztf,59622.54836810008,1868548366315015001,2,1868548366315,19.7482,1,1868,0.814125,17.9228,15.6553955,17.9058,0.101855,100.0,0.012618874,0.061,275.2724069,0.1804904,0.837143,t17_f5_c3,17.8919,0.0741,False,True,False,correction_1.0.6,0.0,1.868553486315015e+18,,,ZTF19abltrhn
ztf,59622.55092590023,1868550926315015002,2,1868550926315,19.9062,1,1868,0.883899,17.8577,15.647116,18.0237,0.136116,0.011055864,0.017769499,0.0654,275.2723448,0.1804096,0.825714,t17_f5_c3,18.0029,0.0789,False,True,False,correction_1.0.6,0.0,1.868553486315015e+18,,,ZTF19abltrhn
ztf,59622.55348380003,1868553486315015003,2,1868553486315,19.82283,1,1868,0.7512842,17.811687,15.640997,17.9433,0.10383513,0.002530787,0.0140626775,0.0628,275.2721693,0.1804223,0.88285714,t17_f5_c3,17.9181,0.0756,True,True,False,correction_1.0.6,0.0,,0.9322489,435120263.0,ZTF19abltrhn
ztf,59623.54696760001,1869546966315015001,2,1869546966315,19.8508,1,1869,1.13592,17.9028,15.652898,18.0551,0.170515,0.01628808,0.021468507,0.0704,275.2725135,0.1804966,0.362857,t17_f5_c3,18.0046,0.0831,False,True,False,correction_1.0.6,0.0,1.870548486315015e+18,,,ZTF19abltrhn
ztf,59623.54952549981,1869549526315015002,2,1869549526315,19.9846,1,1869,0.987524,17.6729,15.621129,18.0349,0.14114,0.016443511,0.0213276,0.0666,275.2723919,0.1804059,0.43,t17_f5_c3,18.0509,0.0832,False,True,False,correction_1.0.6,0.0,1.870548486315015e+18,,,ZTF19abltrhn
ztf,59623.55208329996,1869552086315015002,2,1869552086315,20.1541,1,1869,0.685667,17.9243,15.655581,18.0782,0.160075,0.013992302,0.019807803,0.0652,275.2723455,0.1804847,0.437143,t17_f5_c3,18.0522,0.0776,False,True,False,correction_1.0.6,0.0,1.870548486315015e+18,,,ZTF19abltrhn
ztf,59623.55462960014,1869554626315015003,2,1869554626315,19.9429,1,1869,0.823938,18.0215,15.667148,18.1369,0.149697,0.009604919,0.017118761,0.0754,275.2724281,0.180519,0.641429,t17_f5_c3,18.1561,0.0947,False,True,False,correction_1.0.6,0.0,1.870548486315015e+18,,,ZTF19abltrhn
ztf,59623.557187499944,1869557186315015001,2,1869557186315,19.8191,1,1869,0.686821,18.4222,15.706158,18.097,0.147891,100.0,0.012120631,0.077,275.2721584,0.1804442,0.761429,t17_f5_c3,18.0088,0.0881,False,True,False,correction_1.0.6,0.0,1.870548486315015e+18,,,ZTF19abltrhn
ztf,59624.54848380014,1870548486315015002,2,1870548486315,19.649044,1,1870,1.178965,18.360788,15.700993,18.0958,0.16577347,100.0,0.01430858,0.0926,275.2724122,0.1803528,0.36285713,t17_f5_c3,18.0925,0.1158,True,True,False,correction_1.0.6,0.0,,0.7846845,435120263.0,ZTF19abltrhn
ztf,59677.4579977002,1923457996315015003,2,1923457996315,19.9974,1,1923,0.22412,18.6351,15.722119,18.762,0.173589,100.0,0.011866703,0.1206,275.2722165,0.1805634,0.518571,t17_f5_c3,18.8087,0.1543,False,True,False,correction_1.0.6,0.0,1.94046244631501e+18,,,ZTF19abltrhn
ztf,59689.44040510012,1935440406315010000,2,1935440406315,18.8524,-1,1935,0.347947,18.1034,15.937472,18.194,0.162906,0.012675751,0.022159832,0.124,275.2721249,0.1806331,0.635714,t17_f5_c3,18.1085,0.1454,False,True,False,correction_1.0.6,0.0,1.94046244631501e+18,,,ZTF19abltrhn
ztf,59694.46244210005,1940462446315010000,2,1940462446315,19.417086,-1,1940,1.1072241,17.675514,16.011265,17.5674,0.08388466,100.0,0.018112697,0.0436,275.2720748,0.1803522,0.62,t17_f5_c3,17.5135,0.0514,True,True,False,correction_1.0.6,0.0,,0.9958192,435120263.0,ZTF19abltrhn
ztf,60016.503055599984,2262503056315010001,2,2262503056315,19.5646,-1,2262,0.286757,17.7463,15.996569,17.6585,0.106347,0.009060386,0.021224279,0.0594,275.2721442,0.1806515,0.867143,t17_f5_c3,17.647,0.0739,False,True,False,1.1.6,0.0,2.26746384631501e+18,,,ZTF19abltrhn
ztf,60021.46384260012,2267463846315010000,2,2267463846315,19.734211,-1,2267,1.1135429,17.812548,15.983818,17.9455,0.15718372,0.022158066,0.029168606,0.0599,275.2719646,0.1804492,0.41,t17_f5_c3,17.9848,0.0769,True,True,False,1.1.6,0.0,,0.9592743,435120263.0,ZTF19abltrhn
