tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid,oid
ztf,59037.35593750002,1283355933415015035,2,1283355933415,19.212,1,1283,1.60872,16.2509,16.4836,0.152133,0.0342,282.2125995,-23.9352697,0.337143,t17_f5_c3,16.5623,0.0451,False,False,False,bulk_1.0.0,0.0,1.291335593415015e+18,,,,,,ZTF19abokans
ztf,59045.33559030015,1291335593415015034,2,1291335593415,20.055225,1,1291,0.58185065,16.194454,16.1693,0.086512975,0.0178,282.2125321,-23.934908,0.63285714,t17_f5_c3,16.1187,0.0192,True,True,True,bulk_1.0.0,0.0,0.0,13.283938,100.0,0.005927545,0.9842001,283120234.0,ZTF19abokans
ztf,59411.251527800225,1657251523415015041,2,1657251523415,19.8394,1,1657,0.404831,15.6274,15.5881,0.019658,0.0137,282.2124392,-23.934964,0.697143,t17_f5_c3,15.5846,0.0153,False,True,True,correction_1.0.6,0.0,1.6852107434150152e+18,13.234079,100.0,0.002168757,,,ZTF19abokans
ztf,59411.251527800225,1657251523415015044,2,1657251523415,19.8394,1,1657,0.603264,15.7822,15.8046,0.086673,0.016,282.2123979,-23.9350431,0.635714,t17_f5_c3,15.6693,0.0162,False,True,True,correction_1.0.6,0.0,1.6852107434150152e+18,13.2501135,100.0,0.008414907,,,ZTF19abokans
ztf,59414.2728587999,1660272853415015049,2,1660272853415,19.4387,1,1660,0.458434,15.5748,15.641,0.057457,0.0155,282.2124848,-23.9349307,0.615714,t17_f5_c3,15.6249,0.0181,False,True,True,correction_1.0.6,0.0,1.6852107434150152e+18,13.228149,100.0,0.006617332,,,ZTF19abokans
ztf,59430.23057870008,1676230573415015059,2,1676230573415,20.211,1,1676,0.536078,16.2314,16.0706,0.047461,0.0166,282.2123601,-23.9350257,0.681429,t17_f5_c3,16.0678,0.0181,False,True,True,correction_1.0.6,0.0,1.6852107434150152e+18,13.28643,100.0,0.003150279,,,ZTF19abokans
ztf,59439.2107406999,1685210743415015050,2,1685210743415,19.567959,1,1685,0.41699433,15.812426,15.7109,0.044114336,0.0159,282.2124864,-23.9348656,0.5157143,t17_f5_c3,15.6116,0.0169,True,True,True,correction_1.0.6,0.0,,13.253012,100.0,0.004176516,0.9995266,283120234.0,ZTF19abokans
ztf,59441.18890050007,1687188903415015030,2,1687188903415,19.7885,1,1687,0.413684,16.2431,16.2118,0.096678,0.0231,282.2123815,-23.9349936,0.615714,t17_f5_c3,16.0808,0.0239,False,True,True,correction_1.0.6,0.0,1.7151482234150152e+18,13.287203,100.0,0.0063528563,,,ZTF19abokans
ztf,59458.2092708,1704209273415015030,2,1704209273415,20.1732,1,1704,0.281738,15.9481,15.9225,0.021846,0.0147,282.2124283,-23.9349173,0.577143,t17_f5_c3,15.9166,0.0161,False,True,True,correction_1.0.6,0.0,1.7151482234150152e+18,13.265154,100.0,0.0018458377,,,ZTF19abokans
ztf,59458.2092708,1704209273415015049,2,1704209273415,20.1732,1,1704,0.272283,16.0534,16.1943,0.140195,0.0175,282.2124198,-23.9349236,0.591429,t17_f5_c3,16.0982,0.0181,False,True,True,correction_1.0.6,0.0,1.7151482234150152e+18,13.273666,100.0,0.0108352555,,,ZTF19abokans
