tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58740.253067099955,986253063715015012,2,986253063715,19.050116,1,986,0.13385867,17.548456,17.272552,17.6936,0.108054675,0.08295915,0.08380733,0.1112,281.2490193,-8.2664027,0.68,t17_f5_c3,0.9999962,17.6889,0.1423,384120237.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19abokuvm
ztf,58777.08658559993,1023086583715015054,2,1023086583715,18.938576,1,1023,0.18381251,16.931633,16.766817,16.9803,0.06105735,0.051924217,0.052458018,0.0571,281.2490236,-8.2664177,0.6471428,t17_f5_c3,0.99999994,16.9594,0.0718,384120237.0,False,True,False,bulk_1.0.0,0.0,1.038108203715015e+18,ZTF19abokuvm
ztf,58792.10820600018,1038108203715015097,2,1038108203715,19.104946,1,1038,0.18182632,16.74799,16.607235,16.6721,0.04901376,0.04256923,0.043054234,0.0415,281.2490211,-8.2664155,0.7542857,t17_f5_c3,0.99999905,16.5512,0.0476,384120237.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19abokuvm
ztf,59028.2510532001,1274251053715015016,2,1274251053715,19.880243,1,1274,0.121068195,18.47967,17.91502,18.5691,0.07688669,0.040339716,0.045707915,0.125,281.2490447,-8.2663964,0.7214286,t17_f5_c3,1.0,18.64,0.1726,384120237.0,False,True,False,bulk_1.0.0,0.0,1.278316573715015e+18,ZTF19abokuvm
ztf,59032.31657409994,1278316573715015020,2,1278316573715,19.523186,1,1278,0.130738,18.252268,17.774178,18.3393,0.10179984,0.06276318,0.06554067,0.1381,281.2490304,-8.266401,0.6028572,t17_f5_c3,0.9999995,18.3225,0.1751,384120237.0,False,True,False,bulk_1.0.0,0.0,1.288246013715015e+18,ZTF19abokuvm
ztf,59042.24601850007,1288246013715015030,2,1288246013715,20.16795,1,1288,0.17910321,17.933617,17.55863,18.0007,0.06802189,0.04560102,0.048156362,0.0606,281.2490188,-8.2664156,0.7228571,t17_f5_c3,0.99959993,17.8229,0.0667,384120237.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19abokuvm
ztf,59099.18930559978,1345189303715015054,2,1345189303715,19.88029,1,1345,0.14718883,16.876162,16.71899,16.9261,0.058981486,0.050530154,0.051032506,0.0284,281.249019,-8.2664044,0.6557143,t17_f5_c3,0.06568861,16.7857,0.032,384120237.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19abokuvm
ztf,59135.126875000075,1381126873715015016,2,1381126873715,19.74732,1,1381,0.13518317,17.217884,17.007893,17.2621,0.06383168,0.05177428,0.052606508,0.0415,281.2490172,-8.2664017,0.6685714,t17_f5_c3,0.9299619,17.179,0.0493,384120237.0,False,True,False,bulk_1.0.0,0.0,1.3961032937150152e+18,ZTF19abokuvm
ztf,59137.106631900184,1383106633715015023,2,1383106633715,20.20339,1,1383,0.14627652,17.233435,17.02069,17.2887,0.08944525,0.07292194,0.07352925,0.0317,281.2490077,-8.2664012,0.68857145,t17_f5_c3,0.9999996,17.3106,0.0415,384120237.0,False,True,False,bulk_1.0.0,0.0,1.3961032937150152e+18,ZTF19abokuvm
ztf,59145.09310190007,1391093103715015017,2,1391093103715,19.841984,1,1391,0.14898503,17.371593,17.132946,17.4395,0.06322063,0.049656395,0.050745737,0.0477,281.2490085,-8.2664034,0.7557143,t17_f5_c3,1.0,17.5469,0.0677,384120237.0,False,True,False,bulk_1.0.0,0.0,1.3961032937150152e+18,ZTF19abokuvm
ztf,59150.10329859983,1396103293715015105,2,1396103293715,19.144781,1,1396,0.18628195,17.304287,17.078594,17.3614,0.08653258,0.06958399,0.07029142,0.0649,281.2490044,-8.2664126,0.58,t17_f5_c3,0.8390707,17.224,0.0735,384120237.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF19abokuvm
ztf,59364.41978010023,1610419783715015012,2,1610419783715,19.732033,1,1610,0.1818873,18.059093,17.645939,18.1253,0.093533784,0.061690282,0.06393025,0.0997,281.2490164,-8.2664153,0.6942857,t17_f5_c3,1.0,18.0819,0.1239,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59367.39630790008,1613396303715015038,2,1613396303715,19.960115,1,1613,0.15651575,17.957039,17.57516,17.9825,0.06440943,0.042497497,0.045310337,0.0689,281.2490365,-8.2664072,0.69285715,t17_f5_c3,0.9982531,17.784,0.0743,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59369.41974540008,1615419743715015012,2,1615419743715,20.00915,1,1615,0.15430121,17.932688,17.557972,17.9432,0.10630349,0.07367021,0.07527677,0.063,281.2490014,-8.2663994,0.63285714,t17_f5_c3,1.0,17.8301,0.0734,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59378.39456020016,1624394563715015015,2,1624394563715,20.178013,1,1624,0.10136099,17.769444,17.43989,17.8284,0.09475278,0.06855733,0.06994728,0.0504,281.2490219,-8.266393,0.67,t17_f5_c3,1.0,17.7404,0.06,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59382.35571759986,1628355713715015054,2,1628355713715,19.977444,1,1628,0.13303268,17.680462,17.373508,17.738,0.063319184,0.045906454,0.04772587,0.0545,281.2490168,-8.2664008,0.70428574,t17_f5_c3,0.89375687,17.4571,0.0545,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59386.35792820016,1632357923715015023,2,1632357923715,19.340387,1,1632,0.11832229,17.603312,17.314856,17.5402,0.07816012,0.058634497,0.059924234,0.0702,281.2490232,-8.2663973,0.64,t17_f5_c3,0.99982584,17.3437,0.0754,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59393.41324070003,1639413243715015071,2,1639413243715,19.27812,1,1639,0.2523255,17.58321,17.29941,17.6676,0.075271554,0.05666101,0.057957664,0.0797,281.2490218,-8.2664362,0.6314286,t17_f5_c3,0.8301991,17.4931,0.0873,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59411.25201389985,1657252013715015009,2,1657252013715,19.876263,1,1657,0.102006465,17.272161,17.052425,17.3086,0.0943786,0.076472595,0.077086665,0.0413,281.2490393,-8.2663927,0.68714285,t17_f5_c3,0.9999994,17.2645,0.051,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59414.29398149997,1660293983715015016,2,1660293983715,19.84407,1,1660,0.14551832,17.305092,17.079247,17.3351,0.076385215,0.06123631,0.062039964,0.0431,281.2490259,-8.2664047,0.7185714,t17_f5_c3,0.9999996,17.2528,0.0513,384120237.0,True,True,False,correction_0.0.1,0.0,,ZTF19abokuvm
ztf,59427.31680560019,1673316803715015020,2,1673316803715,19.833822,1,1673,0.13949715,17.138838,16.942337,17.2397,0.06329655,0.05208378,0.052817684,0.0386,281.2489902,-8.2663761,0.7242857,t17_f5_c3,0.9999994,17.2417,0.0497,384120237.0,True,True,False,correction_1.0.6,0.0,,ZTF19abokuvm
ztf,59441.18984950008,1687189843715015032,2,1687189843715,19.726545,1,1687,0.13077146,17.126972,16.932426,17.153,0.039729655,0.032053836,0.033212095,0.0404,281.2490152,-8.2664006,0.7457143,t17_f5_c3,0.9999945,17.0613,0.0477,384120237.0,True,True,False,correction_1.0.6,0.0,,ZTF19abokuvm
ztf,59443.252210599836,1689252213715015018,2,1689252213715,19.131626,1,1689,0.14609148,17.128092,16.933361,17.2009,0.07524194,0.06228305,0.062888026,0.072,281.249015,-8.266404,0.7442857,t17_f5_c3,0.9999999,17.2063,0.093,384120237.0,True,True,False,correction_1.0.6,0.0,,ZTF19abokuvm
ztf,59454.294421299826,1700294423715015023,2,1700294423715,19.713154,1,1700,0.2055707,17.103216,16.91253,17.1183,0.047693726,0.039090466,0.040011737,0.0395,281.2489952,-8.2664136,0.7457143,t17_f5_c3,0.99997604,17.0256,0.0466,384120237.0,True,True,False,correction_1.0.6,0.0,,ZTF19abokuvm
ztf,59458.210219900124,1704210213715015013,2,1704210213715,20.185793,1,1704,0.13652544,17.21113,17.002323,17.2627,0.060012393,0.048636828,0.049512863,0.0305,281.2490291,-8.266404,0.7185714,t17_f5_c3,1.0,17.2454,0.0386,384120237.0,True,True,False,correction_1.0.6,0.0,,ZTF19abokuvm
ztf,59460.212314799894,1706212313715015040,2,1706212313715,19.85906,1,1706,0.18090133,17.138577,16.942118,17.1848,0.06416097,0.052817576,0.05354113,0.0345,281.2490076,-8.2664125,0.71,t17_f5_c3,0.9903603,17.0571,0.0394,384120237.0,True,True,False,correction_1.0.6,0.0,,ZTF19abokuvm
ztf,59464.27517359983,1710275173715015019,2,1710275173715,20.013725,1,1710,0.20916466,17.22016,17.009768,17.305,0.050127514,0.040227827,0.041297063,0.037,281.248996,-8.2664153,0.7,t17_f5_c3,1.0,17.1839,0.0426,384120237.0,True,True,False,correction_1.0.6,0.0,,ZTF19abokuvm
ztf,59470.1478587999,1716147853715015016,2,1716147853715,20.011812,1,1716,0.15686275,17.294863,17.070932,17.3462,0.062197313,0.049632348,0.05060569,0.0377,281.2490285,-8.2664101,0.72571427,t17_f5_c3,1.0,17.3244,0.0475,384120237.0,True,True,False,correction_1.0.6,0.0,,ZTF19abokuvm
