tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58720.13834490022,966138342415015028,2,966138342415,19.27584,1,966,2.1469939,14.317213,14.3586,0.028532699,0.0052,275.7947618,-17.6365706,0.77,t17_f5_c3,0.9999895,14.3539,0.0063,333120224,False,False,False,bulk_1.0.0,0.0,9.72132592415015e+17,ZTF19abrowlz
ztf,58723.25958329998,969259582415015013,1,969259582415,20.555012,1,969,2.5728574,14.224895,14.2382,0.030815637,0.0029,275.7947922,-17.6365488,0.8057143,t17_f5_c3,0.9986247,14.2295,0.003,333120124,False,False,False,bulk_1.0.0,0.0,9.72132592415015e+17,ZTF19abrowlz
ztf,58726.13259259984,972132592415015034,2,972132592415,19.562431,1,972,2.1385767,14.740492,14.7881,0.028653074,0.0061,275.7947654,-17.636562,0.7771429,t17_f5_c3,0.9990559,14.7784,0.0073,333120224,False,False,False,bulk_1.0.0,0.0,9.72248252415015e+17,ZTF19abrowlz
ztf,58726.24825230008,972248252415015010,1,972248252415,19.406103,1,972,2.520958,14.789787,14.8356,0.030002564,0.0053,275.7947871,-17.6365638,0.7228571,t17_f5_c3,1.0,14.8304,0.0062,333120124,True,False,False,bulk_1.0.0,0.0,0.0,ZTF19abrowlz
ztf,59033.23035879992,1279230352415015006,1,1279230352415,18.74708,1,1279,2.5666633,15.695301,15.7082,0.02875377,0.0201,275.7947515,-17.6365632,0.8142857,t17_f5_c3,1.0,15.6881,0.0251,333120124,False,False,False,bulk_1.0.0,0.0,1.2793153324150152e+18,ZTF19abrowlz
ztf,59033.31533560017,1279315332415015041,2,1279315332415,18.903526,1,1279,2.1774282,15.260036,15.2843,0.038473915,0.0136,275.7947672,-17.6365798,0.68285716,t17_f5_c3,0.99999917,15.2623,0.0169,333120224,False,False,False,bulk_1.0.0,0.0,1.2823567424150152e+18,ZTF19abrowlz
ztf,59036.247546299826,1282247542415015007,1,1282247542415,18.78584,1,1282,2.4699433,17.405556,17.357,0.06393719,0.0872,275.7947486,-17.6365922,0.81714284,t17_f5_c3,1.0,17.2473,0.101,333120124,False,False,False,bulk_1.0.0,0.0,1.2823567424150152e+18,ZTF19abrowlz
ztf,59036.3567476999,1282356742415015052,2,1282356742415,19.005146,1,1282,2.2143464,17.692945,17.7933,0.06982074,0.1305,275.7947608,-17.6366009,0.59,t17_f5_c3,0.9953345,17.6939,0.1528,333120224,True,False,False,bulk_1.0.0,0.0,0.0,ZTF19abrowlz
ztf,59436.2101619998,1682210162415015165,2,1682210162415,20.297104,1,1682,2.1526208,16.185238,16.2429,0.034075353,0.0125,275.7947549,-17.6365818,0.81285715,t17_f5_c3,0.07910058,16.258,0.0155,333120224,True,False,False,correction_1.0.6,0.0,,ZTF19abrowlz
ztf,59684.4209143999,1930420912415015182,2,1930420912415,19.14613,1,1930,2.0952234,15.212344,15.26,0.02576413,0.0102,275.794752,-17.6365597,0.6642857,t17_f5_c3,0.99968344,15.2481,0.0127,333120224,True,False,False,correction_1.0.6,0.0,,ZTF19abrowlz
ztf,59684.47980319988,1930479802415015012,1,1930479802415,18.977634,1,1930,2.5698063,15.126466,15.1429,0.02177424,0.0092,275.7947512,-17.636562,0.72,t17_f5_c3,1.0,15.1311,0.0113,333120124,True,False,False,correction_1.0.6,0.0,,ZTF19abrowlz
ztf,60184.170578700025,2430170572415015168,2,2430170572415,19.208265,1,2430,2.1554554,15.102041,15.0895,0.02941378,0.0093,275.7947668,-17.6365748,0.6957143,t17_f5_c3,1.0,15.079,0.0116,333120224,True,False,False,1.2.0,0.0,,ZTF19abrowlz
ztf,60184.225821800064,2430225822415015012,1,2430225822415,18.927704,1,2430,2.553771,14.921767,14.9349,0.020345077,0.0088,275.7947655,-17.6365612,0.7728571,t17_f5_c3,1.0,14.9258,0.0108,333120124,True,False,False,1.2.0,0.0,,ZTF19abrowlz
ztf,60186.20663189981,2432206632415015019,1,2432206632415,19.269648,1,2432,2.5971484,16.394876,16.4124,0.03683812,0.0259,275.7947639,-17.6365488,0.8257143,t17_f5_c3,0.99999726,16.463,0.0344,333120124,True,False,False,1.2.0,0.0,,ZTF19abrowlz
ztf,60186.26126160007,2432261262415015063,2,2432261262415,19.018429,1,2432,2.2716882,16.66677,16.6435,0.048898015,0.0452,275.7948272,-17.6365409,0.7614286,t17_f5_c3,0.999128,16.5441,0.0528,333120224,True,False,False,1.2.0,0.0,,ZTF19abrowlz
