tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58991.45718749985,1237457183715010034,2,1237457183715,20.9366,-1,1237,0.17486,14.1307,14.431171,14.2237,0.041686,0.025518542,0.054976717,0.0024,304.3002762,20.0979016,0.655714,t17_f5_c3,14.2138,0.0025,False,True,False,bulk_1.0.0,0.0,1.259240283715015e+18,,,ZTF19abzoxsr
ztf,59013.240289399866,1259240283715015018,1,1259240283715,19.605074,1,1259,1.6115224,18.336393,,18.176,0.11535316,,,0.0701,304.3006099,20.097632,0.6042857,t17_f5_c3,18.153,0.0859,True,False,False,bulk_1.0.0,0.0,0.0,0.9999879,592120137.0,ZTF19abzoxsr
ztf,60057.44413190009,2303444133715015028,2,2303444133715,20.6442,1,2303,0.185467,13.7156,12.8597355,13.7189,0.049178,0.019201415,0.022357598,0.0025,304.3002924,20.0979,0.605714,t17_f5_c3,13.7072,0.0026,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60057.48077550018,2303480773715015026,1,2303480773715,20.8021,1,2303,0.154424,15.3631,15.108295,15.4247,0.041426,0.032566972,0.032760542,0.0052,304.3002714,20.0979027,0.86,t17_f5_c3,15.4115,0.0056,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60059.45011569979,2305450113715015016,2,2305450113715,20.3352,1,2305,0.274673,13.6716,12.839511,13.7195,0.043258,0.016664434,0.020101603,0.0026,304.3002849,20.097874,0.7,t17_f5_c3,13.705,0.0027,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60059.470902800094,2305470903715015019,1,2305470903715,20.0403,1,2305,0.254787,15.379,15.12085,15.4556,0.043725,0.034284044,0.034472264,0.0062,304.3002792,20.097879,0.852857,t17_f5_c3,15.4359,0.0069,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60065.42249999987,2311422503715015021,2,2311422503715,20.0333,1,2311,0.229151,13.7798,12.8884535,13.79,0.049185,0.018167967,0.02164182,0.0029,304.3002855,20.0978841,0.73,t17_f5_c3,13.7743,0.003,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60065.462314799894,2311462313715015019,1,2311462313715,20.2298,1,2311,0.221801,15.4684,15.190708,15.5185,0.036185,0.027755052,0.028018948,0.0063,304.3002837,20.0978894,0.87,t17_f5_c3,15.5021,0.007,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60073.399745400064,2319399743715015011,2,2319399743715,19.3152,1,2319,0.328588,13.9973,12.978838,14.0342,0.043117,0.011020233,0.01687578,0.004,304.3003122,20.0978667,0.724286,t17_f5_c3,14.0084,0.0044,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60073.42178239999,2319421783715015011,1,2319421783715,19.3049,1,2319,0.213816,15.6319,15.3151,15.7031,0.042679,0.031586595,0.031878237,0.013,304.3002946,20.0978963,0.92,t17_f5_c3,15.7023,0.0161,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60077.41202550009,2323412023715015018,1,2323412023715,20.3399,1,2323,0.196455,15.7563,15.406646,15.8026,0.041597,0.029778346,0.030143963,0.0077,304.3002897,20.0978984,0.905714,t17_f5_c3,15.7884,0.0087,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60079.433032399975,2325433033715015022,2,2325433033715,20.6706,1,2325,0.345338,14.3416,13.100934,14.2875,0.07469,0.019052306,0.023822976,0.0036,304.3003003,20.0978565,0.501429,t17_f5_c3,14.2701,0.0037,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60079.44791670004,2325447913715015026,1,2325447913715,20.8925,1,2325,0.161397,15.813,15.447436,15.8658,0.042025,0.029615032,0.030011138,0.0067,304.3002685,20.0979013,0.877143,t17_f5_c3,15.8468,0.0072,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60082.42458330002,2328424583715015015,1,2328424583715,20.7174,1,2328,0.174198,15.8554,15.477546,15.9142,0.05119,0.03579758,0.0361446,0.0075,304.3002929,20.0979092,0.865714,t17_f5_c3,15.9039,0.0082,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60084.42627310008,2330426273715015015,1,2330426273715,20.3058,1,2330,0.231817,15.9448,15.539898,15.9779,0.041892,0.028362151,0.028851612,0.0087,304.3002782,20.097885,0.911429,t17_f5_c3,15.9644,0.0098,False,True,False,1.2.0,0.0,2.332405823715015e+18,,,ZTF19abzoxsr
ztf,60086.40582180023,2332405823715015010,2,2332405823715,20.91662,1,2332,1.4689238,14.586686,,15.3306,0.05639673,,,0.0064,304.3006588,20.0977607,0.31285715,t17_f5_c3,15.1734,0.0061,True,False,True,1.2.0,0.0,,0.998351,592120237.0,ZTF19abzoxsr
ztf,60928.208506899886,3174208503715015015,2,3174208503715,20.4959,1,3174,0.887053,15.6113,13.37057,15.5964,0.160326,0.008847783,0.020356908,0.0099,304.3003264,20.0977053,0.461429,t17_f5_c3,15.5858,0.0106,False,True,True,27.5.6,0.0,3.189227183715015e+18,,,ZTF19abzoxsr
ztf,60943.22718749987,3189227183715015026,2,3189227183715,20.82066,1,3189,1.6041135,14.700995,,15.3509,0.044389263,,,0.0064,304.3007062,20.0977643,0.20428571,t17_f5_c3,15.1866,0.0063,True,False,False,27.5.6,0.0,,0.98166955,592120237.0,ZTF19abzoxsr
