tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58800.53296299977,1046532966315015000,2,1046532966315,19.49526,1,1046,2.4705458,17.680681,17.7026,0.062188294,0.0942,193.6737258,28.9421902,0.95428574,t17_f5_c3,1.0,17.708,0.1207,626120263.0,False,False,False,bulk_1.0.0,0.0,1074570236315015001,ZTF19acmyacs
ztf,58804.55747690005,1050557476315015001,2,1050557476315,19.013468,1,1050,2.4569569,17.616945,17.5372,0.08314451,0.0802,193.6737529,28.942169,0.69142854,t17_f5_c3,0.99999416,17.4975,0.0984,626120263.0,False,False,False,bulk_1.0.0,0.0,1077562176315015000,ZTF19acmyacs
ztf,58828.57023150008,1074570236315015001,2,1074570236315,20.1021,1,1074,2.476728,17.72443,17.7638,0.05772653,0.0666,193.6737301,28.942183,0.9457143,t17_f5_c3,0.9999997,17.6989,0.0796,626120263.0,False,False,False,bulk_1.0.0,0.0,1081548836315015004,ZTF19acmyacs
ztf,58831.56217590021,1077562176315015000,1,1077562176315,19.668734,1,1077,2.4641154,19.45887,19.3332,0.17930485,0.2739,193.6737018,28.9421768,0.89285713,t17_f5_c3,0.99999523,19.5991,0.4469,626120163.0,False,False,False,bulk_1.0.0,0.0,1081484936315015000,ZTF19acmyacs
ztf,58833.56850690022,1079568506315015001,1,1079568506315,19.33216,1,1079,2.0945077,19.215824,19.3145,0.2127056,0.2726,193.673648,28.9420511,0.66571426,t17_f5_c3,0.9956522,19.2019,0.3137,626120163.0,False,False,False,bulk_1.0.0,0.0,1081484936315015000,ZTF19acmyacs
ztf,58835.48493060004,1081484936315015000,2,1081484936315,19.243391,1,1081,2.468603,17.743204,17.7275,0.052649025,0.0749,193.6737677,28.9421506,0.49571428,t17_f5_c3,0.9999576,17.716,0.0937,626120263.0,False,False,False,bulk_1.0.0,0.0,1096545716315015000,ZTF19acmyacs
ztf,58835.54883099999,1081548836315015004,1,1081548836315,19.689291,1,1081,2.2485392,19.470577,19.5821,0.1420719,0.3203,193.6737823,28.9421303,0.45857143,t17_f5_c3,0.99996954,19.4427,0.359,626120163.0,False,False,False,bulk_1.0.0,0.0,1096545716315015000,ZTF19acmyacs
ztf,58838.573935199995,1084573936315015001,2,1084573936315,18.0132,1,1084,2.26707,17.4561,16.782,0.093778,0.1212,193.6738062,28.9420881,0.311429,t17_f5_c3,,16.3913,0.1085,,False,False,False,bulk_1.0.0,0.0,1113483836315015000,ZTF19acmyacs
ztf,58846.56975689996,1092569756315015002,2,1092569756315,20.491705,1,1092,2.473155,17.850718,17.9211,0.04886821,0.0636,193.6737216,28.9421907,0.9057143,t17_f5_c3,0.999998,17.9401,0.0815,626120263.0,False,False,False,bulk_1.0.0,0.0,1113483836315015000,ZTF19acmyacs
ztf,58850.51881940011,1096518816315015000,2,1096518816315,20.263962,1,1096,2.4694247,17.861303,17.7189,0.054331727,0.0533,193.6737411,28.9421751,0.7985714,t17_f5_c3,0.9999964,17.5754,0.0587,626120263.0,False,False,False,bulk_1.0.0,0.0,1113483836315015000,ZTF19acmyacs
