tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59491.16841439996,1737168414915015014,2,1737168414915,20.1005,1,1737,0.440157,16.6697,14.754011,16.541,0.123426,0.014107807,0.021141252,0.02,276.2509583,-6.2275928,0.751429,t17_f5_c3,16.5081,0.0227,False,True,False,correction_1.0.6,0.0,1.767115631015015e+18,,,ZTF19actabzr
ztf,59502.17021990009,1748170211015015044,2,1748170211015,18.9954,1,1748,0.587343,17.4089,14.761786,17.3077,0.234889,0.009358035,0.020512452,0.0665,276.2509642,-6.2276899,0.577143,t17_f5_c3,17.1848,0.0743,False,True,False,correction_1.0.6,0.0,1.767115631015015e+18,,,ZTF19actabzr
ztf,59521.11563660018,1767115631015015020,1,1767115631015,19.720129,1,1767,1.3244888,19.227123,17.28533,18.9054,0.163298,0.024281528,0.027306337,0.155,276.2508408,-6.2278707,0.7242857,t17_f5_c3,19.0529,0.226,True,True,False,correction_1.0.6,0.0,,0.999974,435120110.0,ZTF19actabzr
ztf,59844.15109949978,2090151091015015042,2,2090151091015,20.3761,1,2090,0.259312,17.1554,14.737133,17.1466,0.099192,100.0,0.010694738,0.0293,276.2510303,-6.2276216,0.785714,t17_f5_c3,17.3223,0.0405,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59844.2200230998,2090220021015015024,1,2090220021015,20.0603,1,2090,0.863754,19.5221,17.329403,19.106,0.15944,0.016688626,0.021160135,0.1534,276.2508472,-6.22768,0.78,t17_f5_c3,19.2256,0.2178,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59845.14815969998,2091148154915015008,2,2091148154915,20.4418,1,2091,0.421926,17.0287,14.807674,17.2181,0.118992,100.0,0.015385361,0.0303,276.2509565,-6.2275214,0.648571,t17_f5_c3,17.5129,0.0469,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59846.170057899784,2092170051015015026,1,2092170051015,20.1679,1,2092,1.23792,19.7358,17.355457,19.4703,0.250106,0.024540236,0.02792463,0.1959,276.2507173,-6.2275979,0.598571,t17_f5_c3,19.3932,0.232,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59848.171759299934,2094171751015015040,2,2094171751015,20.4705,1,2094,0.235438,16.5915,14.660208,16.7174,0.150612,0.019244371,0.025429796,0.0199,276.2510046,-6.2275789,0.61,t17_f5_c3,16.9524,0.0291,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59850.13180560013,2096131804915015004,2,2096131804915,20.4818,1,2096,0.184802,16.4081,14.70449,16.5555,0.020565,100.0,0.004282373,0.017,276.25106,-6.2275962,0.762857,t17_f5_c3,16.6995,0.0225,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59850.13180560013,2096131804915015005,2,2096131804915,20.4818,1,2096,0.466744,16.473,14.717688,16.9886,0.096884,0.0117545035,0.019236559,0.0216,276.2510484,-6.2276748,0.487143,t17_f5_c3,17.0449,0.0271,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59850.15479170019,2096154791015015032,1,2096154791015,20.5616,1,2096,0.440933,19.4171,17.31487,19.3484,0.177212,0.022105731,0.025562348,0.1335,276.2509426,-6.2275892,0.861429,t17_f5_c3,19.4794,0.19,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59853.19037039997,2099190371015015038,2,2099190371015,20.5093,1,2099,0.364266,16.2281,14.589675,16.383,0.108648,0.018289583,0.02402436,0.0144,276.2510217,-6.2276463,0.668571,t17_f5_c3,16.49,0.0183,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59855.147962999996,2101147961015015034,2,2101147961015,19.9901,1,2101,0.358439,16.2992,14.6050005,16.3632,0.070909,100.0,0.014894352,0.019,276.2510621,-6.2276607,0.691429,t17_f5_c3,16.4937,0.0259,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59855.14842589991,2101148424915015006,2,2101148424915,19.9537,1,2101,0.648408,16.3275,14.687205,16.4017,0.068904,0.0034822412,0.015209914,0.0197,276.2510103,-6.2277115,0.77,t17_f5_c3,16.4889,0.0257,False,True,False,dev,0.0,2.101213751015015e+18,,,ZTF19actabzr
ztf,59855.21375000011,2101213751015015007,1,2101213751015,19.078213,1,2101,0.9705139,18.844442,17.2112,18.8884,0.17280753,0.03657854,0.038394216,0.2876,276.2508155,-6.227684,0.82857144,t17_f5_c3,18.8392,0.3523,True,True,False,dev,0.0,,0.9993495,435120110.0,ZTF19actabzr
ztf,60133.361018499825,2379361014915015012,2,2379361014915,20.3332,1,2379,0.456322,17.6928,14.873885,17.5616,0.106461,100.0,0.007936417,0.0425,276.2509777,-6.2276255,0.738571,t17_f5_c3,17.4544,0.0451,False,True,False,1.2.0,0.0,2.395251734915015e+18,,,ZTF19actabzr
ztf,60141.332013899926,2387332014915015004,1,2387332014915,20.351,1,2387,0.28786,20.0038,17.436802,19.6634,0.275526,0.022052795,0.02590381,0.2066,276.2510107,-6.227595,0.812857,t17_f5_c3,19.3636,0.1976,False,True,False,1.2.0,0.0,2.395251734915015e+18,,,ZTF19actabzr
