tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,58812.41843750002,1058418432115015023,1,1058418432115,20.35316,1,1058,2.5912025,19.716827,19.804,0.15933359,0.22,111.8473346,-10.2820209,0.4,t17_f5_c3,0.6130805,19.7404,0.259,360120121.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF19acvrhoz
ztf,58875.17355319997,1121173552115015023,1,1121173552115,20.115372,1,1121,3.0268428,19.637514,20.0764,0.19822396,0.3199,111.8474575,-10.2820729,0.30714285,t17_f5_c3,0.7644643,20.0822,0.4045,360120121.0,False,False,False,bulk_1.0.0,0.0,1.137168722115015e+18,,,,ZTF19acvrhoz
ztf,58891.16872690013,1137168722115015005,1,1137168722115,20.037073,1,1137,2.4506981,19.670183,19.6529,0.1868366,0.2254,111.8472889,-10.2821066,0.4942857,t17_f5_c3,0.9996046,19.5909,0.269,360120121.0,True,False,False,bulk_1.0.0,0.0,0.0,,,,ZTF19acvrhoz
ztf,59250.24950229982,1496249502115015011,2,1496249502115,19.651,1,1496,0.437363,18.5227,18.3939,0.117944,0.0864,111.8467068,-10.2820318,0.647143,t17_f5_c3,,18.386,0.1069,,False,True,False,correction_0.0.1,0.0,,16.036106,100.0,0.011940948,ZTF19acvrhoz
ztf,59250.312372699846,1496312372115015005,1,1496312372115,19.9742,1,1496,0.433214,19.4393,19.337,0.159837,0.1725,111.8465847,-10.2821427,0.841429,t17_f5_c3,,19.3507,0.2205,,False,True,True,correction_0.0.1,0.0,,17.101051,0.009539473,0.018551446,ZTF19acvrhoz
ztf,59252.21077550016,1498210772115015008,2,1498210772115,20.7454,1,1498,0.324239,18.602,18.5591,0.074571,0.0638,111.8466315,-10.2820915,0.85,t17_f5_c3,,18.5385,0.074,,False,True,False,correction_0.0.1,0.0,,16.043877,100.0,0.0070683975,ZTF19acvrhoz
ztf,59256.23248839984,1502232482115015007,2,1502232482115,20.6592,1,1502,0.255175,18.4945,18.6356,0.078502,0.0722,111.846648,-10.2820425,0.854286,t17_f5_c3,,18.602,0.0833,,False,True,False,correction_0.0.1,0.0,,16.033218,100.0,0.0081352005,ZTF19acvrhoz
ztf,59256.23248839984,1502232482115015008,2,1502232482115,20.6592,1,1502,0.548003,18.6721,18.769,0.103008,0.0776,111.8467357,-10.2820371,0.608571,t17_f5_c3,,18.7977,0.0963,,False,True,False,correction_0.0.1,0.0,,16.050331,100.0,0.009207956,ZTF19acvrhoz
ztf,59256.252453700174,1502252452115015018,1,1502252452115,20.4998,1,1502,1.03947,19.3856,19.5645,0.171455,0.1526,111.8468899,-10.2820438,0.478571,t17_f5_c3,,19.4843,0.1776,,False,True,True,correction_0.0.1,0.0,,17.09468,0.013486305,0.02078657,ZTF19acvrhoz
ztf,59256.252453700174,1502252452115015019,1,1502252452115,20.4998,1,1502,0.305171,19.1946,19.4058,0.121997,0.1349,111.8466726,-10.2820598,0.802857,t17_f5_c3,,19.3873,0.1648,,False,True,True,correction_0.0.1,0.0,,17.069654,0.0076198336,0.017233402,ZTF19acvrhoz
ztf,59260.18922450021,1506189222115015004,1,1506189222115,20.0015,1,1506,0.707172,18.9893,18.6403,0.15268,0.0965,111.8467781,-10.2821072,0.561429,t17_f5_c3,,18.677,0.1257,,False,True,True,correction_0.0.1,0.0,,17.03819,0.020377884,0.02531269,ZTF19acvrhoz
ztf,59260.31285879994,1506312852115015006,2,1506312852115,19.4496,1,1506,0.171586,18.0263,18.0388,0.119378,0.1017,111.8466162,-10.28205,0.87,t17_f5_c3,,18.0022,0.1242,,False,True,False,correction_0.0.1,0.0,,15.97419,0.0127691375,0.018033506,ZTF19acvrhoz
ztf,59263.2537153,1509253712115015007,1,1509253712115,19.2886,1,1509,0.202791,18.773,18.9899,0.223339,0.1264,111.8466511,-10.2820194,0.498571,t17_f5_c3,,18.9289,0.1515,,False,True,True,correction_0.0.1,0.0,,16.999216,0.04111927,0.043596428,ZTF19acvrhoz
