tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58830.290358799975,1076290355215015000,2,1076290355215,19.3018,1,1076,0.909842,15.4236,13.066502,15.8166,0.096817,0.0029899408,0.011043642,0.0189,12.0004206,72.7979953,0.374286,t17_f5_c3,15.8109,0.0215,False,True,False,bulk_1.0.0,0.0,1.081138065215015e+18,,,ZTF19aczaium
ztf,58835.1380671002,1081138065215015025,1,1081138065215,18.524897,1,1081,1.9579667,18.066582,,18.6066,0.19579636,,,0.1868,12.0003607,72.79838,0.39571428,t17_f5_c3,18.487,0.2104,True,False,False,bulk_1.0.0,0.0,0.0,0.5428642,833120152.0,ZTF19aczaium
ztf,61013.1984490999,3259198445215015038,2,3259198445215,17.441,1,3259,0.414091,14.6045,12.935265,14.6844,0.048038,0.004225495,0.01032502,0.0243,12.001135,72.7980223,0.57,t17_f5_c3,14.6797,0.0305,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61013.24421299994,3259244215215015005,1,3259244215215,18.7096,1,3259,0.59696,17.0653,15.459292,17.3039,0.104712,0.021982642,0.023855768,0.0681,12.0008141,72.7980041,0.54,t17_f5_c3,17.2498,0.0823,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61015.21697920002,3261216975215015005,1,3261216975215,19.4821,1,3261,0.607987,17.0641,15.459019,17.3423,0.104554,0.021966625,0.023840101,0.0543,12.0006731,72.7979038,0.531429,t17_f5_c3,17.3355,0.0678,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61015.29984949995,3261299845215015007,2,3261299845215,19.3615,1,3261,0.578599,14.9599,13.002446,14.9679,0.054882,100.0,0.009045829,0.009,12.0006952,72.7979104,0.612857,t17_f5_c3,14.9533,0.0101,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61021.13696759986,3267136965215015004,1,3267136965215,20.2695,1,3267,0.404401,17.1432,15.476555,17.543,0.100981,0.019613609,0.021756122,0.037,12.0008806,72.7979071,0.544286,t17_f5_c3,17.545,0.0441,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61021.1805786998,3267180575215015068,2,3267180575215,20.1131,1,3267,0.338718,14.9414,12.999375,15.241,0.12658,0.018653441,0.021161927,0.0096,12.0009494,72.7978771,0.435714,t17_f5_c3,15.2389,0.0101,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61023.12240740005,3269122405215015008,1,3269122405215,19.8502,1,3269,0.327426,17.2834,15.505268,17.7548,0.121529,0.021559995,0.02362801,0.0608,12.0012151,72.7979884,0.345714,t17_f5_c3,17.8034,0.0775,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61026.139328700025,3272139325215015007,1,3272139325215,20.2453,1,3272,0.387628,17.0789,15.462376,17.4246,0.116807,0.024662202,0.026354779,0.0336,12.0009099,72.7979309,0.567143,t17_f5_c3,17.4164,0.0397,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61026.23887730017,3272238875215015013,2,3272238875215,20.2309,1,3272,0.55038,15.1316,13.028943,15.2015,0.013021,100.0,0.0018775056,0.0091,12.0007432,72.7979471,0.485714,t17_f5_c3,15.1995,0.0095,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61028.16118060006,3274161185215015002,1,3274161185215,20.0683,1,3274,0.491214,17.1387,15.475584,17.3502,0.103829,0.020376224,0.022442535,0.0353,12.0007903,72.7978907,0.475714,t17_f5_c3,17.3289,0.0417,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61028.237696799915,3274237695215015012,2,3274237695215,19.9562,1,3274,0.382118,14.9274,12.997022,15.1126,0.074472,0.0076765646,0.012584671,0.0091,12.0008929,72.7978926,0.505714,t17_f5_c3,15.1102,0.0097,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61030.19622689998,3276196225215015007,1,3276196225215,20.1922,1,3276,0.436418,17.091,15.465094,17.2779,0.082023,0.015806383,0.018347355,0.0297,12.0008511,72.797887,0.507143,t17_f5_c3,17.2651,0.0348,False,True,False,27.5.7a32.dev1,0.0,3.284188035215015e+18,,,ZTF19aczaium
ztf,61038.18803239986,3284188035215015003,2,3284188035215,18.850893,1,3284,1.2575837,14.982216,13.006093,15.1472,0.04978463,100.0,0.008065773,0.0098,12.0012183,72.798265,0.5857143,t17_f5_c3,15.0631,0.0102,True,True,False,27.5.7a32.dev1,0.0,,0.11173388,833120252.0,ZTF19aczaium
ztf,61049.157557900064,3295157555215015001,1,3295157555215,19.5573,1,3295,0.564516,17.0791,15.46242,17.3051,0.083254,0.016321544,0.018781643,0.0357,12.0007905,72.7979737,0.818571,t17_f5_c3,17.298,0.0432,False,True,False,27.5.7a32.dev1,0.0,3.316121775215015e+18,,,ZTF19aczaium
