tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58819.23932870012,1065239324015015083,1,1065239324015,18.2742,1,1065,0.620268,18.3842,16.761244,17.8361,0.27272,0.05718353,0.06116947,0.2694,61.623676,49.2523758,0.625714,t17_f5_c3,17.6641,0.2942,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58830.311747699976,1076311744015015004,2,1076311744015,19.6306,1,1076,0.613718,16.3694,14.147765,16.6276,0.134313,0.010350801,0.017356582,0.029,61.6237508,49.2523201,0.56,t17_f5_c3,16.5507,0.0332,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58830.311747699976,1076311744015015005,2,1076311744015,19.6306,1,1076,0.189268,16.4712,14.160396,16.4636,0.030298,100.0,0.0036065497,0.0257,61.6238218,49.2525163,0.65,t17_f5_c3,16.4754,0.0315,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58831.232430600096,1077232434015015002,1,1077232434015,19.4248,1,1077,0.349513,18.3441,16.75212,18.4005,0.108601,0.012817639,0.025063483,0.1536,61.6237525,49.2524449,0.927143,t17_f5_c3,18.4414,0.2038,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58833.197453700006,1079197454015015005,1,1079197454015,19.7806,1,1079,0.410088,18.1804,16.712091,18.1145,0.094827,0.013059905,0.02452494,0.0583,61.6237303,49.2524354,0.79,t17_f5_c3,18.0858,0.0712,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58834.218622699846,1080218624015015004,1,1080218624015,19.7065,1,1080,0.50141,18.2724,16.735147,18.2638,0.1218,0.020599864,0.029562844,0.0679,61.6237232,49.2523875,0.711429,t17_f5_c3,18.2891,0.087,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58836.428310200106,1082428314015015010,2,1082428314015,20.1091,1,1082,0.197931,17.2008,14.225551,17.0292,0.206692,100.0,0.013342097,0.0334,61.6237938,49.2524498,0.471429,t17_f5_c3,17.0237,0.0387,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58837.22879630001,1083228794015015008,1,1083228794015,20.3364,1,1083,0.483172,18.5374,16.793774,18.5957,0.115474,0.00601954,0.02317576,0.0683,61.6236889,49.2524612,0.87,t17_f5_c3,18.6134,0.086,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58838.22760420013,1084227604015015004,1,1084227604015,19.248,1,1084,0.636943,18.5529,16.796867,18.4828,0.19857,0.032382805,0.039400373,0.1656,61.6236238,49.2524761,0.811429,t17_f5_c3,18.4224,0.1994,False,True,False,bulk_1.0.0,0.0,1.092224254015015e+18,,,ZTF19adbqepm
ztf,58846.22425930016,1092224254015015007,1,1092224254015,20.56221,1,1092,1.6213481,19.576626,,19.4759,0.15851255,,,0.1415,61.6232081,49.2524038,0.80142856,t17_f5_c3,19.5448,0.1873,False,False,True,bulk_1.0.0,0.0,1.118205214015015e+18,0.9339523,742120140.0,ZTF19adbqepm
