tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.562326400075,2597562326215010020,2,2597562326215,19.295296,-1,2597,0.71102434,18.366636,15.662424,18.5202,0.16126643,100.0,0.013361623,0.1647,298.7127605,24.8095774,0.68714285,t17_f5_c3,0.9791161,18.427,0.1906,1637120262.0,True,True,False,23.12.x,0.0,,ZTF19adfavsy
ztf,60496.19280089997,2742192806215015021,2,2742192806215,19.8065,1,2742,0.364899,17.1009,15.3376465,17.1605,0.080676,0.008158565,0.01590167,0.0351,298.7127856,24.8097056,0.874286,t17_f5_c3,,17.1541,0.0426,,False,True,False,24.5.1,0.0,2.742461286215015e+18,ZTF19adfavsy
ztf,60496.19327550009,2742193276215015015,2,2742193276215,20.14595,1,2742,0.3157061,17.102724,15.338005,17.0874,0.08065478,0.008100907,0.015876051,0.0297,298.7127239,24.8096859,0.8142857,t17_f5_c3,0.999303,17.0549,0.0347,1637120262.0,True,True,False,24.5.1,0.0,,ZTF19adfavsy
ztf,60496.193738400005,2742193736215015028,2,2742193736215,20.192007,1,2742,0.29616934,17.264997,15.368088,17.1646,0.052842174,100.0,0.009209088,0.0311,298.7127523,24.8097019,0.85142857,t17_f5_c3,0.99999976,17.1683,0.0376,1637120262.0,True,True,False,24.5.1,0.0,,ZTF19adfavsy
ztf,60496.194213000126,2742194216215015030,2,2742194216215,20.209476,1,2742,0.3475423,17.152605,15.347644,17.1173,0.088817224,0.009697664,0.016846621,0.0299,298.7127395,24.8096808,0.8242857,t17_f5_c3,0.9999991,17.1191,0.0359,1637120262.0,True,True,False,24.5.1,0.0,,ZTF19adfavsy
ztf,60496.19468750013,2742194686215015035,2,2742194686215,20.1316,1,2742,0.534691,16.9738,15.311389,17.054,0.121197,0.022575442,0.02621364,0.0291,298.712793,24.8096467,0.668571,t17_f5_c3,,17.0437,0.0348,,False,True,False,24.5.1,0.0,2.742461286215015e+18,ZTF19adfavsy
ztf,60496.195162000135,2742195166215015016,2,2742195166215,20.178446,1,2742,0.5358003,17.170843,15.35108,17.2283,0.037921917,100.0,0.007095533,0.0333,298.7127806,24.8096384,0.75714284,t17_f5_c3,0.9999602,17.2292,0.0402,1637120262.0,True,True,False,24.5.1,0.0,,ZTF19adfavsy
ztf,60496.195162000135,2742195166215015017,2,2742195166215,20.1784,1,2742,0.914626,17.129,15.343128,17.4902,0.109078,0.015974645,0.02105661,0.0404,298.7128841,24.8095748,0.564286,t17_f5_c3,,17.5073,0.05,,False,True,False,24.5.1,0.0,2.742461286215015e+18,ZTF19adfavsy
ztf,60496.19562500017,2742195626215015017,2,2742195626215,20.197636,1,2742,0.47117844,17.142754,15.345769,17.1266,0.09876352,0.012923531,0.018871332,0.0302,298.7127885,24.8096631,0.7785714,t17_f5_c3,0.99998003,17.1374,0.0366,1637120262.0,True,True,False,24.5.1,0.0,,ZTF19adfavsy
ztf,60496.19609950017,2742196096215015021,2,2742196096215,20.16501,1,2742,0.65361995,17.088388,15.335168,17.1398,0.034977715,100.0,0.006958303,0.0308,298.712796,24.8096087,0.7942857,t17_f5_c3,0.999998,17.1399,0.037,1637120262.0,True,True,False,24.5.1,0.0,,ZTF19adfavsy
