tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59671.42964120023,1917429645815015006,1,1917429645815,20.8123,1,1917,0.638477,20.4724,19.3141,19.9192,0.247214,0.08305921,0.085065365,0.1773,181.4443603,43.0762633,0.598571,t17_f5_c3,20.1181,0.2708,False,True,False,correction_1.0.6,0.0,1.924324365815015e+18,,,ZTF19adhhpff
ztf,59674.38226850005,1920382265815015007,1,1920382265815,20.6451,1,1920,0.556557,20.4376,19.301998,20.317,0.215832,0.07362916,0.07583603,0.2769,181.4443462,43.0763307,0.942857,t17_f5_c3,20.1981,0.317,False,True,False,correction_1.0.6,0.0,1.924324365815015e+18,,,ZTF19adhhpff
ztf,59676.32722220011,1922327225815015006,1,1922327225815,20.1569,1,1922,0.288261,20.2187,19.219961,20.0878,0.271784,0.10700799,0.10832496,0.2386,181.4441546,43.0762505,0.595714,t17_f5_c3,20.169,0.3283,False,True,False,correction_1.0.6,0.0,1.924324365815015e+18,,,ZTF19adhhpff
ztf,59678.32436340023,1924324365815015003,1,1924324365815,20.476276,1,1924,0.5825893,20.192078,19.209272,20.0396,0.20756476,0.08227939,0.08395211,0.2787,181.4442484,43.0761897,0.8742857,t17_f5_c3,20.4593,0.5243,True,True,False,correction_1.0.6,0.0,,0.99994206,715120158.0,ZTF19adhhpff
ztf,59693.233981499914,1939233985815015005,1,1939233985815,20.3965,1,1939,0.223276,20.0508,19.1499,20.1144,0.214228,0.092092976,0.093436435,0.2655,181.4442122,43.0763523,0.95,t17_f5_c3,20.1805,0.3605,False,True,False,correction_1.0.6,0.0,1.961222385815015e+18,,,ZTF19adhhpff
ztf,59697.26621530019,1943266215815015010,1,1943266215815,20.9309,1,1943,0.373713,20.1667,19.198936,20.0232,0.135932,0.053243216,0.055746336,0.177,181.4442681,43.0762957,0.898571,t17_f5_c3,20.0022,0.2207,False,True,False,correction_1.0.6,0.0,1.961222385815015e+18,,,ZTF19adhhpff
ztf,59699.24540509982,1945245405815015008,1,1945245405815,20.715,1,1945,0.231595,20.2871,19.24671,20.2754,0.184216,0.06851914,0.07065962,0.2625,181.4442103,43.0762988,0.947143,t17_f5_c3,20.4744,0.4019,False,True,False,correction_1.0.6,0.0,1.961222385815015e+18,,,ZTF19adhhpff
ztf,59701.30478010001,1947304785815015006,1,1947304785815,20.504,1,1947,0.455058,20.1629,19.197376,20.0405,0.218671,0.0883366,0.08986316,0.2033,181.4442774,43.0762584,0.731429,t17_f5_c3,19.9646,0.2418,False,True,False,correction_1.0.6,0.0,1.961222385815015e+18,,,ZTF19adhhpff
ztf,59701.34099540021,1947340995815015008,1,1947340995815,20.4392,1,1947,0.451658,20.1758,19.20266,20.1805,0.220585,0.08847705,0.090016,0.2416,181.4442997,43.0763631,0.89,t17_f5_c3,20.1556,0.3011,False,True,False,correction_1.0.6,0.0,1.961222385815015e+18,,,ZTF19adhhpff
ztf,59707.22015050007,1953220155815015005,2,1953220155815,20.0871,1,1953,0.468753,20.3939,19.283243,20.162,0.349729,0.12526648,0.12573877,0.3369,181.444294,43.0763341,0.742857,t17_f5_c3,20.0231,0.3798,False,True,False,correction_1.0.6,0.0,1.961222385815015e+18,,,ZTF19adhhpff
ztf,59707.262002300005,1953262005815015005,2,1953262005815,20.2599,1,1953,0.445407,20.1162,19.175047,20.3164,0.263338,0.11023601,0.11067567,0.3682,181.4442858,43.0763313,0.892857,t17_f5_c3,20.2055,0.4256,False,True,False,correction_1.0.6,0.0,1.961222385815015e+18,,,ZTF19adhhpff
