tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59957.30968749989,2203309681915015012,2,2203309681915,19.5833,1,2203,0.136741,15.6513,13.678457,15.755,0.06709,100.0,0.010902364,0.0143,115.2282409,-25.8453316,0.797143,t17_f5_c3,15.7381,0.0164,False,True,False,1.1.6,0.0,2.230231441915015e+18,,,ZTF19admdbdv
ztf,59966.31571759982,2212315711915015014,1,2212315711915,19.9054,1,2212,0.325782,16.6652,13.84684,16.6718,0.071933,100.0,0.0053651826,0.0263,115.228148,-25.845392,0.68,t17_f5_c3,16.6842,0.0296,False,True,False,1.1.6,0.0,2.230231441915015e+18,,,ZTF19admdbdv
ztf,59968.27289350005,2214272891915015052,2,2214272891915,19.6618,1,2214,0.107841,15.7726,13.69727,15.6915,0.078656,100.0,0.01163054,0.0116,115.2282267,-25.845361,0.548571,t17_f5_c3,15.6754,0.013,False,True,False,1.1.6,0.0,2.230231441915015e+18,,,ZTF19admdbdv
ztf,59969.332939799875,2215332931915015029,2,2215332931915,19.613,1,2215,0.068316,15.7131,13.688264,15.7327,0.079107,100.0,0.012254071,0.0125,115.2282211,-25.8453399,0.644286,t17_f5_c3,15.7299,0.0142,False,True,False,1.1.6,0.0,2.230231441915015e+18,,,ZTF19admdbdv
ztf,59972.274687500205,2218274681915015021,2,2218274681915,19.7081,1,2218,0.17718,15.7623,13.695741,15.7899,0.067045,100.0,0.009994083,0.0132,115.2282337,-25.8453801,0.712857,t17_f5_c3,15.7817,0.015,False,True,False,1.1.6,0.0,2.230231441915015e+18,,,ZTF19admdbdv
ztf,59980.25296299998,2226252961915015015,1,2226252961915,18.9217,1,2226,0.277687,16.8415,13.859046,16.9143,0.090165,100.0,0.005781714,0.0583,115.228204,-25.8453855,0.667143,t17_f5_c3,16.8453,0.0675,False,True,False,1.1.6,0.0,2.230231441915015e+18,,,ZTF19admdbdv
ztf,59980.273043999914,2226273041915015012,2,2226273041915,19.0952,1,2226,0.139252,15.7756,13.697713,15.7513,0.021829,100.0,0.0032201712,0.019,115.2282276,-25.8453653,0.777143,t17_f5_c3,15.7486,0.0232,False,True,False,1.1.6,0.0,2.230231441915015e+18,,,ZTF19admdbdv
ztf,59980.273043999914,2226273041915015015,2,2226273041915,19.0952,1,2226,0.087403,15.7234,13.689854,16.46,0.067614,100.0,0.010390054,0.0345,115.2281993,-25.8453596,0.578571,t17_f5_c3,16.4066,0.041,False,True,False,1.1.6,0.0,2.230231441915015e+18,,,ZTF19admdbdv
ztf,59984.23144679982,2230231441915015035,1,2230231441915,18.877068,1,2230,0.7646803,16.344294,13.819344,16.5297,0.052668296,100.0,0.0051471773,0.0327,115.2282557,-25.8451045,0.66714287,t17_f5_c3,16.5274,0.0392,True,True,False,1.1.6,0.0,,0.9885276,260120119.0,ZTF19admdbdv
ztf,60013.231377299875,2259231371915015015,2,2259231371915,19.2601,1,2259,0.176082,15.736,13.69178,15.8209,0.056899,100.0,0.00865798,0.0169,115.2282595,-25.8453428,0.784286,t17_f5_c3,15.8249,0.0202,False,True,False,1.1.6,0.0,2.276151161915015e+18,,,ZTF19admdbdv
ztf,60013.252419000026,2259252411915015015,1,2259252411915,18.7707,1,2259,1.23932,16.9418,13.865207,16.7471,0.068603,100.0,0.004033724,0.046,115.2285625,-25.8454315,0.605714,t17_f5_c3,16.6889,0.0533,False,True,False,1.1.6,0.0,2.276151161915015e+18,,,ZTF19admdbdv
ztf,60020.2338657002,2266233861915015018,2,2266233861915,19.8264,1,2266,0.279583,15.9864,13.726352,15.9181,0.024404,100.0,0.0030439808,0.0151,115.2282189,-25.8454171,0.758571,t17_f5_c3,15.9154,0.0172,False,True,False,1.1.6,0.0,2.276151161915015e+18,,,ZTF19admdbdv
ztf,60030.15116900019,2276151161915015010,1,2276151161915,19.868803,1,2276,0.8723054,16.79384,13.8559265,16.8769,0.0424333,100.0,0.0028349222,0.0331,115.228353,-25.8451084,0.45857143,t17_f5_c3,16.9,0.038,True,True,False,1.1.6,0.0,,0.73215663,260120119.0,ZTF19admdbdv
ztf,60251.48057870008,2497480571915015030,2,2497480571915,19.2548,1,2497,0.466681,16.2445,13.75539,16.288,0.077089,100.0,0.0077866134,0.0229,115.2283269,-25.8452728,0.557143,t17_f5_c3,16.2666,0.0265,False,True,False,1.2.1,0.0,2.500499281915015e+18,,,ZTF19admdbdv
ztf,60252.50407409994,2498504071915015021,2,2498504071915,19.6596,1,2498,0.254255,15.8656,13.710529,16.289,0.122597,100.0,0.01684426,0.0214,115.2281222,-25.8453238,0.588571,t17_f5_c3,16.2705,0.0245,False,True,False,1.2.1,0.0,2.500499281915015e+18,,,ZTF19admdbdv
ztf,60254.499282400124,2500499281915015009,2,2500499281915,19.778597,1,2500,0.67883223,16.397577,13.769907,16.3742,0.07285539,100.0,0.006477294,0.0218,115.2282403,-25.8451522,0.5328571,t17_f5_c3,16.366,0.0252,True,True,False,1.2.1,0.0,,0.99951386,260120219.0,ZTF19admdbdv
ztf,60324.27262730012,2570272621915015015,2,2570272621915,19.8686,1,2570,0.460055,16.4606,13.775365,16.5064,0.085305,100.0,0.0071925125,0.0238,115.2283444,-25.8453746,0.707143,t17_f5_c3,16.4931,0.0268,False,True,False,23.12.x,0.0,2.587294011915015e+18,,,ZTF19admdbdv
ztf,60341.29401620012,2587294011915015013,2,2587294011915,19.786896,1,2587,0.48189005,16.59607,13.786156,16.6076,0.14611165,100.0,0.010982964,0.0271,115.2281992,-25.8452043,0.49857143,t17_f5_c3,16.6102,0.0313,True,True,False,23.12.x,0.0,,0.38779086,260120219.0,ZTF19admdbdv
ztf,60368.253564800136,2614253561915015016,2,2614253561915,19.356318,1,2614,1.0313574,16.617085,13.787722,16.6617,0.06268344,100.0,0.004628153,0.0365,115.2281587,-25.845052,0.65,t17_f5_c3,16.671,0.0443,True,True,False,23.12.x,0.0,,0.96762115,260120219.0,ZTF19admdbdv
ztf,60694.30787040014,2940307871915015035,2,2940307871915,19.7757,1,2940,0.142217,16.5781,13.784796,16.8571,0.172981,100.0,0.013203123,0.0353,115.2281912,-25.8453006,0.445714,t17_f5_c3,16.891,0.0423,False,True,False,26.0.1,0.0,2.968233571915015e+18,,,ZTF19admdbdv
ztf,60722.233576400205,2968233571915015031,2,2968233571915,18.480629,1,2968,0.5208267,16.695644,13.793332,16.727,0.10212281,100.0,0.0070501394,0.0659,115.228224,-25.845195,0.61,t17_f5_c3,16.7123,0.0807,True,True,False,26.0.1,0.0,,0.99993336,260120219.0,ZTF19admdbdv
ztf,61057.34671299998,3303346711915015076,2,3303346711915,19.287561,1,3303,1.0544977,16.630136,13.78868,16.852,0.09020841,100.0,0.006586648,0.0378,115.2283539,-25.8450775,0.5485714,t17_f5_c3,16.8365,0.044,True,True,False,27.5.7a32.dev1,0.0,,0.9989965,260120219.0,ZTF19admdbdv
