tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60134.47706020018,2380477061915015005,2,2380477061915,19.5279,1,2380,0.663488,18.8163,16.558966,18.7072,0.181711,0.017897245,0.022722043,0.1907,67.428764,39.0821059,0.5,t17_f5_c3,18.5529,0.2095,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60135.47712960001,2381477121915015001,2,2381477121915,19.4502,1,2381,0.259722,18.2647,16.47261,18.2136,0.071384,0.0045354324,0.013701402,0.1193,67.4287662,39.0823461,0.577143,t17_f5_c3,18.1519,0.1421,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60135.478090300225,2381478093015015002,2,2381478093015,19.5829,1,2381,0.239422,18.3784,16.50505,18.4974,0.117948,0.009160503,0.021006336,0.1514,67.4288659,39.0823023,0.945714,t17_f5_c3,18.7436,0.2392,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60135.47951389989,2381479511915015002,2,2381479511915,19.443,1,2381,0.251611,18.3608,16.490408,18.4503,0.109868,0.014568547,0.0196207,0.1577,67.4288254,39.0822176,0.961429,t17_f5_c3,18.4202,0.1941,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60135.480486100074,2381480483015015001,2,2381480483015,19.5182,1,2381,0.213941,18.3638,16.502436,18.2705,0.126584,0.012804755,0.022794649,0.1312,67.4288428,39.0822433,0.81,t17_f5_c3,18.1541,0.149,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60135.481909700204,2381481901915015003,2,2381481901915,19.3668,1,2381,0.470434,18.3141,16.48192,18.08,0.109613,0.01552678,0.020276349,0.1222,67.4287677,39.0821612,0.664286,t17_f5_c3,18.0859,0.1558,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60135.48430560017,2381484301915015002,2,2381484301915,19.1462,1,2381,0.289917,18.714,16.545633,18.2925,0.202308,0.023721427,0.027457817,0.1735,67.4287783,39.0822124,0.46,t17_f5_c3,18.1074,0.1865,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60135.4852661998,2381485263015015001,2,2381485263015,19.2727,1,2381,0.32392,18.3497,16.499884,18.6425,0.128029,0.013747254,0.023301354,0.24,67.4288978,39.082262,0.767143,t17_f5_c3,19.086,0.4601,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60135.487650500145,2381487653015015000,2,2381487653015,19.057,1,2381,0.710133,18.1612,16.463049,18.1974,0.133226,0.021134747,0.027882317,0.1938,67.4289773,39.0821505,0.632857,t17_f5_c3,18.1663,0.2404,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60136.47883100016,2382478831915015009,2,2382478831915,19.4678,1,2382,0.072315,18.6032,16.529915,18.4803,0.10866,0.008564901,0.016097387,0.1485,67.428818,39.0822666,0.644286,t17_f5_c3,18.5986,0.2089,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60136.480254599825,2382480253015015002,2,2382480253015,19.5376,1,2382,0.485045,18.3647,16.502598,18.5004,0.099653,100.0,0.017932845,0.1558,67.4289515,39.0822422,0.93,t17_f5_c3,18.6095,0.2171,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60136.48119209986,2382481191915015004,2,2382481191915,19.2897,1,2382,0.50905,18.4259,16.50175,18.128,0.106726,0.012354884,0.018138897,0.1186,67.4288132,39.0821438,0.73,t17_f5_c3,18.2575,0.1692,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60136.48261569999,2382482613015015004,2,2382482613015,19.3278,1,2382,0.661198,18.5553,16.53452,18.3195,0.211554,0.026546016,0.03289342,0.1477,67.4287607,39.0820967,0.534286,t17_f5_c3,18.1896,0.166,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60136.48356480012,2382483561915015003,2,2382483561915,19.2337,1,2382,0.049448,18.3061,16.480434,18.2355,0.142485,0.023097545,0.026515689,0.1504,67.4288286,39.0822733,0.51,t17_f5_c3,18.4911,0.2416,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60139.480509299785,2385480503015015004,2,2385480503015,19.7576,1,2385,0.588233,18.4656,16.520077,18.3696,0.117193,0.0037447503,0.019529564,0.1261,67.4289942,39.0822574,0.858571,t17_f5_c3,18.4763,0.1745,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60139.48292820016,2385482923015015002,2,2385482923015,19.6685,1,2385,0.73661,18.6663,16.55105,18.3114,0.171033,0.014327807,0.02437699,0.1305,67.4290081,39.08217,0.545714,t17_f5_c3,18.3242,0.1664,False,True,False,1.2.0,0.0,2.387471591915015e+18,,,ZTF19adnhlrb
ztf,60141.471597199794,2387471591915015004,2,2387471591915,19.907314,1,2387,0.8165492,19.312925,16.609982,19.259,0.21026826,0.009430417,0.017441997,0.2365,67.4286669,39.0820909,0.86142856,t17_f5_c3,19.4101,0.3376,True,True,False,1.2.0,0.0,,0.0155189,701120219.0,ZTF19adnhlrb
ztf,60504.481053200085,2750481053015015002,2,2750481053015,19.766304,1,2750,0.94587946,18.45348,16.33636,18.2038,0.16190895,100.0,0.023036856,0.1059,67.4280577,39.082245,0.53571427,t17_f5_c3,18.1721,0.1284,True,True,False,24.5.1,0.0,,0.00971791,702120230.0,ZTF19adnhlrb
ztf,60673.173125000205,2919173121915015026,2,2919173121915,19.933,1,2919,0.293265,18.2695,16.47353,18.081,0.086353,0.010262397,0.016515402,0.0769,67.4287674,39.0822134,0.638571,t17_f5_c3,18.0179,0.0898,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60673.216932899784,2919216931915015025,1,2919216931915,20.6515,1,2919,0.275044,18.9963,17.484772,18.9732,0.106362,0.021746632,0.02643474,0.0948,67.4287769,39.0822226,0.961429,t17_f5_c3,19.1535,0.1375,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60673.24152779998,2919241523015015010,1,2919241523015,20.5815,1,2919,0.394789,19.7631,17.587729,19.7245,0.16896,0.015777247,0.022784298,0.2048,67.4289293,39.0822308,0.902857,t17_f5_c3,19.383,0.1858,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60677.202372699976,2923202371915025018,1,2923202371915,20.4605,1,2923,0.245769,19.2331,17.53898,19.2083,0.1173,0.018909123,0.024640504,0.1259,67.4287461,39.0822493,0.957143,t17_f5_c3,19.0192,0.1312,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60679.20003469987,2925200031915015011,2,2925200031915,20.4565,1,2925,0.305827,19.5308,16.626482,19.4871,0.162786,100.0,0.011217335,0.1915,67.4287947,39.0822019,0.508571,t17_f5_c3,19.5583,0.2462,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60679.2224653,2925222461915015013,1,2925222461915,20.558,1,2925,0.396604,19.5772,17.602766,19.5414,0.163691,0.020610414,0.026561415,0.1601,67.4287197,39.082212,0.928571,t17_f5_c3,19.2714,0.1548,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60681.1962036998,2927196201915015008,1,2927196201915,20.327,1,2927,0.368827,19.5272,17.594494,19.5004,0.130899,0.0145163955,0.02207262,0.1979,67.4287967,39.0821908,0.937143,t17_f5_c3,19.1552,0.1811,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60689.160775499884,2935160771915015007,2,2935160771915,19.1311,1,2935,0.34072,18.3364,16.48601,18.2343,0.141726,0.022210503,0.025780652,0.13,67.4287284,39.0822214,0.581429,t17_f5_c3,18.2789,0.1715,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60693.246932900045,2939246931915015012,2,2939246931915,20.1167,1,2939,0.341511,18.2459,16.468977,18.2546,0.078299,0.008137371,0.015240074,0.0773,67.4288053,39.0821924,0.915714,t17_f5_c3,18.2473,0.0943,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60693.28276620014,2939282763015015005,2,2939282763015,20.2513,1,2939,0.371318,18.0188,16.431662,18.0402,0.069531,100.0,0.016118448,0.0617,67.4289113,39.08225,0.932857,t17_f5_c3,18.0693,0.0773,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60695.1764814998,2941176481915015007,1,2941176481915,20.6664,1,2941,0.277807,19.1235,17.51502,19.1705,0.104887,0.018154442,0.02384129,0.1037,67.4288008,39.0822158,0.94,t17_f5_c3,19.1818,0.1279,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
ztf,60695.20373839978,2941203733015015007,1,2941203733015,20.8001,1,2941,0.286137,19.4694,17.543177,19.2226,0.157483,0.021557862,0.026714308,0.1047,67.4288946,39.0822468,0.885714,t17_f5_c3,19.0736,0.1114,False,True,False,26.0.1,0.0,2.944233743015015e+18,,,ZTF19adnhlrb
