tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60674.523287000135,2920523280515015003,1,2920523280515,20.0314,1,2920,0.382437,19.2513,17.331797,19.4903,0.127373,0.017830221,0.021740817,0.1828,178.5580848,-26.4484391,0.921429,t17_f5_c3,19.3932,0.2111,False,True,False,26.0.1,0.0,2.936498640515015e+18,,,ZTF19adnsptj
ztf,60675.502766199876,2921502760515015002,1,2921502760515,19.7942,1,2921,0.200736,18.9409,17.272137,18.9048,0.137998,0.027237251,0.029673368,0.126,178.5581007,-26.448366,0.868571,t17_f5_c3,18.8822,0.1561,False,True,False,26.0.1,0.0,2.936498640515015e+18,,,ZTF19adnsptj
ztf,60675.523032399826,2921523030515015005,2,2921523030515,19.7599,1,2921,0.056488,18.5599,16.548738,18.5061,0.102532,0.00993728,0.016084015,0.1018,178.5581617,-26.4483405,0.925714,t17_f5_c3,18.4748,0.1246,False,True,False,26.0.1,0.0,2.936498640515015e+18,,,ZTF19adnsptj
ztf,60681.543310199864,2927543310515015001,2,2927543310515,19.8735,1,2927,0.213724,18.4898,16.537437,18.5189,0.085632,0.006665985,0.014180492,0.1055,178.5581174,-26.4483901,0.915714,t17_f5_c3,18.4676,0.1269,False,True,False,26.0.1,0.0,2.936498640515015e+18,,,ZTF19adnsptj
ztf,60687.48100689985,2933481000515015000,1,2933481000515,18.5743,1,2933,0.24989,18.9861,17.281698,19.2025,0.306375,0.06263537,0.06375181,0.355,178.5581232,-26.4482988,0.57,t17_f5_c3,19.1042,0.4158,False,True,False,26.0.1,0.0,2.936498640515015e+18,,,ZTF19adnsptj
ztf,60687.503865700215,2933503860515015006,2,2933503860515,18.7395,1,2933,0.564354,18.2199,16.487846,18.6202,0.174537,0.033324894,0.035405137,0.1761,178.5581645,-26.4485141,0.647143,t17_f5_c3,18.5736,0.2152,False,True,False,26.0.1,0.0,2.936498640515015e+18,,,ZTF19adnsptj
ztf,60688.459039399866,2934459030515015003,1,2934459030515,18.5342,1,2934,1.37827,18.6347,17.198618,19.1766,0.236936,0.062158056,0.06312452,0.4264,178.558256,-26.4487355,0.485714,t17_f5_c3,18.9271,0.4348,False,True,False,26.0.1,0.0,2.936498640515015e+18,,,ZTF19adnsptj
ztf,60688.50232640002,2934502320515015000,2,2934502320515,18.7238,1,2934,0.136792,18.6396,16.56086,18.3694,0.202186,0.026919132,0.02980264,0.1622,178.5581881,-26.4483195,0.655714,t17_f5_c3,18.2823,0.1913,False,True,False,26.0.1,0.0,2.936498640515015e+18,,,ZTF19adnsptj
ztf,60690.498645800166,2936498640515015000,2,2936498640515,18.802584,1,2936,0.88803697,18.428968,16.527126,18.8121,0.1749154,0.027697142,0.030345265,0.2379,178.5582883,-26.4485826,0.61285716,t17_f5_c3,18.6965,0.2734,True,True,False,26.0.1,0.0,,0.9999906,269120205.0,ZTF19adnsptj
ztf,61037.50111109996,3283501110515015001,1,3283501110515,19.2349,1,3283,0.433476,18.7968,17.239496,19.3528,0.198792,0.04596839,0.047367115,0.2074,178.5581263,-26.4482418,0.538571,t17_f5_c3,19.3377,0.2602,False,True,False,27.5.7a32.dev1,0.0,3.298524490515015e+18,,,ZTF19adnsptj
ztf,61037.54344910011,3283543440515015002,2,3283543440515,18.9232,1,3283,1.30498,18.355,16.513926,18.6416,0.1834,0.031340595,0.03364884,0.1389,178.5583212,-26.4486976,0.388571,t17_f5_c3,18.6805,0.1825,False,True,False,27.5.7a32.dev1,0.0,3.298524490515015e+18,,,ZTF19adnsptj
ztf,61049.482152800076,3295482150515015002,2,3295482150515,18.4887,1,3295,1.09115,18.3532,16.513596,18.5868,0.208379,0.036272705,0.038283538,0.1675,178.5584862,-26.4482323,0.42,t17_f5_c3,18.4334,0.1857,False,True,False,27.5.7a32.dev1,0.0,3.298524490515015e+18,,,ZTF19adnsptj
ztf,61052.47981479997,3298479810515015001,2,3298479810515,19.126148,1,3298,0.8081486,18.363035,16.515396,18.3714,0.14347416,0.023112353,0.026164843,0.1013,178.5583049,-26.4485492,0.57714283,t17_f5_c3,18.3785,0.129,True,True,False,27.5.7a32.dev1,0.0,,0.9956982,269120205.0,ZTF19adnsptj
ztf,61052.5244907001,3298524490515015000,1,3298524490515,19.006205,1,3298,0.5811954,18.766232,17.232134,18.7756,0.16912971,0.03957493,0.04116998,0.1371,178.5583137,-26.4484521,0.43142858,t17_f5_c3,18.6439,0.1548,True,True,False,27.5.7a32.dev1,0.0,,0.9730566,269120105.0,ZTF19adnsptj
