tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58986.379791699816,1232379795915015006,1,1232379795915,20.6538,1,1232,0.446026,20.2575,18.274431,20.4218,0.231362,0.035053924,0.037244696,0.3282,237.9939775,-7.1601889,0.968571,t17_f5_c3,20.4497,0.4273,False,True,False,bulk_1.0.0,0.0,1.241295175915015e+18,,,ZTF20aadzefe
ztf,58995.29517359985,1241295175915015005,1,1241295175915,20.520115,1,1241,0.39055014,20.19885,18.264772,20.0456,0.20743099,0.03263058,0.034933534,0.239,237.9939936,-7.1601204,0.94142854,t17_f5_c3,20.1574,0.3361,True,True,False,bulk_1.0.0,0.0,0.0,0.9999999,378120159.0,ZTF20aadzefe
ztf,59039.19398149988,1285193985915015004,1,1285193985915,20.3466,1,1285,0.111556,20.195,18.264124,20.4764,0.262933,0.04262584,0.044411406,0.4459,237.993913,-7.160119,0.955714,t17_f5_c3,20.5081,0.5862,False,True,False,bulk_1.0.0,0.0,1.288194205915015e+18,,,ZTF20aadzefe
ztf,59039.23136569979,1285231365915015004,2,1285231365915,20.4192,1,1285,0.531138,20.0268,17.98614,19.7897,0.262969,0.037135728,0.040145826,0.2467,237.9939206,-7.160258,0.874286,t17_f5_c3,20.0961,0.416,False,True,False,bulk_1.0.0,0.0,1.288194205915015e+18,,,ZTF20aadzefe
ztf,59042.19420140004,1288194205915015007,1,1288194205915,20.541613,1,1288,0.3389163,20.111877,18.24963,20.1713,0.20568982,0.03490542,0.03700952,0.2854,237.993958,-7.1601638,0.94714284,t17_f5_c3,20.421,0.456,False,True,False,bulk_1.0.0,0.0,1.291252185915015e+18,0.99999416,378120159.0,ZTF20aadzefe
ztf,59045.25218749978,1291252185915015002,1,1291252185915,20.521019,1,1291,0.5896474,20.105322,18.248447,20.485,0.21586022,0.03704756,0.039032154,0.3703,237.9940277,-7.1601881,0.93,t17_f5_c3,20.1531,0.3474,True,True,False,bulk_1.0.0,0.0,0.0,0.99999434,378120159.0,ZTF20aadzefe
ztf,59265.52327550016,1511523275915015003,2,1511523275915,20.022,1,1511,0.421345,20.0644,17.991796,19.8841,0.257836,0.035011206,0.038221017,0.2893,237.9938646,-7.1602299,0.917143,t17_f5_c3,19.7616,0.3296,False,True,False,correction_0.0.1,0.0,,,,ZTF20aadzefe
ztf,59267.525590300094,1513525595915015002,1,1513525595915,20.1563,1,1513,0.319126,20.2005,18.26505,20.0981,0.291708,0.047451653,0.049064606,0.2844,237.9938732,-7.160191,0.908571,t17_f5_c3,20.0632,0.3511,False,True,False,correction_0.0.1,0.0,,,,ZTF20aadzefe
ztf,59269.505115699954,1515505115915015003,2,1515505115915,20.0826,1,1515,0.390427,19.8835,17.963001,20.0651,0.259257,0.04161376,0.044211127,0.4111,237.993953,-7.1602032,0.914286,t17_f5_c3,20.3166,0.6624,False,True,False,correction_0.0.1,0.0,,,,ZTF20aadzefe
ztf,59280.40062499978,1526400625915015003,1,1526400625915,19.929,1,1526,0.636918,20.0401,18.236359,20.2159,0.277996,0.051371202,0.05278885,0.4025,237.9937114,-7.160052,0.89,t17_f5_c3,20.2264,0.5192,False,True,False,correction_0.0.1,0.0,,,,ZTF20aadzefe
ztf,59280.44115740014,1526441155915015005,2,1526441155915,19.9822,1,1526,0.420595,20.0494,17.98956,19.9466,0.225685,0.030195504,0.03385061,0.3344,237.9940005,-7.1600518,0.954286,t17_f5_c3,20.0097,0.4524,False,True,False,correction_0.0.1,0.0,,,,ZTF20aadzefe
ztf,59291.37872690009,1537378725915015005,2,1537378725915,20.358805,1,1537,0.2900821,20.106749,17.99797,20.0704,0.20688081,0.025340063,0.02966259,0.3116,237.9939455,-7.1601781,0.94142854,t17_f5_c3,20.3965,0.5348,True,True,False,correction_0.0.1,0.0,,0.999888,378120259.0,ZTF20aadzefe
ztf,59306.35638889996,1552356385915015002,1,1552356385915,19.4789,1,1552,0.040216,19.7062,18.16455,19.0046,0.281869,0.06718179,0.0681378,0.2515,237.9938774,-7.1601104,0.551429,t17_f5_c3,19.0581,0.3387,False,True,False,correction_0.0.1,0.0,,,,ZTF20aadzefe
ztf,59306.47799770022,1552477995915015005,2,1552477995915,19.7392,1,1552,0.633835,19.7677,17.94236,19.468,0.30367,0.05459715,0.056528315,0.3324,237.9939333,-7.1602868,0.871429,t17_f5_c3,19.4535,0.4202,False,True,False,correction_0.0.1,0.0,,,,ZTF20aadzefe
ztf,59308.37725690007,1554377255915015003,1,1554377255915,20.224854,1,1554,0.13594246,19.761665,18.177702,19.9736,0.19728749,0.044400204,0.04586848,0.2481,237.9939007,-7.1601373,0.91571426,t17_f5_c3,20.2731,0.4156,True,True,False,correction_0.0.1,0.0,,0.9999997,378120159.0,ZTF20aadzefe
ztf,59308.44099539984,1554440995915015006,2,1554440995915,20.238718,1,1554,0.06719087,19.892984,17.964613,19.8275,0.16960464,0.024513185,0.028713716,0.2715,237.9938978,-7.1601319,0.9342857,t17_f5_c3,19.8105,0.3408,True,True,False,correction_0.0.1,0.0,,0.99993074,378120259.0,ZTF20aadzefe
ztf,59310.41961809993,1556419615915015008,1,1556419615915,20.498154,1,1556,0.08114175,19.832586,18.193783,19.8346,0.14828958,0.030625261,0.032778505,0.1918,237.9938758,-7.160123,0.95428574,t17_f5_c3,19.8998,0.2578,True,True,False,correction_0.0.1,0.0,,0.9999999,378120159.0,ZTF20aadzefe
