tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58853.5457175998,1099545712215015008,2,1099545712215,20.4784,1,1099,0.885328,20.6853,19.501993,20.4839,0.316861,0.10227604,0.106548116,0.3925,178.8936573,3.4031088,0.621429,t17_f5_c3,20.4527,0.4888,False,True,False,bulk_1.0.0,0.0,1.119398922215015e+18,,,ZTF20aahgniq
ztf,58873.39892360009,1119398922215015009,1,1119398922215,20.438501,1,1119,0.6136927,20.07692,19.248402,20.2639,0.19332023,0.08793971,0.090130165,0.2966,178.893564,3.4030142,0.8314286,t17_f5_c3,20.3749,0.42,False,True,False,bulk_1.0.0,0.0,1.122506632215015e+18,0.999643,472120122.0,ZTF20aahgniq
ztf,58873.50688660005,1119506882215015008,2,1119506882215,20.496746,1,1119,0.60329294,20.349724,19.37722,20.2377,0.2123517,0.08251782,0.08670708,0.3122,178.8935709,3.4030899,0.7285714,t17_f5_c3,20.4952,0.5061,False,True,False,bulk_1.0.0,0.0,1.122349972215015e+18,0.99638677,472120222.0,ZTF20aahgniq
ztf,58876.349976900034,1122349972215015004,2,1122349972215,20.443142,1,1122,0.35725296,20.20652,19.31645,20.086,0.21578343,0.09166367,0.09505828,0.2912,178.8935082,3.4031166,0.86142856,t17_f5_c3,19.793,0.2849,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,0.9995892,472120222.0,ZTF20aahgniq
ztf,58876.50663190009,1122506632215015004,1,1122506632215,20.562824,1,1122,0.81837654,20.155363,19.28427,20.0754,0.17919022,0.07769293,0.080329865,0.2349,178.8936607,3.4030818,0.69,t17_f5_c3,20.5223,0.4523,True,True,False,bulk_1.0.0,0.0,0.0,0.9978907,472120122.0,ZTF20aahgniq
ztf,58876.50663190009,1122506632215025005,1,1122506632215,20.5635,1,1122,0.814371,20.1452,19.279703,20.0208,0.17468,0.07604247,0.07871253,0.2233,178.8936584,3.4030766,0.695714,t17_f5_c3,20.4201,0.4115,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,,,ZTF20aahgniq
ztf,58879.46295139985,1125462952215015004,1,1125462952215,20.0563,1,1125,0.893425,20.0505,19.236004,20.1368,0.223105,0.103543594,0.10536851,0.2701,178.8936381,3.4029805,0.56,t17_f5_c3,19.948,0.2905,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,,,ZTF20aahgniq
ztf,58883.45980319986,1129459802215015007,1,1129459802215,20.0797,1,1129,1.07184,20.1919,19.300497,19.7901,0.261242,0.11305978,0.114942834,0.1946,178.8936247,3.4028945,0.334286,t17_f5_c3,20.1731,0.3536,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,,,ZTF20aahgniq
ztf,58883.50223380001,1129502232215015004,2,1129502232215,19.7554,1,1129,0.656475,19.925,19.183369,20.1752,0.274724,0.13695455,0.1387537,0.3721,178.8935626,3.4030084,0.501429,t17_f5_c3,20.1815,0.4798,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,,,ZTF20aahgniq
ztf,58887.42306709988,1133423062215015001,1,1133423062215,19.384373,1,1133,0.34329918,19.416573,18.89064,19.2845,0.17610317,0.10755718,0.10849122,0.3573,178.8933772,3.4030493,0.89428574,t17_f5_c3,19.1141,0.3923,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,0.9999657,472120122.0,ZTF20aahgniq
ztf,58892.33251160011,1138332512215015005,2,1138332512215,19.5391,1,1138,0.378073,20.0522,19.245752,20.3481,0.308051,0.14465865,0.14656936,0.8343,178.8934938,3.4030453,0.752857,t17_f5_c3,20.3669,1.0906,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,,,ZTF20aahgniq
ztf,58895.381817100104,1141381812215015009,1,1141381812215,20.436197,1,1141,0.593055,19.967524,19.196024,19.6231,0.19371137,0.09330309,0.09518217,0.1658,178.8935704,3.403038,0.5871429,t17_f5_c3,19.4898,0.1874,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,0.99760306,472120122.0,ZTF20aahgniq
ztf,58899.3349768999,1145334972215015006,2,1145334972215,20.544123,1,1145,0.45733592,20.029903,19.235086,19.951,0.18131039,0.08400885,0.08719582,0.2424,178.8935352,3.4030935,0.79285717,t17_f5_c3,20.0834,0.3501,False,True,False,bulk_1.0.0,0.0,1.145376722215015e+18,0.9999989,472120222.0,ZTF20aahgniq
ztf,58899.37672450021,1145376722215015013,1,1145376722215,20.56439,1,1145,0.2699356,19.889196,19.156832,19.8474,0.12735055,0.06228018,0.064871654,0.1864,178.893469,3.4030643,0.8485714,t17_f5_c3,20.1132,0.3034,False,True,False,bulk_1.0.0,0.0,1.149376992215015e+18,0.9996753,472120122.0,ZTF20aahgniq
ztf,58901.380613400135,1147380612215015009,2,1147380612215,20.225636,1,1147,0.76720333,20.069202,19.253809,20.0924,0.19733867,0.090039015,0.09312247,0.2834,178.8936227,3.4031373,0.79571426,t17_f5_c3,19.9841,0.3283,False,True,False,bulk_1.0.0,0.0,1.149376992215015e+18,0.9983306,472120222.0,ZTF20aahgniq
ztf,58903.37699070014,1149376992215015005,2,1149376992215,20.347502,1,1149,0.74649155,20.075026,19.256552,19.841,0.17064421,0.07668156,0.08029753,0.2261,178.8936181,3.4031126,0.8428571,t17_f5_c3,19.9135,0.3094,False,True,False,bulk_1.0.0,0.0,1.157376812215015e+18,0.99908984,472120222.0,ZTF20aahgniq
ztf,58905.31194439996,1151311942215015005,1,1151311942215,19.949158,1,1151,0.49424332,19.79102,19.105713,19.6548,0.21522589,0.113173835,0.11449111,0.1866,178.8935704,3.4031622,0.4842857,t17_f5_c3,19.7111,0.2514,False,True,False,bulk_1.0.0,0.0,1.157376812215015e+18,0.9945811,472120122.0,ZTF20aahgniq
ztf,58906.35453699995,1152354532215025006,1,1152354532215,20.2696,1,1152,0.29732,19.8824,19.153364,19.9956,0.165113,0.08240262,0.08436589,0.2466,178.8935048,3.4030842,0.787143,t17_f5_c3,20.0704,0.3375,False,True,False,bulk_1.0.0,0.0,1.157376812215015e+18,,,ZTF20aahgniq
ztf,58906.44501159992,1152445012215025005,2,1152445012215,20.1802,1,1152,0.337323,19.9133,19.177444,19.7585,0.171709,0.08432607,0.08718684,0.262,178.8934828,3.4030498,0.855714,t17_f5_c3,19.4639,0.2561,False,True,False,bulk_1.0.0,0.0,1.157376812215015e+18,,,ZTF20aahgniq
ztf,58911.376817100216,1157376812215015003,1,1157376812215,19.918083,1,1157,0.49421865,19.735622,19.075891,19.6945,0.19303693,0.103776455,0.10513525,0.2067,178.8935219,3.4030205,0.67714286,t17_f5_c3,19.8068,0.2931,True,True,False,bulk_1.0.0,0.0,0.0,0.98012096,472120122.0,ZTF20aahgniq
ztf,58954.23039350007,1200230392215015010,2,1200230392215,20.418186,1,1200,0.63932526,20.04103,19.240423,19.9566,0.16101915,0.0733615,0.07702548,0.2585,178.8935879,3.4031107,0.8842857,t17_f5_c3,19.7406,0.2715,False,True,False,bulk_1.0.0,0.0,1.214274242215015e+18,0.9999845,472120222.0,ZTF20aahgniq
ztf,58954.27342589991,1200273422215015012,1,1200273422215,20.48914,1,1200,0.3873123,19.986197,19.20516,19.9492,0.15756033,0.07435806,0.076741844,0.215,178.893527,3.4030706,0.8157143,t17_f5_c3,20.0045,0.2891,False,True,False,bulk_1.0.0,0.0,1.214274242215015e+18,0.9933697,472120122.0,ZTF20aahgniq
ztf,58962.248749999795,1208248742215015014,1,1208248742215,20.612738,1,1208,0.59392035,20.017801,19.220438,19.7168,0.1544235,0.071547724,0.07409149,0.1704,178.8935884,3.4030667,0.6557143,t17_f5_c3,20.1357,0.3194,False,True,False,bulk_1.0.0,0.0,1.232192952215015e+18,0.9999441,472120122.0,ZTF20aahgniq
