tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58872.29572919989,1118295725615015207,2,1118295725615,19.811052,1,1118,0.5301052,17.062592,14.952234,17.0227,0.105418235,0.007912712,0.015092907,0.0358,130.5984797,7.5089691,0.46857142,t17_f5_c3,0.66913,16.9491,0.0396,465120256.0,False,True,False,bulk_1.0.0,0.0,1.121273875615015e+18,ZTF20aahnmyq
ztf,58875.27387729986,1121273875615015029,2,1121273875615,20.630281,1,1121,0.7389394,18.848022,15.085517,18.7171,0.15758413,100.0,0.0049261814,0.1004,130.5985958,7.5088032,0.5271429,t17_f5_c3,0.7012757,18.7007,0.111,465120256.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF20aahnmyq
ztf,59128.52021990018,1374520215615010073,2,1374520215615,18.914354,-1,1374,0.12975629,16.80054,15.37966,16.9883,0.034786,100.0,0.009398363,0.0694,130.5983635,7.5088218,0.49,t17_f5_c3,0.95795727,16.9845,0.0877,465120256.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF20aahnmyq
ztf,59180.54167820001,1426541675615015004,2,1426541675615,19.502228,1,1426,1.0447446,18.55875,15.075205,18.8161,0.19749194,100.0,0.007982356,0.1269,130.5986794,7.5089083,0.46571428,t17_f5_c3,0.00243032,18.6217,0.1261,465120256.0,True,True,False,bulk_1.0.0,0.0,0.0,ZTF20aahnmyq
ztf,59254.27025459986,1500270255615015023,2,1500270255615,20.6116,1,1500,1.11989,18.535,15.074234,17.6252,0.12064,100.0,0.004979493,0.0456,130.5987096,7.5088174,0.16,t17_f5_c3,,17.5791,0.0477,,False,True,False,correction_0.0.1,0.0,,ZTF20aahnmyq
ztf,59263.235324100126,1509235325615015009,2,1509235325615,19.816063,1,1509,0.39809585,18.376009,15.06719,18.561,0.13681205,100.0,0.0064952625,0.1013,130.5984727,7.5087711,0.61714286,t17_f5_c3,0.7629355,18.4539,0.1083,465120256.0,True,True,False,correction_0.0.1,0.0,,ZTF20aahnmyq
ztf,59636.328796300106,1882328795615015006,2,1882328795615,20.016808,1,1882,0.5077763,18.486526,15.07219,18.4879,0.16414224,100.0,0.0070710806,0.0968,130.5983778,7.5087057,0.5557143,t17_f5_c3,0.7728853,18.5006,0.1154,465120256.0,True,True,False,correction_1.0.6,0.0,,ZTF20aahnmyq
ztf,59640.25350689981,1886253505615015014,2,1886253505615,20.428488,1,1886,0.3956961,18.322765,15.064602,18.4913,0.18566693,100.0,0.009235689,0.0873,130.5984315,7.508951,0.41428572,t17_f5_c3,0.03701362,18.4574,0.0977,465120256.0,True,True,False,correction_1.0.6,0.0,,ZTF20aahnmyq
ztf,59908.484606499784,2154484605615015010,2,2154484605615,19.37025,1,2154,0.55296206,17.914812,15.040246,18.5299,0.11802773,100.0,0.008359064,0.1035,130.5983819,7.5090031,0.55714285,t17_f5_c3,0.9700991,18.6086,0.1334,465120256.0,True,True,False,1.1.6,0.0,,ZTF20aahnmyq
ztf,59914.42300930014,2160423005615015009,2,2160423005615,20.28908,1,2160,0.9334694,18.464542,15.071234,18.3166,0.10056233,100.0,0.0044168425,0.0755,130.5985146,7.5090801,0.78571427,t17_f5_c3,0.85185355,18.375,0.0918,465120256.0,True,True,False,1.1.6,0.0,,ZTF20aahnmyq
ztf,59971.35921300016,2217359215615015007,1,2217359215615,20.019241,1,2217,1.3937608,18.613241,15.735488,19.1362,0.14003134,100.0,0.009888357,0.1352,130.5982855,7.5092252,0.5228571,t17_f5_c3,0.9646529,19.1991,0.1717,465120156.0,True,True,False,1.1.6,0.0,,ZTF20aahnmyq
ztf,60202.51458329987,2448514585615015008,2,2448514585615,19.507397,1,2448,0.9340602,18.086538,15.051554,18.3143,0.11975486,100.0,0.007316433,0.1193,130.5981308,7.508893,0.61,t17_f5_c3,0.79712963,18.3128,0.146,465120256.0,True,True,False,1.2.1,0.0,,ZTF20aahnmyq
ztf,60751.21099539986,2997210995615015049,1,2997210995615,18.921902,1,2997,0.38056865,17.210848,15.549966,17.2701,0.059764206,0.008898666,0.012944596,0.0848,130.5983676,7.5089513,0.7828571,t17_f5_c3,0.99931973,17.3258,0.1126,465120156.0,True,True,False,26.0.1,0.0,,ZTF20aahnmyq
ztf,60760.26531249983,3006265315615015033,1,3006265315615,20.257336,1,3006,0.59344125,18.14262,15.694666,18.2534,0.100970335,100.0,0.010592833,0.0755,130.5983899,7.5090126,0.68142855,t17_f5_c3,0.99110806,18.2853,0.0931,465120156.0,True,True,False,26.0.1,0.0,,ZTF20aahnmyq
ztf,61080.473541699816,3326473545615015012,2,3326473545615,19.433472,1,3326,0.3106832,17.801266,15.031802,18.3336,0.15959144,100.0,0.012451568,0.1227,130.5984154,7.5089312,0.69285715,t17_f5_c3,0.9779576,18.3831,0.1579,465120256.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF20aahnmyq
ztf,61108.27601849986,3354276015615010034,3,3354276015615,18.880432,-1,3354,0.57636255,17.114067,14.96899,17.3787,0.114653096,100.0,0.015898468,0.096,130.5984181,7.5086867,0.6585714,t17_f5_c3,0.95604074,17.3487,0.1152,465120356.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF20aahnmyq
