tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,oid
ztf,59248.55013890006,1494550134915015005,2,1494550134915,19.3935,1,1494,0.538241,18.1664,15.692651,17.9328,0.092094,100.0,0.009434766,0.0912,268.5027015,-6.362511,0.871429,t17_f5_c3,17.8305,0.1044,False,True,False,correction_0.0.1,0.0,,,ZTF20aajdkfg
ztf,59248.553159699775,1494553154915015004,2,1494553154915,19.3974,1,1494,0.515835,17.9377,15.666879,18.0308,0.120327,100.0,0.014860536,0.1043,268.5026816,-6.3625187,0.832857,t17_f5_c3,17.9394,0.1207,False,True,False,correction_0.0.1,0.0,,,ZTF20aajdkfg
ztf,59248.55918980017,1494559184915015004,2,1494559184915,19.3715,1,1494,0.203198,18.3717,15.711986,18.0052,0.197628,0.004532423,0.017059349,0.1049,268.5025964,-6.3623505,0.762857,t17_f5_c3,17.9176,0.122,False,True,False,correction_0.0.1,0.0,,,ZTF20aajdkfg
ztf,59249.551631900016,1495551634915015010,2,1495551634915,19.3633,1,1495,0.216018,17.6921,15.633365,17.7363,0.108478,0.005591328,0.016287236,0.0746,268.5026307,-6.3624527,0.932857,t17_f5_c3,17.6902,0.0897,False,True,False,correction_0.0.1,0.0,,,ZTF20aajdkfg
ztf,59249.55460650008,1495554604915015004,2,1495554604915,19.2233,1,1495,0.279361,17.8762,15.659092,18.0466,0.149563,0.011458743,0.019408014,0.1118,268.5026642,-6.3623854,0.902857,t17_f5_c3,18.0187,0.1375,False,True,False,correction_0.0.1,0.0,,,ZTF20aajdkfg
ztf,59249.55755789997,1495557554915015004,2,1495557554915,19.3217,1,1495,0.041119,17.9134,15.663848,17.855,0.111083,100.0,0.013990285,0.0901,268.5025802,-6.3624155,0.93,t17_f5_c3,17.7708,0.1051,False,True,False,correction_0.0.1,0.0,,,ZTF20aajdkfg
ztf,59249.56053239992,1495560534915015009,2,1495560534915,19.5424,1,1495,0.315574,17.7952,15.648233,17.7728,0.068191,100.0,0.009439313,0.0733,268.5026447,-6.3624777,0.947143,t17_f5_c3,17.729,0.0881,False,True,False,correction_0.0.1,0.0,,,ZTF20aajdkfg
ztf,59250.54688660009,1496546884915015006,2,1496546884915,19.0974,1,1496,0.337306,17.3404,15.572729,17.6102,0.133496,0.021851096,0.026205923,0.0676,268.5026118,-6.3624987,0.81,t17_f5_c3,17.6334,0.0866,False,True,False,correction_0.0.1,0.0,,,ZTF20aajdkfg
ztf,59250.549895800184,1496549894915015006,2,1496549894915,19.22668,1,1496,0.9488119,17.853474,15.656116,17.5952,0.15450253,0.01314639,0.020417012,0.0726,268.5028047,-6.3625646,0.6614286,t17_f5_c3,17.5425,0.087,True,True,False,correction_0.0.1,0.0,0.9991939,382120249.0,ZTF20aajdkfg
ztf,61057.572453700006,3303572451615015000,2,3303572451615,18.272808,1,3303,1.8087093,17.608694,,17.96,0.13727455,,,0.1379,268.5030281,-6.3626961,0.47428572,t17_f5_c3,18.0033,0.1829,True,False,False,27.5.7a32.dev1,0.0,0.9738353,1427120216.0,ZTF20aajdkfg
