tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59622.550439800136,1868550435515015017,2,1868550435515,19.7043,1,1868,0.642834,17.8026,16.194817,17.9995,0.118522,0.023094412,0.026957853,0.0709,282.9624297,7.1116873,0.882857,t17_f5_c3,17.976,0.0862,False,True,False,correction_1.0.6,0.0,1.871545605515015e+18,,,ZTF20aakzqlx
ztf,59623.54903940018,1869549035515015014,2,1869549035515,19.8742,1,1869,0.350514,17.9324,16.223005,17.7846,0.093459,0.013078877,0.019358136,0.057,282.9623984,7.1117636,0.862857,t17_f5_c3,17.721,0.0666,False,True,False,correction_1.0.6,0.0,1.871545605515015e+18,,,ZTF20aakzqlx
ztf,59623.55415510014,1869554155515015013,2,1869554155515,19.7083,1,1869,0.714084,17.8287,16.200697,17.9057,0.114551,0.021413742,0.025573982,0.0696,282.9624608,7.1116787,0.844286,t17_f5_c3,17.838,0.0815,False,True,False,correction_1.0.6,0.0,1.871545605515015e+18,,,ZTF20aakzqlx
ztf,59623.55671299994,1869556715515015013,2,1869556715515,19.8576,1,1869,0.682004,17.9944,16.23556,17.9157,0.142993,0.024339609,0.02829951,0.0665,282.9624561,7.1116889,0.708571,t17_f5_c3,17.8504,0.0779,False,True,False,correction_1.0.6,0.0,1.871545605515015e+18,,,ZTF20aakzqlx
ztf,59624.54799770005,1870547995515015008,2,1870547995515,19.4992,1,1870,0.536332,17.9046,16.21719,18.0531,0.094637,0.014093006,0.02000306,0.094,282.9624543,7.1117384,0.852857,t17_f5_c3,17.9528,0.1079,False,True,False,correction_1.0.6,0.0,1.871545605515015e+18,,,ZTF20aakzqlx
ztf,59624.55055559985,1870550555515015037,2,1870550555515,19.5531,1,1870,0.799274,18.0777,16.251547,18.1175,0.106952,0.013457568,0.019894255,0.0981,282.9624718,7.1116597,0.81,t17_f5_c3,18.2472,0.1391,False,True,False,correction_1.0.6,0.0,1.871545605515015e+18,,,ZTF20aakzqlx
ztf,59624.553113400005,1870553115515015015,2,1870553115515,19.6993,1,1870,0.680009,17.8805,16.21205,17.8706,0.090305,0.013329227,0.019423684,0.0752,282.9624465,7.1116842,0.861429,t17_f5_c3,17.8348,0.0914,False,True,False,correction_1.0.6,0.0,1.871545605515015e+18,,,ZTF20aakzqlx
ztf,59624.55567129981,1870555675515015015,2,1870555675515,19.6562,1,1870,0.666518,18.1519,16.26497,18.0235,0.115704,0.0139318425,0.020350575,0.0862,282.9624447,7.1116893,0.834286,t17_f5_c3,17.9992,0.1059,False,True,False,correction_1.0.6,0.0,1.871545605515015e+18,,,ZTF20aakzqlx
ztf,59625.5456019002,1871545605515015013,2,1871545605515,19.017052,1,1871,1.1624645,18.020552,16.240686,18.1116,0.1379197,0.022501431,0.026771957,0.121,282.9624506,7.1115402,0.64,t17_f5_c3,17.9936,0.1378,True,True,False,correction_1.0.6,0.0,,0.99535036,487120255.0,ZTF20aakzqlx
ztf,59625.553321800195,1871553325515015011,2,1871553325515,19.0665,1,1871,0.80045,18.0138,16.239372,18.2678,0.147123,0.024776613,0.02870183,0.1341,282.9624484,7.111647,0.758571,t17_f5_c3,17.9977,0.1328,False,True,False,correction_1.0.6,0.0,1.873544955515015e+18,,,ZTF20aakzqlx
