tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,58895.381817100104,1141381814215015023,1,1141381814215,20.391804,1,1141,0.64818156,19.857447,17.534082,19.7845,0.1920007,0.018916002,0.02259211,0.2103,177.4793004,4.8035404,0.8842857,t17_f5_c3,0.9999436,19.8193,0.2737,472120142.0,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58895.43688660022,1141436884215015019,2,1141436884215,20.3491,1,1141,0.611865,20.0106,17.307035,20.0473,0.2647,0.012047481,0.021944655,0.3164,177.4793074,4.8035661,0.861429,t17_f5_c3,,20.2491,0.4818,,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58899.37672450021,1145376724215015041,1,1145376724215,20.49923,1,1145,0.7202967,19.716095,17.516462,19.8542,0.13938022,0.013788138,0.018380098,0.2077,177.479337,4.8035996,0.8585714,t17_f5_c3,0.9999596,19.8242,0.2539,472120142.0,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58901.380613400135,1147380614215015052,2,1147380614215,20.10748,1,1147,0.51475894,19.504887,17.25491,19.5468,0.17392571,0.013184437,0.021896416,0.1976,177.4792544,4.8036846,0.8757143,t17_f5_c3,0.99989665,19.576,0.2561,472120242.0,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58903.355509299785,1149355504215015032,1,1149355504215,20.552567,1,1149,0.34285524,19.49998,17.485378,19.8307,0.15597846,0.021340309,0.024390647,0.1994,177.4792273,4.8035902,0.8957143,t17_f5_c3,0.99984705,19.8408,0.2527,472120142.0,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58903.355509299785,1149355504215015034,1,1149355504215,20.552567,1,1149,0.89950466,19.69548,17.513721,19.8479,0.19510756,0.023176748,0.026155936,0.2021,177.4793863,4.803585,0.70285714,t17_f5_c3,0.9999897,19.8535,0.2552,472120142.0,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58903.37699070014,1149376994215015018,2,1149376994215,20.023624,1,1149,0.801275,19.502619,17.254623,19.9383,0.19928157,0.018063147,0.025134439,0.2887,177.4792946,4.8037617,0.8814286,t17_f5_c3,0.9999893,20.0138,0.3912,472120242.0,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58906.35453699995,1152354534215025023,1,1152354534215,20.1804,1,1152,0.493902,19.6817,17.511864,19.6372,0.218169,0.026980441,0.029570483,0.1994,177.4792654,4.8036649,0.874286,t17_f5_c3,,19.7938,0.2909,,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58906.44501159992,1152445014215025014,2,1152445014215,20.175,1,1152,0.658411,19.5015,17.25448,19.3516,0.181698,0.014857242,0.02293733,0.1843,177.47932,4.8036212,0.898571,t17_f5_c3,,19.2192,0.2067,,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
ztf,58908.33505789982,1154335054215015022,1,1154335054215,20.381462,1,1154,0.7742032,19.532291,17.490368,19.5251,0.12402196,0.014726398,0.018911626,0.1662,177.479342,4.8035491,0.8742857,t17_f5_c3,0.9999966,19.4887,0.2025,472120142.0,False,True,False,bulk_1.0.0,0.0,1.161445394215015e+18,ZTF20aaobzwh
