tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,59067.29197920021,1313291970415015009,2,1313291970415,20.0123,1,1313,0.065998,17.251,14.672943,17.2357,0.057688,100.0,0.005368623,0.0386,292.6332408,-5.1655156,0.827143,t17_f5_c3,17.1929,0.0443,False,True,False,bulk_1.0.0,0.0,1.327356500415015e+18,,,ZTF20aaqtugn
ztf,59067.32439809991,1313324390415015026,1,1313324390415,19.7304,1,1313,0.287223,18.633,16.0495,18.4423,0.151827,0.0035200317,0.014058836,0.1244,292.6331911,-5.1655556,0.91,t17_f5_c3,18.4309,0.1555,False,True,False,bulk_1.0.0,0.0,1.327356500415015e+18,,,ZTF20aaqtugn
ztf,59070.31803240022,1316318030415015016,1,1316318030415,20.3418,1,1316,0.395111,18.3491,16.019863,18.3423,0.104014,100.0,0.01217298,0.072,292.6332447,-5.165607,0.905714,t17_f5_c3,18.2643,0.0825,False,True,False,bulk_1.0.0,0.0,1.327356500415015e+18,,,ZTF20aaqtugn
ztf,59073.23026619991,1319230260415015019,1,1319230260415,20.8014,1,1319,0.355464,18.268,16.010052,18.1833,0.088552,100.0,0.011066736,0.0463,292.633276,-5.1655888,0.917143,t17_f5_c3,18.1691,0.0539,False,True,False,bulk_1.0.0,0.0,1.327356500415015e+18,,,ZTF20aaqtugn
ztf,59073.29914350016,1319299140415015022,2,1319299140415,20.6924,1,1319,0.167398,17.1899,14.6671095,17.1274,0.115617,100.0,0.011321546,0.0262,292.6332165,-5.1655353,0.681429,t17_f5_c3,17.1324,0.0293,False,True,False,bulk_1.0.0,0.0,1.327356500415015e+18,,,ZTF20aaqtugn
ztf,59076.315277799964,1322315270415015023,2,1322315270415,19.8918,1,1322,0.422133,17.5272,14.695879,17.3602,0.08998,100.0,0.0066315825,0.0524,292.633305,-5.1655966,0.681429,t17_f5_c3,17.3362,0.0611,False,True,False,bulk_1.0.0,0.0,1.327356500415015e+18,,,ZTF20aaqtugn
ztf,59081.2317476999,1327231740415015023,1,1327231740415,20.4412,1,1327,0.490584,18.3931,16.024921,18.3933,0.07241,100.0,0.008175734,0.0729,292.6332044,-5.1656267,0.907143,t17_f5_c3,18.4059,0.0886,False,True,False,bulk_1.0.0,0.0,1.327356500415015e+18,,,ZTF20aaqtugn
ztf,59081.35650460003,1327356500415015011,2,1327356500415,19.678497,1,1327,1.1369674,17.329695,14.68003,17.245,0.11503448,100.0,0.010022176,0.0459,292.6329911,-5.1656978,0.63857144,t17_f5_c3,17.2108,0.0531,True,True,False,bulk_1.0.0,0.0,0.0,0.52238125,437120204.0,ZTF20aaqtugn
ztf,59108.25292820018,1354252920415015014,1,1354252920415,19.5523,1,1354,0.405125,18.659,16.051882,18.4749,0.194909,0.011215702,0.01765975,0.1595,292.6331577,-5.1654209,0.76,t17_f5_c3,18.4832,0.2001,False,True,False,bulk_1.0.0,0.0,1.369252590415015e+18,,,ZTF20aaqtugn
ztf,59111.127199099865,1357127190415015023,1,1357127190415,20.5713,1,1357,0.119932,18.3271,16.017265,18.2617,0.113762,0.003021137,0.01355386,0.0595,292.6332198,-5.1655178,0.941429,t17_f5_c3,18.2387,0.0694,False,True,False,bulk_1.0.0,0.0,1.369252590415015e+18,,,ZTF20aaqtugn
ztf,59111.23381939996,1357233810415015022,2,1357233810415,20.249,1,1357,0.287234,17.2132,14.669369,17.3601,0.046606,100.0,0.0044762017,0.0396,292.6332068,-5.165569,0.691429,t17_f5_c3,17.3838,0.0473,False,True,False,bulk_1.0.0,0.0,1.369252590415015e+18,,,ZTF20aaqtugn
ztf,59111.23381939996,1357233810415015023,2,1357233810415,20.249,1,1357,0.273977,17.2061,14.668685,17.1947,0.086966,100.0,0.008402015,0.0354,292.6332102,-5.1655665,0.685714,t17_f5_c3,17.1898,0.0407,False,True,False,bulk_1.0.0,0.0,1.369252590415015e+18,,,ZTF20aaqtugn
ztf,59123.25259259995,1369252590415015011,2,1369252590415,18.97494,1,1369,1.1841575,17.274826,14.6751375,17.1291,0.17736347,100.0,0.016180383,0.0704,292.6329538,-5.1656697,0.37571427,t17_f5_c3,17.1086,0.087,False,True,False,bulk_1.0.0,0.0,1.389170790415015e+18,0.32442316,437120204.0,ZTF20aaqtugn
ztf,59125.16954859998,1371169540415015010,1,1371169540415,19.3967,1,1371,0.206761,18.5408,16.040627,18.4727,0.108523,100.0,0.010850563,0.1353,292.6331873,-5.165509,0.915714,t17_f5_c3,18.3657,0.1554,False,True,False,bulk_1.0.0,0.0,1.389170790415015e+18,,,ZTF20aaqtugn
ztf,59130.12943289988,1376129430415015045,2,1376129430415,20.3449,1,1376,0.19684,17.4936,14.693367,17.3393,0.073597,100.0,0.005581699,0.0346,292.6332049,-5.1654553,0.828571,t17_f5_c3,17.3223,0.039,False,True,False,bulk_1.0.0,0.0,1.389170790415015e+18,,,ZTF20aaqtugn
ztf,59135.123680599965,1381123680415015026,1,1381123680415,20.7271,1,1381,0.2499,18.7861,16.062803,18.6513,0.089196,100.0,0.0072615086,0.0738,292.6331749,-5.1654922,0.935714,t17_f5_c3,18.6063,0.0841,False,True,False,bulk_1.0.0,0.0,1.389170790415015e+18,,,ZTF20aaqtugn
ztf,59135.156377300154,1381156370415015028,2,1381156370415,20.2581,1,1381,0.254307,17.5196,14.695316,17.5343,0.071795,100.0,0.005325752,0.0447,292.6332309,-5.1654272,0.814286,t17_f5_c3,17.4753,0.0492,False,True,False,bulk_1.0.0,0.0,1.389170790415015e+18,,,ZTF20aaqtugn
ztf,59137.12866900023,1383128660415015010,1,1383128660415,20.6202,1,1383,0.322667,18.8063,16.064434,18.6015,0.116884,100.0,0.009354255,0.0756,292.6333296,-5.1655282,0.947143,t17_f5_c3,18.5565,0.0871,False,True,False,bulk_1.0.0,0.0,1.389170790415015e+18,,,ZTF20aaqtugn
ztf,59141.19230319979,1387192300415015040,1,1387192300415,19.4367,1,1387,0.5893,18.0939,15.986706,17.9609,0.110065,0.009205842,0.015804157,0.0895,292.6331406,-5.1656273,0.852857,t17_f5_c3,17.9496,0.111,False,True,False,bulk_1.0.0,0.0,1.389170790415015e+18,,,ZTF20aaqtugn
ztf,59143.170798600186,1389170790415015025,1,1389170790415,20.219944,1,1389,0.5472148,18.511913,16.037703,18.3834,0.095139265,100.0,0.00974262,0.0751,292.633123,-5.1653983,0.94714284,t17_f5_c3,18.395,0.0929,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,0.99956053,437120104.0,ZTF20aaqtugn
ztf,59145.12152779987,1391121520415015034,2,1391121520415,20.32178,1,1391,0.53991526,17.517723,14.695176,17.377,0.10092411,100.0,0.007498533,0.0394,292.6331135,-5.1654168,0.54285717,t17_f5_c3,17.3058,0.0431,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,0.93599206,437120204.0,ZTF20aaqtugn
ztf,59150.12472219998,1396124720415015022,2,1396124720415,19.36362,1,1396,0.57786644,17.072395,14.655025,17.0514,0.06370677,100.0,0.0068744365,0.0391,292.6330791,-5.1655199,0.7814286,t17_f5_c3,17.0489,0.0476,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,0.99755424,437120204.0,ZTF20aaqtugn
ztf,59150.15275460016,1396152750415015010,1,1396152750415,19.2867,1,1396,0.243448,18.1898,15.999966,18.1153,0.10032,0.0030158954,0.013349157,0.1054,292.6332002,-5.1654441,0.937143,t17_f5_c3,18.1898,0.1429,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,,,ZTF20aaqtugn
ztf,59152.10379630001,1398103790415015009,1,1398103790415,19.5027,1,1398,0.229784,18.1395,15.993136,17.93,0.078106,100.0,0.010817808,0.0797,292.6331853,-5.165519,0.918571,t17_f5_c3,17.8996,0.0979,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,,,ZTF20aaqtugn
ztf,59152.173194400035,1398173190415015014,2,1398173190415,19.4202,1,1398,0.253367,17.0121,14.6483555,17.0114,0.054956,100.0,0.0062304162,0.0454,292.6333069,-5.1654639,0.877143,t17_f5_c3,17.0403,0.0577,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,,,ZTF20aaqtugn
ztf,59154.163888900075,1400163880415015013,2,1400163880415,19.1367,1,1400,0.446895,17.1874,14.666864,16.7965,0.096193,100.0,0.009439065,0.041,292.633159,-5.1655922,0.708571,t17_f5_c3,16.7645,0.0496,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,,,ZTF20aaqtugn
ztf,59156.10148150008,1402101480415015024,1,1402101480415,20.0934,1,1402,0.694976,18.1717,15.99754,18.0619,0.076745,100.0,0.010360633,0.0568,292.6332483,-5.165692,0.914286,t17_f5_c3,18.0651,0.0701,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,,,ZTF20aaqtugn
ztf,59158.1106480998,1404110640415015013,2,1404110640415,19.8184,1,1404,0.596713,17.1113,14.659157,16.9038,0.052432,100.0,0.0054794787,0.0281,292.6332557,-5.1656634,0.835714,t17_f5_c3,16.8979,0.0331,False,True,False,bulk_1.0.0,0.0,1.410124590415015e+18,,,ZTF20aaqtugn
ztf,59164.124594899826,1410124590415015019,2,1410124590415,19.61437,1,1410,0.8135597,17.077505,14.655574,17.0232,0.06951884,100.0,0.0074701654,0.0333,292.6330188,-5.1655567,0.75714284,t17_f5_c3,16.9978,0.039,False,True,False,bulk_1.0.0,0.0,1.413145890415015e+18,0.9952308,437120204.0,ZTF20aaqtugn
ztf,59167.14589119982,1413145890415015014,1,1413145890415,19.568058,1,1413,0.8870558,18.069113,15.983111,18.1157,0.1101882,0.009816427,0.016133724,0.0773,292.6330175,-5.1655999,0.87142855,t17_f5_c3,18.0434,0.0903,True,True,False,bulk_1.0.0,0.0,0.0,0.99815047,437120104.0,ZTF20aaqtugn
ztf,59262.56020830013,1508560200415015017,2,1508560200415,19.0172,1,1508,0.239543,17.23,14.670972,17.2465,0.072203,100.0,0.006838235,0.061,292.633305,-5.1654746,0.812857,t17_f5_c3,17.3077,0.0801,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtugn
