tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,drb,rfid,parent_candid,oid
ztf,59248.565555599984,1494565555115015012,2,1494565555115,19.1257,1,1494,0.444206,17.2377,15.985359,17.3036,0.041381,0.0043261643,0.013057641,0.0699,299.7711791,21.1369408,0.895714,t17_f5_c3,17.2701,0.0863,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59248.56793980021,1494567935115015012,2,1494567935115,19.0915,1,1494,0.579891,17.3174,16.009882,17.3222,0.060129,0.012899693,0.018033367,0.0739,299.7711892,21.1368902,0.868571,t17_f5_c3,17.34,0.0956,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59248.57032410009,1494570325115015008,2,1494570325115,19.0221,1,1494,0.456569,17.2897,16.0015,17.2655,0.050116,0.008816371,0.01530018,0.0746,299.7711823,21.1369407,0.864286,t17_f5_c3,17.1705,0.0872,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59248.57271989994,1494572715115015019,2,1494572715115,18.8529,1,1494,0.392778,17.1763,15.965607,17.2066,0.074326,0.021155516,0.024370447,0.0744,299.7711705,21.1369544,0.908571,t17_f5_c3,17.2056,0.0948,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59249.56434029993,1495564345115015019,2,1495564345115,18.8683,1,1495,0.832881,17.2678,15.994767,17.2479,0.069041,0.017390387,0.021374408,0.0666,299.7712973,21.1369174,0.745714,t17_f5_c3,17.1715,0.0791,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59249.56672450015,1495566725115015071,2,1495566725115,18.579405,1,1495,1.2500232,17.387451,16.03042,17.3423,0.08216971,0.019734388,0.023545051,0.0844,299.771409,21.1368621,0.54,t17_f5_c3,17.3041,0.104,True,True,False,correction_0.0.1,0.0,0.99543977,591120251.0,,ZTF20aaqtvui
ztf,59249.56910880003,1495569105115015013,2,1495569105115,18.7138,1,1495,0.889506,17.3502,16.019615,17.2073,0.066955,0.014992699,0.019658439,0.0787,299.7712824,21.1368595,0.737143,t17_f5_c3,17.1747,0.0976,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59249.57150459988,1495571505115015012,2,1495571505115,18.5026,1,1495,0.659549,17.3424,16.017319,17.2536,0.079111,0.019596575,0.02334559,0.0976,299.7712248,21.1368957,0.824286,t17_f5_c3,17.2743,0.1273,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59250.5623031999,1496562305115015050,2,1496562305115,18.8086,1,1496,0.578778,17.5424,16.072607,17.335,0.095733,0.020810988,0.024725446,0.0729,299.7711237,21.1368523,0.582857,t17_f5_c3,17.3249,0.092,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59250.56468749978,1496564685115015027,2,1496564685115,18.7149,1,1496,0.742759,17.3585,16.022045,17.4229,0.082885,0.020578016,0.024204405,0.0836,299.7712697,21.1369217,0.704286,t17_f5_c3,17.367,0.1014,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59250.56706020003,1496567065115015102,2,1496567065115,18.5122,1,1496,0.683239,17.4497,16.047895,17.4565,0.080708,0.017948905,0.02219193,0.0983,299.7711009,21.1368163,0.591429,t17_f5_c3,17.4625,0.1263,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59250.56943289982,1496569435115015027,2,1496569435115,18.3822,1,1496,0.459508,17.4884,16.058401,17.5914,0.125207,0.030848442,0.033545084,0.1323,299.7710143,21.1368849,0.647143,t17_f5_c3,17.7139,0.1897,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59250.57180560008,1496571805115015020,2,1496571805115,18.1592,1,1496,0.515397,17.1337,15.951454,17.3131,0.104473,0.033074968,0.03516461,0.1216,299.7712038,21.1369412,0.674286,t17_f5_c3,17.1852,0.1386,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59251.56296300003,1497562965115015015,2,1497562965115,18.7077,1,1497,0.621332,17.2952,16.003176,17.3901,0.137423,0.0398871,0.041807078,0.0795,299.7711974,21.1368823,0.67,t17_f5_c3,17.2823,0.0919,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59251.56533560017,1497565335115015119,2,1497565335115,18.5782,1,1497,0.976764,17.4687,16.053087,17.5053,0.108289,0.026312964,0.029399443,0.0901,299.7712962,21.1368358,0.512857,t17_f5_c3,17.5018,0.1147,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59251.56770829996,1497567705115015044,2,1497567705115,18.2205,1,1497,0.386382,17.2751,15.997022,17.3611,0.132745,0.03896429,0.04090597,0.0961,299.7711159,21.1371028,0.582857,t17_f5_c3,17.2523,0.1114,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59251.570081000216,1497570085115015016,2,1497570085115,18.0679,1,1497,0.606509,17.3305,16.013794,17.6776,0.116999,0.03241372,0.03479365,0.1534,299.7712187,21.1369138,0.634286,t17_f5_c3,17.7362,0.2074,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59252.56163189979,1498561635115015015,2,1498561635115,19.8303,1,1498,0.689067,17.6842,16.107494,17.757,0.102116,0.0195234,0.02390073,0.062,299.7712403,21.1369021,0.818571,t17_f5_c3,17.7187,0.0751,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59252.56400460005,1498564005115015011,2,1498564005115,19.4517,1,1498,0.365426,17.6626,16.1024,17.8426,0.115745,0.023838105,0.027505664,0.0885,299.7711341,21.1369257,0.774286,t17_f5_c3,17.7137,0.0997,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59252.56637729984,1498566375115015012,2,1498566375115,19.0722,1,1498,0.552368,17.6986,16.110847,17.7302,0.098056,0.018023713,0.022718139,0.108,299.7712001,21.1369168,0.835714,t17_f5_c3,17.7939,0.1462,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59252.56876160018,1498568765115015010,2,1498568765115,18.9014,1,1498,0.570266,17.6646,16.102875,17.7633,0.092875,0.017241906,0.02203984,0.1312,299.7712136,21.1369255,0.832857,t17_f5_c3,17.9508,0.1994,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59252.57113429997,1498571135115015011,2,1498571135115,18.5956,1,1498,0.54581,17.7839,16.130022,17.9277,0.116185,0.021056263,0.025327887,0.1969,299.7711291,21.1368632,0.761429,t17_f5_c3,17.9232,0.2513,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59253.563796299975,1499563795115015014,2,1499563795115,19.3167,1,1499,0.727646,17.7986,16.13321,17.8713,0.095934,0.015128915,0.02069267,0.1003,299.7712453,21.136892,0.847143,t17_f5_c3,17.8288,0.1227,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59253.5662153,1499566215115015012,2,1499566215115,18.9745,1,1499,0.660553,17.8389,16.141777,17.8406,0.074119,0.006213443,0.015526736,0.1186,299.7712164,21.1368879,0.818571,t17_f5_c3,17.7493,0.1392,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59253.5686458,1499568645115015018,2,1499568645115,18.7901,1,1499,0.39939,17.7532,16.123255,17.9796,0.107942,0.019569874,0.02405538,0.1612,299.7711601,21.1369393,0.818571,t17_f5_c3,18.061,0.2222,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59253.57107640011,1499571075115015013,2,1499571075115,18.677101,1,1499,0.917661,17.96415,16.166843,17.7474,0.12898433,0.019875009,0.024638537,0.1556,299.7713241,21.1369162,0.7828571,t17_f5_c3,17.7241,0.1951,True,True,False,correction_0.0.1,0.0,0.9819442,591120251.0,,ZTF20aaqtvui
ztf,59255.565196800046,1501565195115015012,2,1501565195115,19.094,1,1501,0.833236,18.2899,16.22198,18.1313,0.130281,0.011895263,0.019396016,0.1412,299.7712256,21.1368252,0.731429,t17_f5_c3,18.0179,0.1623,False,True,False,correction_0.0.1,0.0,,,,ZTF20aaqtvui
ztf,59255.56762730004,1501567625115015020,2,1501567625115,18.960655,1,1501,1.0169553,18.177925,16.20456,17.9981,0.09299015,0.00091258605,0.015103941,0.1478,299.7713598,21.1369348,0.82,t17_f5_c3,18.0564,0.1993,True,True,False,correction_0.0.1,0.0,0.99717027,591120251.0,,ZTF20aaqtvui
ztf,61070.56943289982,3316569435115015050,2,3316569435115,18.2807,1,3316,0.357883,14.1669,14.035914,14.2789,0.019321,0.017002564,0.017125187,0.0066,299.7710996,21.1369102,0.56,t17_f5_c3,14.2477,0.0079,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61070.57200230006,3316572005115015027,2,3316572005115,18.0932,1,3316,0.280583,14.2018,14.066792,14.2879,0.016083,0.014045639,0.014202455,0.0076,299.7710674,21.1369265,0.557143,t17_f5_c3,14.2419,0.0091,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61070.57791669993,3316577915115015035,2,3316577915115,17.5055,1,3316,0.469999,14.2581,14.116355,14.303,0.012344,0.010606869,0.010833231,0.0138,299.7711267,21.1368848,0.581429,t17_f5_c3,14.2836,0.0172,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61071.56681710016,3317566815115015026,2,3317566815115,18.0755,1,3317,0.430845,14.2177,14.08082,14.2754,0.016352,0.014256593,0.014415137,0.008,299.7711001,21.1368888,0.584286,t17_f5_c3,14.2395,0.0097,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61071.571041699965,3317571045115015020,2,3317571045115,18.0034,1,3317,0.188683,14.2367,14.097551,14.2665,0.016713,0.014542333,0.014702634,0.009,299.7710656,21.1369524,0.617143,t17_f5_c3,14.2327,0.011,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61071.57662039995,3317576625115015070,2,3317576625115,17.4453,1,3317,0.412972,14.2213,14.083993,14.2937,0.019739,0.017262176,0.01739411,0.0143,299.771107,21.1368962,0.568571,t17_f5_c3,14.2528,0.0176,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61074.56881939992,3320568813115015007,2,3320568813115,18.38898,1,3320,1.0159562,15.135718,14.116393,15.0302,0.04555944,100.0,0.017817566,0.013,299.7713484,21.136935,0.58428574,t17_f5_c3,15.0079,0.0159,True,True,False,27.5.7a32.dev1,0.0,0.9968433,1637120231.0,,ZTF20aaqtvui
ztf,61074.56978010014,3320569783115015013,2,3320569783115,18.2518,1,3320,0.799721,14.958,14.043389,15.0056,0.03341,100.0,0.014389049,0.0134,299.7712331,21.1368352,0.66,t17_f5_c3,14.988,0.0165,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61074.574849499855,3320574843115015006,2,3320574843115,17.9729,1,3320,0.299584,15.043,14.079185,15.0676,0.037231,100.0,0.015324219,0.0182,299.7711353,21.1369805,0.662857,t17_f5_c3,15.0465,0.0226,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61075.56749999989,3321567493115015015,2,3321567493115,18.6554,1,3321,0.578873,15.1269,14.112936,15.0563,0.034467,100.0,0.013546215,0.0112,299.7712197,21.1369746,0.58,t17_f5_c3,15.0289,0.0135,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61075.57243059995,3321572433115015010,2,3321572433115,18.384,1,3321,0.703488,15.2298,14.152223,15.0612,0.04239,100.0,0.015712036,0.0141,299.7712498,21.1369238,0.634286,t17_f5_c3,15.0465,0.0175,False,True,False,27.5.7a32.dev1,0.0,,,3.322569173115015e+18,ZTF20aaqtvui
ztf,61076.56917819986,3322569173115015134,2,3322569173115,16.65523,1,3322,1.0465959,15.95403,14.368251,15.9197,0.124183446,0.012213468,0.028823866,0.1542,299.7713432,21.1368791,0.44714287,t17_f5_c3,15.9061,0.1951,True,True,False,27.5.7a32.dev1,0.0,0.697865,1637120231.0,,ZTF20aaqtvui
