tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60673.568669000175,2919568665315015004,2,2919568665315,19.257252,1,2919,0.4260204,17.58066,15.611701,17.657,0.076836035,100.0,0.01253088,0.0703,263.1924612,18.8507073,0.7271429,t17_f5_c3,0.999499,17.7077,0.0932,1582120253.0,True,True,False,26.0.1,0.0,,ZTF20aayyjdz
ztf,60673.56914350018,2919569145315015011,2,2919569145315,19.349655,1,2919,0.32422096,17.424292,15.584613,17.6442,0.08153265,100.0,0.014978216,0.0729,263.1923819,18.8507045,0.9042857,t17_f5_c3,0.9999992,17.6448,0.0925,1582120253.0,True,True,False,26.0.1,0.0,,ZTF20aayyjdz
ztf,60673.56960650021,2919569605315015006,2,2919569605315,19.319523,1,2919,0.3869229,17.476887,15.594086,17.7001,0.090557136,100.0,0.015988303,0.0788,263.1924942,18.8506563,0.88285714,t17_f5_c3,0.99999666,17.7095,0.1009,1582120253.0,True,True,False,26.0.1,0.0,,ZTF20aayyjdz
ztf,60674.566192099825,2920566195315015010,2,2920566195315,19.324146,1,2920,0.69193965,17.997484,15.669673,18.3381,0.17294991,0.009950815,0.02026729,0.1276,263.1922588,18.8507647,0.6842857,t17_f5_c3,0.9994794,18.3087,0.1575,1582120253.0,True,True,False,26.0.1,0.0,,ZTF20aayyjdz
ztf,60674.566666699946,2920566665315015004,2,2920566665315,19.358707,1,2920,0.40605852,17.951008,15.664122,18.3423,0.18546689,0.014169899,0.022568988,0.1298,263.1923314,18.8507142,0.67714286,t17_f5_c3,0.9850925,18.206,0.1453,1582120253.0,True,True,False,26.0.1,0.0,,ZTF20aayyjdz
ztf,60679.5608680998,2925560865315015009,2,2925560865315,19.189735,1,2925,0.55080867,18.001474,15.670139,17.9281,0.12417275,100.0,0.01450415,0.0854,263.1922363,18.8506709,0.79,t17_f5_c3,0.9994658,17.9746,0.112,1582120253.0,True,True,False,26.0.1,0.0,,ZTF20aayyjdz
ztf,60679.56376159983,2925563765315015004,2,2925563765315,19.2233,1,2925,0.850109,17.7742,15.641005,17.8704,0.111947,100.0,0.015694018,0.0759,263.192556,18.8507946,0.694286,t17_f5_c3,,17.879,0.0961,,False,True,False,26.0.1,0.0,2.925566665315015e+18,ZTF20aayyjdz
ztf,60679.566666699946,2925566665315015006,2,2925566665315,19.201916,1,2925,0.4981724,17.644163,15.621808,18.0547,0.13620108,0.01271769,0.021146497,0.0949,263.1925317,18.8506492,0.6314286,t17_f5_c3,0.999943,18.0214,0.1161,1582120253.0,True,True,False,26.0.1,0.0,,ZTF20aayyjdz
ztf,61038.569618099835,3284569615315015001,2,3284569615315,18.6305,1,3284,0.160571,18.2457,15.6959915,18.3414,0.232676,0.012914342,0.022226343,0.132,263.1924362,18.8506107,0.432857,t17_f5_c3,,18.4358,0.1822,,False,True,False,27.5.7a32.dev1,0.0,3.284578585315015e+18,ZTF20aayyjdz
ztf,61038.57858800003,3284578585315015002,2,3284578585315,18.273035,1,3284,0.6104912,17.44532,15.588446,17.7652,0.11121926,0.011662955,0.02011084,0.1035,263.1925657,18.8506508,0.6185714,t17_f5_c3,0.96193427,17.7735,0.1327,1582120253.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF20aayyjdz
