tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,59315.46226850012,1561462261615010105,1,1561462261615,16.886301,-1,1561,0.06054774,14.33073,13.818323,14.3957,0.03644238,0.008435539,0.022732325,0.0366,272.5436633,-17.1833698,0.62714285,t17_f5_c3,0.99180114,14.3693,0.0445,332120116.0,True,True,False,correction_0.0.1,0.0,,ZTF20abayssc
ztf,59368.355752300005,1614355751615010004,1,1614355751615,20.2915,-1,1614,0.636711,15.8384,13.401359,15.9545,0.063609,100.0,0.006740652,0.0149,272.5434907,-17.1834573,0.65,t17_f5_c3,,15.955,0.0157,,False,True,False,correction_0.0.1,0.0,,ZTF20abayssc
ztf,59374.39456020016,1620394561615010005,1,1620394561615,20.0175,-1,1620,0.373444,15.9567,13.389545,16.0954,0.044074,100.0,0.0041430527,0.0174,272.5436006,-17.1832655,0.781429,t17_f5_c3,,16.105,0.019,,False,True,False,correction_0.0.1,0.0,,ZTF20abayssc
ztf,59376.355810199864,1622355811615010004,1,1622355811615,20.5265,-1,1622,0.275667,16.4527,13.352749,16.3292,0.07874,100.0,0.004531218,0.0204,272.5436545,-17.1832815,0.721429,t17_f5_c3,,16.3261,0.0212,,False,True,False,correction_0.0.1,0.0,,ZTF20abayssc
ztf,59395.2730208002,1641273021615015054,1,1641273021615,18.586905,1,1641,0.39473066,15.109307,13.105386,15.2977,0.07323402,0.0037296289,0.011564964,0.0251,272.543667,-17.1834709,0.58285713,t17_f5_c3,0.6962358,15.3063,0.0291,332120116.0,True,True,False,correction_0.0.1,0.0,,ZTF20abayssc
ztf,59415.284016199876,1661284011615010003,1,1661284011615,19.110085,-1,1661,1.2584095,15.825215,13.402765,15.9679,0.08475815,100.0,0.00910335,0.0244,272.544001,-17.1834557,0.42714286,t17_f5_c3,0.0351038,16.0479,0.0316,332120116.0,True,True,False,correction_0.0.1,0.0,,ZTF20abayssc
ztf,59480.16674769996,1726166741615015000,1,1726166741615,18.867012,1,1726,1.0244523,16.234524,13.222072,16.4123,0.041319963,100.0,0.0025773828,0.0373,272.5434852,-17.1836005,0.37428573,t17_f5_c3,0.00504535,16.4212,0.0447,332120116.0,True,True,False,correction_1.0.6,0.0,,ZTF20abayssc
ztf,59491.1285184999,1737128511615015000,1,1737128511615,20.109491,1,1737,0.54748684,16.397135,13.231532,16.8815,0.14842686,100.0,0.0080402875,0.0396,272.5437394,-17.1834891,0.36,t17_f5_c3,0.24528894,16.8626,0.0417,332120116.0,True,True,False,correction_1.0.6,0.0,,ZTF20abayssc
ztf,60016.482199099846,2262482191615015000,1,2262482191615,18.674936,1,2262,0.84561896,15.760948,13.185658,16.1434,0.0694894,100.0,0.0064833965,0.0315,272.5437581,-17.1835732,0.69714284,t17_f5_c3,0.25597608,16.1286,0.0371,332120116.0,True,True,False,1.1.6,0.0,,ZTF20abayssc
ztf,60049.459340299945,2295459341615015002,1,2295459341615,20.417019,1,2295,0.64140564,16.337397,13.22821,16.3135,0.03683627,100.0,0.0021018481,0.023,272.5435702,-17.1835224,0.5928571,t17_f5_c3,0.6645216,16.2872,0.0235,332120116.0,True,True,False,1.1.6,0.0,,ZTF20abayssc
