tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,58987.45679400023,1233456793915015003,1,1233456793915,20.7556,1,1233,0.92174,20.3214,18.105858,20.4705,0.218955,0.022512605,0.02845366,0.2927,317.8586999,5.0201351,0.808571,t17_f5_c3,20.3513,0.3306,False,True,False,bulk_1.0.0,0.0,1.248463833915015e+18,,,ZTF20abbhcad
ztf,58987.485451399814,1233485453915015006,2,1233485453915,20.3636,1,1233,0.429964,20.159,17.944677,19.7772,0.217465,0.023563592,0.02829175,0.2493,317.8588769,5.0201818,0.892857,t17_f5_c3,19.6629,0.2862,False,True,False,bulk_1.0.0,0.0,1.248463833915015e+18,,,ZTF20abbhcad
ztf,58992.46531250002,1238465313915015010,1,1238465313915,20.857304,1,1238,0.6231372,20.054277,18.067198,20.0431,0.1510517,0.017462874,0.024226682,0.1897,317.8587292,5.0202281,0.93285716,t17_f5_c3,19.9491,0.2184,False,True,False,bulk_1.0.0,0.0,1.268459913915015e+18,0.99999994,492120139.0,ZTF20abbhcad
ztf,58996.44927080022,1242449273915015008,1,1242449273915,20.805998,1,1242,0.6790656,20.008366,18.059702,20.2947,0.16859944,0.022510616,0.02801502,0.2608,317.858767,5.0201713,0.93,t17_f5_c3,20.1294,0.2826,False,True,False,bulk_1.0.0,0.0,1.268459913915015e+18,0.99995446,492120139.0,ZTF20abbhcad
ztf,59002.45416670013,1248454163915015008,1,1248454163915,20.62218,1,1248,0.68514955,20.03702,18.064411,19.982,0.17855658,0.02370149,0.029022356,0.221,317.8588434,5.0201348,0.93,t17_f5_c3,19.7672,0.2295,False,True,False,bulk_1.0.0,0.0,1.278339873915015e+18,0.99999344,492120139.0,ZTF20abbhcad
ztf,59002.46383100003,1248463833915015008,2,1248463833915,20.342445,1,1248,0.07830015,20.058945,17.931126,20.176,0.18245561,0.02053406,0.025705714,0.3297,317.8588958,5.0203017,0.9714286,t17_f5_c3,20.371,0.5016,False,True,False,bulk_1.0.0,0.0,1.278339873915015e+18,1.0,492120239.0,ZTF20abbhcad
ztf,59013.35587960016,1259355873915015010,2,1259355873915,20.235062,1,1259,0.44139022,19.831432,17.89604,19.5352,0.15992005,0.022347685,0.026899597,0.193,317.8587605,5.02025,0.9242857,t17_f5_c3,19.5916,0.2586,False,True,False,bulk_1.0.0,0.0,1.278339873915015e+18,0.9999999,492120239.0,ZTF20abbhcad
ztf,59016.46003470011,1262460033915015010,2,1262460033915,20.729727,1,1262,0.26221913,19.935923,17.912928,19.8331,0.12696695,0.012525355,0.019701187,0.1883,317.8588797,5.0202284,0.9342857,t17_f5_c3,19.7751,0.2257,False,True,False,bulk_1.0.0,0.0,1.290355863915015e+18,1.0,492120239.0,ZTF20abbhcad
ztf,59022.459919000044,1268459913915015012,2,1268459913915,20.964058,1,1268,0.2077502,19.785362,17.888151,19.4884,0.12222674,0.015249612,0.021295222,0.1182,317.8589088,5.0202548,0.80142856,t17_f5_c3,19.5942,0.1636,False,True,False,bulk_1.0.0,0.0,1.296377613915015e+18,0.99993,492120239.0,ZTF20abbhcad
ztf,59025.335532399826,1271335533915015008,1,1271335533915,20.842115,1,1271,0.6676648,20.002544,18.058733,20.0886,0.15961456,0.020787435,0.026640847,0.2007,317.8587628,5.0201719,0.92285717,t17_f5_c3,20.0355,0.2404,False,True,False,bulk_1.0.0,0.0,1.299356993915015e+18,0.99997294,492120139.0,ZTF20abbhcad
