tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.559930600226,2597559934415015001,2,2597559934415,19.395027,1,2597,0.21472111,16.987934,15.9153,17.0869,0.09186408,0.03269779,0.03420521,0.0382,283.7906243,9.9360667,0.74,t17_f5_c3,0.9999999,17.0596,0.047,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60351.56040510023,2597560404415015001,2,2597560404415,19.40372,1,2597,0.36141863,16.993212,15.917263,17.0718,0.05517937,0.01784219,0.020483166,0.0384,283.790679,9.9360427,0.74,t17_f5_c3,0.9999999,17.0357,0.0468,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60351.56087959977,2597560874415015000,2,2597560874415,19.320482,1,2597,0.16272336,17.011972,15.924189,17.0271,0.07708558,0.026431883,0.028304778,0.0376,283.7906342,9.936083,0.6614286,t17_f5_c3,0.99999905,16.9631,0.0447,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60352.5582059999,2598558204415015001,2,2598558204415,18.860516,1,2598,0.09142086,16.940481,15.897388,17.037,0.08450308,0.030786263,0.03233221,0.036,283.7906105,9.9361504,0.38857144,t17_f5_c3,0.9981939,16.9846,0.0433,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60352.55868060002,2598558684415015000,2,2598558684415,18.791214,1,2598,0.16983917,16.986277,15.914683,17.0388,0.08549646,0.030242797,0.031864766,0.036,283.7905741,9.9361379,0.39285713,t17_f5_c3,0.77630657,17.02,0.0448,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60352.55914349994,2598559144415015000,2,2598559144415,18.820362,1,2598,0.079735376,17.024462,15.928759,17.0066,0.0881238,0.030471038,0.032122683,0.0366,283.7906083,9.9361086,0.35285714,t17_f5_c3,0.9561807,16.9713,0.0448,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60353.55622689985,2599556224415015000,2,2599556224415,19.982332,1,2599,0.13623929,16.997335,15.918792,17.0251,0.05602892,0.018138751,0.020748882,0.0273,283.7906342,9.9360908,0.82285714,t17_f5_c3,0.9999976,17.0023,0.0331,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60353.55670139985,2599556704415015000,2,2599556704415,20.001228,1,2599,0.19300911,16.971674,15.909218,17.0792,0.057815548,0.0192995,0.02173012,0.0283,283.7906217,9.9360717,0.77428573,t17_f5_c3,0.9999963,17.054,0.0343,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60353.557175899856,2599557174415015002,2,2599557174415,19.848808,1,2599,0.20482947,16.962732,15.9058485,17.0487,0.07615514,0.026993044,0.02877038,0.0301,283.7906321,9.9360721,0.76,t17_f5_c3,0.99999356,17.0248,0.0368,1534120244.0,True,True,False,23.12.x,0.0,,ZTF20abbjpce
ztf,60706.568738400005,2952568734415015000,2,2952568734415,18.971565,1,2952,0.31788,15.423306,15.058798,15.5039,0.050208997,0.035599157,0.035890386,0.0137,283.7906543,9.9360437,0.73,t17_f5_c3,0.9999999,15.4938,0.017,1534120244.0,True,True,False,26.0.1,0.0,,ZTF20abbjpce
ztf,60706.569213000126,2952569214415015000,2,2952569214415,18.904251,1,2952,0.23458712,15.498834,15.112246,15.5315,0.02862577,0.019469012,0.020050347,0.0144,283.7905987,9.9360649,0.7157143,t17_f5_c3,0.9999981,15.5231,0.0179,1534120244.0,True,True,False,26.0.1,0.0,,ZTF20abbjpce
ztf,60706.56967590004,2952569674415015000,2,2952569674415,18.83396,1,2952,0.27016518,15.405011,15.045689,15.5366,0.04480062,0.031860344,0.032177705,0.0144,283.7905845,9.9360591,0.6457143,t17_f5_c3,0.99812007,15.5141,0.0177,1534120244.0,True,True,False,26.0.1,0.0,,ZTF20abbjpce
ztf,60707.55879630009,2953558794415015000,2,2953558794415,19.2233,1,2953,0.309895,15.6022,15.1836,15.614,0.028484,0.018682897,0.019371418,0.013,283.7905717,9.9360544,0.781429,t17_f5_c3,,15.6073,0.016,,False,True,False,26.0.1,0.0,2.956561234415015e+18,ZTF20abbjpce
ztf,60707.56223380007,2953562234415015000,2,2953562234415,18.950106,1,2953,0.23512125,15.45439,15.080926,15.5247,0.048611533,0.034146976,0.03446305,0.0158,283.790629,9.9360634,0.8357143,t17_f5_c3,0.99999624,15.5029,0.0192,1534120244.0,True,True,False,26.0.1,0.0,,ZTF20abbjpce
ztf,60707.56672450015,2953566724415015001,2,2953566724415,19.037035,1,2953,0.2377325,15.401476,15.043148,15.4416,0.02842979,0.019937195,0.0204382,0.014,283.790611,9.9360601,0.74142855,t17_f5_c3,0.99833727,15.4271,0.0172,1534120244.0,True,True,False,26.0.1,0.0,,ZTF20abbjpce
ztf,60708.557963000145,2954557964415015000,2,2954557964415,20.111172,1,2954,0.24909425,15.527638,15.13234,15.586,0.04756483,0.032686986,0.03304965,0.0078,283.7906267,9.9360574,0.75857145,t17_f5_c3,0.9999452,15.5693,0.0091,1534120244.0,True,True,False,26.0.1,0.0,,ZTF20abbjpce
